group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_1000x10_lines,,,,14612088.0,ns,15
plots,plot_1000x10_lines,,,,14627344.0,ns,15
plots,plot_1000x10_lines,,,,14660460.0,ns,15
plots,plot_1000x10_lines,,,,14596522.0,ns,15
plots,plot_1000x10_lines,,,,14729588.0,ns,15
plots,plot_1000x10_lines,,,,14629859.0,ns,15
plots,plot_1000x10_lines,,,,14629034.0,ns,15
plots,plot_1000x10_lines,,,,14620187.0,ns,15
plots,plot_1000x10_lines,,,,14630968.0,ns,15
plots,plot_1000x10_lines,,,,14691460.0,ns,15
plots,plot_1000x10_lines,,,,14725500.0,ns,15
plots,plot_1000x10_lines,,,,14670630.0,ns,15
plots,plot_1000x10_lines,,,,14627219.0,ns,15
plots,plot_1000x10_lines,,,,14538265.0,ns,15
plots,plot_1000x10_lines,,,,14142476.0,ns,15
plots,plot_1000x10_lines,,,,14020791.0,ns,15
plots,plot_1000x10_lines,,,,13990069.0,ns,15
plots,plot_1000x10_lines,,,,13976921.0,ns,15
plots,plot_1000x10_lines,,,,13976742.0,ns,15
plots,plot_1000x10_lines,,,,13987108.0,ns,15
plots,plot_1000x10_lines,,,,14032550.0,ns,15
plots,plot_1000x10_lines,,,,14014733.0,ns,15
plots,plot_1000x10_lines,,,,13968413.0,ns,15
plots,plot_1000x10_lines,,,,13971303.0,ns,15
plots,plot_1000x10_lines,,,,13975701.0,ns,15
plots,plot_1000x10_lines,,,,13972174.0,ns,15
plots,plot_1000x10_lines,,,,14017868.0,ns,15
plots,plot_1000x10_lines,,,,13974903.0,ns,15
plots,plot_1000x10_lines,,,,14141268.0,ns,15
plots,plot_1000x10_lines,,,,14023917.0,ns,15
plots,plot_1000x10_lines,,,,13975611.0,ns,15
plots,plot_1000x10_lines,,,,14033937.0,ns,15
plots,plot_1000x10_lines,,,,13911565.0,ns,15
plots,plot_1000x10_lines,,,,13912325.0,ns,15
plots,plot_1000x10_lines,,,,13908536.0,ns,15
plots,plot_1000x10_lines,,,,13942037.0,ns,15
plots,plot_1000x10_lines,,,,13986114.0,ns,15
plots,plot_1000x10_lines,,,,13970936.0,ns,15
plots,plot_1000x10_lines,,,,13970754.0,ns,15
plots,plot_1000x10_lines,,,,13975811.0,ns,15
plots,plot_1000x10_lines,,,,13970212.0,ns,15
plots,plot_1000x10_lines,,,,13972688.0,ns,15
plots,plot_1000x10_lines,,,,13974518.0,ns,15
plots,plot_1000x10_lines,,,,13995631.0,ns,15
plots,plot_1000x10_lines,,,,13908175.0,ns,15
plots,plot_1000x10_lines,,,,13985151.0,ns,15
plots,plot_1000x10_lines,,,,14025585.0,ns,15
plots,plot_1000x10_lines,,,,14007664.0,ns,15
plots,plot_1000x10_lines,,,,13906587.0,ns,15
plots,plot_1000x10_lines,,,,14648916.0,ns,15
plots,plot_1000x10_lines,,,,13910609.0,ns,15
plots,plot_1000x10_lines,,,,13670323.0,ns,15
plots,plot_1000x10_lines,,,,13701083.0,ns,15
plots,plot_1000x10_lines,,,,13869748.0,ns,15
plots,plot_1000x10_lines,,,,13796593.0,ns,15
plots,plot_1000x10_lines,,,,13731319.0,ns,15
plots,plot_1000x10_lines,,,,13831266.0,ns,15
plots,plot_1000x10_lines,,,,13700321.0,ns,15
plots,plot_1000x10_lines,,,,13802570.0,ns,15
plots,plot_1000x10_lines,,,,13688406.0,ns,15
plots,plot_1000x10_lines,,,,13801750.0,ns,15
plots,plot_1000x10_lines,,,,13695639.0,ns,15
plots,plot_1000x10_lines,,,,13766112.0,ns,15
plots,plot_1000x10_lines,,,,13666456.0,ns,15
plots,plot_1000x10_lines,,,,13745976.0,ns,15
plots,plot_1000x10_lines,,,,13749944.0,ns,15
plots,plot_1000x10_lines,,,,13707574.0,ns,15
plots,plot_1000x10_lines,,,,13752962.0,ns,15
plots,plot_1000x10_lines,,,,13665928.0,ns,15
plots,plot_1000x10_lines,,,,13710688.0,ns,15
plots,plot_1000x10_lines,,,,13718694.0,ns,15
plots,plot_1000x10_lines,,,,13732781.0,ns,15
plots,plot_1000x10_lines,,,,13760920.0,ns,15
plots,plot_1000x10_lines,,,,13808076.0,ns,15
plots,plot_1000x10_lines,,,,13829994.0,ns,15
plots,plot_1000x10_lines,,,,13747705.0,ns,15
plots,plot_1000x10_lines,,,,13773623.0,ns,15
plots,plot_1000x10_lines,,,,13730359.0,ns,15
plots,plot_1000x10_lines,,,,13746584.0,ns,15
plots,plot_1000x10_lines,,,,13783052.0,ns,15
plots,plot_1000x10_lines,,,,13670961.0,ns,15
plots,plot_1000x10_lines,,,,13733025.0,ns,15
plots,plot_1000x10_lines,,,,13796296.0,ns,15
plots,plot_1000x10_lines,,,,14704154.0,ns,15
plots,plot_1000x10_lines,,,,13795860.0,ns,15
plots,plot_1000x10_lines,,,,13949165.0,ns,15
plots,plot_1000x10_lines,,,,13816871.0,ns,15
plots,plot_1000x10_lines,,,,13882786.0,ns,15
plots,plot_1000x10_lines,,,,13797321.0,ns,15
plots,plot_1000x10_lines,,,,14178567.0,ns,15
plots,plot_1000x10_lines,,,,14389036.0,ns,15
plots,plot_1000x10_lines,,,,14479418.0,ns,15
plots,plot_1000x10_lines,,,,14522632.0,ns,15
plots,plot_1000x10_lines,,,,14576004.0,ns,15
plots,plot_1000x10_lines,,,,14692102.0,ns,15
plots,plot_1000x10_lines,,,,14687279.0,ns,15
plots,plot_1000x10_lines,,,,14746212.0,ns,15
plots,plot_1000x10_lines,,,,14718967.0,ns,15
plots,plot_1000x10_lines,,,,14722357.0,ns,15
plots,plot_1000x10_lines,,,,14716859.0,ns,15
plots,plot_1000x10_lines,,,,14674359.0,ns,15
plots,plot_1000x10_lines,,,,14754870.0,ns,15
plots,plot_1000x10_lines,,,,14755472.0,ns,15
plots,plot_1000x10_lines,,,,14722864.0,ns,15
plots,plot_1000x10_lines,,,,14882284.0,ns,15
plots,plot_1000x10_lines,,,,14793977.0,ns,15
plots,plot_1000x10_lines,,,,14845173.0,ns,15
plots,plot_1000x10_lines,,,,14878348.0,ns,15
plots,plot_1000x10_lines,,,,14885179.0,ns,15
plots,plot_1000x10_lines,,,,14687189.0,ns,15
plots,plot_1000x10_lines,,,,13710622.0,ns,15
plots,plot_1000x10_lines,,,,13745894.0,ns,15
plots,plot_1000x10_lines,,,,13775849.0,ns,15
plots,plot_1000x10_lines,,,,13776907.0,ns,15
plots,plot_1000x10_lines,,,,13791463.0,ns,15
plots,plot_1000x10_lines,,,,13702303.0,ns,15
plots,plot_1000x10_lines,,,,13729556.0,ns,15
plots,plot_1000x10_lines,,,,13830521.0,ns,15
plots,plot_1000x10_lines,,,,13732305.0,ns,15
plots,plot_1000x10_lines,,,,13868396.0,ns,15
plots,plot_1000x10_lines,,,,14022986.0,ns,15
plots,plot_1000x10_lines,,,,13783462.0,ns,15
plots,plot_1000x10_lines,,,,13704425.0,ns,15
plots,plot_1000x10_lines,,,,13739475.0,ns,15
plots,plot_1000x10_lines,,,,13863212.0,ns,15
plots,plot_1000x10_lines,,,,13607001.0,ns,15
plots,plot_1000x10_lines,,,,13749958.0,ns,15
plots,plot_1000x10_lines,,,,13763426.0,ns,15
plots,plot_1000x10_lines,,,,13694371.0,ns,15
plots,plot_1000x10_lines,,,,13776183.0,ns,15
plots,plot_1000x10_lines,,,,13712210.0,ns,15
plots,plot_1000x10_lines,,,,13945507.0,ns,15
plots,plot_1000x10_lines,,,,13659319.0,ns,15
plots,plot_1000x10_lines,,,,13712059.0,ns,15
plots,plot_1000x10_lines,,,,13724394.0,ns,15
plots,plot_1000x10_lines,,,,13889825.0,ns,15
plots,plot_1000x10_lines,,,,13730371.0,ns,15
plots,plot_1000x10_lines,,,,13732736.0,ns,15
plots,plot_1000x10_lines,,,,13851649.0,ns,15
plots,plot_1000x10_lines,,,,13662026.0,ns,15
plots,plot_1000x10_lines,,,,13694993.0,ns,15
plots,plot_1000x10_lines,,,,13729151.0,ns,15
plots,plot_1000x10_lines,,,,13732353.0,ns,15
plots,plot_1000x10_lines,,,,13798406.0,ns,15
plots,plot_1000x10_lines,,,,13662397.0,ns,15
plots,plot_1000x10_lines,,,,13762173.0,ns,15
plots,plot_1000x10_lines,,,,13815823.0,ns,15
plots,plot_1000x10_lines,,,,13901981.0,ns,15
plots,plot_1000x10_lines,,,,13730361.0,ns,15
plots,plot_1000x10_lines,,,,13766898.0,ns,15
plots,plot_1000x10_lines,,,,13696437.0,ns,15
plots,plot_1000x10_lines,,,,13732849.0,ns,15
plots,plot_1000x10_lines,,,,14080102.0,ns,15
plots,plot_1000x10_lines,,,,14259486.0,ns,15
plots,plot_1000x10_lines,,,,13864613.0,ns,15
plots,plot_1000x10_lines,,,,14071605.0,ns,15
plots,plot_1000x10_lines,,,,14416257.0,ns,15
plots,plot_1000x10_lines,,,,14569775.0,ns,15
plots,plot_1000x10_lines,,,,14609587.0,ns,15
plots,plot_1000x10_lines,,,,14682010.0,ns,15
plots,plot_1000x10_lines,,,,14773155.0,ns,15
plots,plot_1000x10_lines,,,,14790054.0,ns,15
plots,plot_1000x10_lines,,,,14917776.0,ns,15
plots,plot_1000x10_lines,,,,14846592.0,ns,15
plots,plot_1000x10_lines,,,,15204285.0,ns,15
plots,plot_1000x10_lines,,,,13614885.0,ns,15
plots,plot_1000x10_lines,,,,14178931.0,ns,15
plots,plot_1000x10_lines,,,,14568898.0,ns,15
plots,plot_1000x10_lines,,,,14681017.0,ns,15
plots,plot_1000x10_lines,,,,14687971.0,ns,15
plots,plot_1000x10_lines,,,,14789881.0,ns,15
plots,plot_1000x10_lines,,,,14770264.0,ns,15
plots,plot_1000x10_lines,,,,14792107.0,ns,15
plots,plot_1000x10_lines,,,,14759201.0,ns,15
plots,plot_1000x10_lines,,,,14798978.0,ns,15
plots,plot_1000x10_lines,,,,15310944.0,ns,15
plots,plot_1000x10_lines,,,,15618622.0,ns,15
plots,plot_1000x10_lines,,,,15078309.0,ns,15
plots,plot_1000x10_lines,,,,14255211.0,ns,15
plots,plot_1000x10_lines,,,,14234579.0,ns,15
plots,plot_1000x10_lines,,,,14225462.0,ns,15
plots,plot_1000x10_lines,,,,14220873.0,ns,15
plots,plot_1000x10_lines,,,,14356877.0,ns,15
plots,plot_1000x10_lines,,,,14555144.0,ns,15
plots,plot_1000x10_lines,,,,14555969.0,ns,15
plots,plot_1000x10_lines,,,,14552342.0,ns,15
plots,plot_1000x10_lines,,,,14549210.0,ns,15
plots,plot_1000x10_lines,,,,14547394.0,ns,15
plots,plot_1000x10_lines,,,,14550385.0,ns,15
plots,plot_1000x10_lines,,,,14497437.0,ns,15
plots,plot_1000x10_lines,,,,13664906.0,ns,15
plots,plot_1000x10_lines,,,,13904246.0,ns,15
plots,plot_1000x10_lines,,,,13772233.0,ns,15
plots,plot_1000x10_lines,,,,13704151.0,ns,15
plots,plot_1000x10_lines,,,,13910468.0,ns,15
plots,plot_1000x10_lines,,,,13845518.0,ns,15
plots,plot_1000x10_lines,,,,13762511.0,ns,15
plots,plot_1000x10_lines,,,,13839060.0,ns,15
plots,plot_1000x10_lines,,,,13864107.0,ns,15
plots,plot_1000x10_lines,,,,13801667.0,ns,15
plots,plot_1000x10_lines,,,,13740425.0,ns,15
plots,plot_1000x10_lines,,,,13799931.0,ns,15
plots,plot_1000x10_lines,,,,13739270.0,ns,15
plots,plot_1000x10_lines,,,,13844006.0,ns,15
plots,plot_1000x10_lines,,,,13804426.0,ns,15
plots,plot_1000x10_lines,,,,13910188.0,ns,15
plots,plot_1000x10_lines,,,,13865155.0,ns,15
plots,plot_1000x10_lines,,,,13486766.0,ns,15
plots,plot_1000x10_lines,,,,13768610.0,ns,15
plots,plot_1000x10_lines,,,,13685087.0,ns,15
plots,plot_1000x10_lines,,,,13543054.0,ns,15
plots,plot_1000x10_lines,,,,13661038.0,ns,15
plots,plot_1000x10_lines,,,,13712548.0,ns,15
plots,plot_1000x10_lines,,,,13548876.0,ns,15
plots,plot_1000x10_lines,,,,13679336.0,ns,15
plots,plot_1000x10_lines,,,,13677080.0,ns,15
plots,plot_1000x10_lines,,,,13788260.0,ns,15
plots,plot_1000x10_lines,,,,13560746.0,ns,15
plots,plot_1000x10_lines,,,,13540716.0,ns,15
plots,plot_1000x10_lines,,,,13763957.0,ns,15
plots,plot_1000x10_lines,,,,13691551.0,ns,15
plots,plot_1000x10_lines,,,,13728722.0,ns,15
plots,plot_1000x10_lines,,,,13658751.0,ns,15
plots,plot_1000x10_lines,,,,13897854.0,ns,15
plots,plot_1000x10_lines,,,,13499089.0,ns,15
plots,plot_1000x10_lines,,,,13835912.0,ns,15
plots,plot_1000x10_lines,,,,13840432.0,ns,15
plots,plot_1000x10_lines,,,,13630787.0,ns,15
plots,plot_1000x10_lines,,,,13845606.0,ns,15
plots,plot_1000x10_lines,,,,13661697.0,ns,15
plots,plot_1000x10_lines,,,,13755588.0,ns,15
plots,plot_1000x10_lines,,,,13770765.0,ns,15
plots,plot_1000x10_lines,,,,13671791.0,ns,15
plots,plot_1000x10_lines,,,,13835334.0,ns,15
plots,plot_1000x10_lines,,,,13685823.0,ns,15
plots,plot_1000x10_lines,,,,13832678.0,ns,15
plots,plot_1000x10_lines,,,,14260214.0,ns,15
plots,plot_1000x10_lines,,,,14387749.0,ns,15
plots,plot_1000x10_lines,,,,14451760.0,ns,15
plots,plot_1000x10_lines,,,,14507309.0,ns,15
plots,plot_1000x10_lines,,,,14588360.0,ns,15
plots,plot_1000x10_lines,,,,14668500.0,ns,15
plots,plot_1000x10_lines,,,,14645176.0,ns,15
plots,plot_1000x10_lines,,,,14723219.0,ns,15
plots,plot_1000x10_lines,,,,14699924.0,ns,15
plots,plot_1000x10_lines,,,,14680917.0,ns,15
plots,plot_1000x10_lines,,,,14722532.0,ns,15
plots,plot_1000x10_lines,,,,14720185.0,ns,15
plots,plot_1000x10_lines,,,,14772279.0,ns,15
plots,plot_1000x10_lines,,,,14772089.0,ns,15
plots,plot_1000x10_lines,,,,14776070.0,ns,15
plots,plot_1000x10_lines,,,,14772319.0,ns,15
plots,plot_1000x10_lines,,,,14895072.0,ns,15
plots,plot_1000x10_lines,,,,14772987.0,ns,15
plots,plot_1000x10_lines,,,,14881306.0,ns,15
plots,plot_1000x10_lines,,,,14950797.0,ns,15
plots,plot_1000x10_lines,,,,14877961.0,ns,15
plots,plot_1000x10_lines,,,,14814765.0,ns,15
plots,plot_1000x10_lines,,,,14922417.0,ns,15
plots,plot_1000x10_lines,,,,14851768.0,ns,15
plots,plot_1000x10_lines,,,,13768003.0,ns,15
plots,plot_1000x10_lines,,,,13640191.0,ns,15
plots,plot_1000x10_lines,,,,13789062.0,ns,15
plots,plot_1000x10_lines,,,,13767780.0,ns,15
plots,plot_1000x10_lines,,,,13544388.0,ns,15
plots,plot_1000x10_lines,,,,13821506.0,ns,15
plots,plot_1000x10_lines,,,,13595279.0,ns,15
plots,plot_1000x10_lines,,,,13850895.0,ns,15
plots,plot_1000x10_lines,,,,13854777.0,ns,15
plots,plot_1000x10_lines,,,,13775433.0,ns,15
plots,plot_1000x10_lines,,,,13972907.0,ns,15
plots,plot_1000x10_lines,,,,13712008.0,ns,15
plots,plot_1000x10_lines,,,,13777815.0,ns,15
plots,plot_1000x10_lines,,,,15162678.0,ns,15
plots,plot_1000x10_lines,,,,14609747.0,ns,15
plots,plot_1000x10_lines,,,,14574064.0,ns,15
plots,plot_1000x10_lines,,,,14354095.0,ns,15
plots,plot_1000x10_lines,,,,14346183.0,ns,15
plots,plot_1000x10_lines,,,,14344163.0,ns,15
plots,plot_1000x10_lines,,,,14337732.0,ns,15
plots,plot_1000x10_lines,,,,14354216.0,ns,15
plots,plot_1000x10_lines,,,,14359076.0,ns,15
plots,plot_1000x10_lines,,,,14347747.0,ns,15
plots,plot_1000x10_lines,,,,14416168.0,ns,15
plots,plot_1000x10_lines,,,,14314523.0,ns,15
plots,plot_1000x10_lines,,,,14395563.0,ns,15
plots,plot_1000x10_lines,,,,14358693.0,ns,15
plots,plot_1000x10_lines,,,,14357055.0,ns,15
plots,plot_1000x10_lines,,,,14347308.0,ns,15
plots,plot_1000x10_lines,,,,14335188.0,ns,15
plots,plot_1000x10_lines,,,,14369028.0,ns,15
plots,plot_1000x10_lines,,,,14358100.0,ns,15
plots,plot_1000x10_lines,,,,14334723.0,ns,15
plots,plot_1000x10_lines,,,,14353608.0,ns,15
plots,plot_1000x10_lines,,,,14542222.0,ns,15
plots,plot_1000x10_lines,,,,14278047.0,ns,15
plots,plot_1000x10_lines,,,,14289097.0,ns,15
plots,plot_1000x10_lines,,,,14414202.0,ns,15
plots,plot_1000x10_lines,,,,14358954.0,ns,15
