group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_100x1000_points,,,,17805586.0,ns,2
plots,plot_100x1000_points,,,,17863654.0,ns,2
plots,plot_100x1000_points,,,,17775558.0,ns,2
plots,plot_100x1000_points,,,,17889240.0,ns,2
plots,plot_100x1000_points,,,,17849921.0,ns,2
plots,plot_100x1000_points,,,,17363123.0,ns,2
plots,plot_100x1000_points,,,,16336979.0,ns,2
plots,plot_100x1000_points,,,,16897712.0,ns,2
plots,plot_100x1000_points,,,,17382730.0,ns,2
plots,plot_100x1000_points,,,,18125672.0,ns,2
plots,plot_100x1000_points,,,,17316545.0,ns,2
plots,plot_100x1000_points,,,,17660773.0,ns,2
plots,plot_100x1000_points,,,,18549911.0,ns,2
plots,plot_100x1000_points,,,,18206097.0,ns,2
plots,plot_100x1000_points,,,,17828027.0,ns,2
plots,plot_100x1000_points,,,,17916028.0,ns,2
plots,plot_100x1000_points,,,,17781554.0,ns,2
plots,plot_100x1000_points,,,,17508150.0,ns,2
plots,plot_100x1000_points,,,,17580785.0,ns,2
plots,plot_100x1000_points,,,,17640351.0,ns,2
plots,plot_100x1000_points,,,,17500032.0,ns,2
plots,plot_100x1000_points,,,,17461088.0,ns,2
plots,plot_100x1000_points,,,,17532100.0,ns,2
plots,plot_100x1000_points,,,,17496866.0,ns,2
plots,plot_100x1000_points,,,,17637309.0,ns,2
plots,plot_100x1000_points,,,,17457570.0,ns,2
plots,plot_100x1000_points,,,,17625304.0,ns,2
plots,plot_100x1000_points,,,,17423000.0,ns,2
plots,plot_100x1000_points,,,,17543400.0,ns,2
plots,plot_100x1000_points,,,,17445474.0,ns,2
plots,plot_100x1000_points,,,,17508798.0,ns,2
plots,plot_100x1000_points,,,,17203087.0,ns,2
plots,plot_100x1000_points,,,,16069776.0,ns,2
plots,plot_100x1000_points,,,,16006212.0,ns,2
plots,plot_100x1000_points,,,,17689025.0,ns,2
plots,plot_100x1000_points,,,,17505877.0,ns,2
plots,plot_100x1000_points,,,,17553604.0,ns,2
plots,plot_100x1000_points,,,,17537692.0,ns,2
plots,plot_100x1000_points,,,,17535661.0,ns,2
plots,plot_100x1000_points,,,,17515454.0,ns,2
plots,plot_100x1000_points,,,,17170870.0,ns,2
plots,plot_100x1000_points,,,,17208568.0,ns,2
plots,plot_100x1000_points,,,,17161355.0,ns,2
plots,plot_100x1000_points,,,,17319570.0,ns,2
plots,plot_100x1000_points,,,,17149893.0,ns,2
plots,plot_100x1000_points,,,,17236838.0,ns,2
plots,plot_100x1000_points,,,,17149637.0,ns,2
plots,plot_100x1000_points,,,,17331407.0,ns,2
plots,plot_100x1000_points,,,,17226443.0,ns,2
plots,plot_100x1000_points,,,,17219640.0,ns,2
plots,plot_100x1000_points,,,,17236035.0,ns,2
plots,plot_100x1000_points,,,,17295912.0,ns,2
plots,plot_100x1000_points,,,,17203239.0,ns,2
plots,plot_100x1000_points,,,,17355593.0,ns,2
plots,plot_100x1000_points,,,,17284707.0,ns,2
plots,plot_100x1000_points,,,,17230710.0,ns,2
plots,plot_100x1000_points,,,,17172573.0,ns,2
plots,plot_100x1000_points,,,,17247758.0,ns,2
plots,plot_100x1000_points,,,,17144690.0,ns,2
plots,plot_100x1000_points,,,,17257676.0,ns,2
plots,plot_100x1000_points,,,,17347149.0,ns,2
plots,plot_100x1000_points,,,,17363732.0,ns,2
plots,plot_100x1000_points,,,,17110362.0,ns,2
plots,plot_100x1000_points,,,,17261998.0,ns,2
plots,plot_100x1000_points,,,,17262178.0,ns,2
plots,plot_100x1000_points,,,,17199589.0,ns,2
plots,plot_100x1000_points,,,,17216367.0,ns,2
plots,plot_100x1000_points,,,,17406981.0,ns,2
plots,plot_100x1000_points,,,,17189669.0,ns,2
plots,plot_100x1000_points,,,,17353655.0,ns,2
plots,plot_100x1000_points,,,,17275422.0,ns,2
plots,plot_100x1000_points,,,,17184905.0,ns,2
plots,plot_100x1000_points,,,,17332483.0,ns,2
plots,plot_100x1000_points,,,,17195849.0,ns,2
plots,plot_100x1000_points,,,,17198641.0,ns,2
plots,plot_100x1000_points,,,,17165231.0,ns,2
plots,plot_100x1000_points,,,,17317459.0,ns,2
plots,plot_100x1000_points,,,,17280180.0,ns,2
plots,plot_100x1000_points,,,,17193766.0,ns,2
plots,plot_100x1000_points,,,,17426159.0,ns,2
plots,plot_100x1000_points,,,,17236946.0,ns,2
plots,plot_100x1000_points,,,,17183225.0,ns,2
plots,plot_100x1000_points,,,,17188692.0,ns,2
plots,plot_100x1000_points,,,,17184398.0,ns,2
plots,plot_100x1000_points,,,,17610590.0,ns,2
plots,plot_100x1000_points,,,,16920728.0,ns,2
plots,plot_100x1000_points,,,,17012200.0,ns,2
plots,plot_100x1000_points,,,,17265024.0,ns,2
plots,plot_100x1000_points,,,,16922774.0,ns,2
plots,plot_100x1000_points,,,,17042989.0,ns,2
plots,plot_100x1000_points,,,,16906141.0,ns,2
plots,plot_100x1000_points,,,,16961011.0,ns,2
plots,plot_100x1000_points,,,,16859150.0,ns,2
plots,plot_100x1000_points,,,,16733894.0,ns,2
plots,plot_100x1000_points,,,,16743821.0,ns,2
plots,plot_100x1000_points,,,,16772005.0,ns,2
plots,plot_100x1000_points,,,,17085788.0,ns,2
plots,plot_100x1000_points,,,,16883373.0,ns,2
plots,plot_100x1000_points,,,,16808440.0,ns,2
plots,plot_100x1000_points,,,,17043350.0,ns,2
plots,plot_100x1000_points,,,,16724143.0,ns,2
plots,plot_100x1000_points,,,,16793519.0,ns,2
plots,plot_100x1000_points,,,,16877454.0,ns,2
plots,plot_100x1000_points,,,,16722400.0,ns,2
plots,plot_100x1000_points,,,,16800477.0,ns,2
plots,plot_100x1000_points,,,,16820136.0,ns,2
plots,plot_100x1000_points,,,,16888887.0,ns,2
plots,plot_100x1000_points,,,,16977197.0,ns,2
plots,plot_100x1000_points,,,,16711827.0,ns,2
plots,plot_100x1000_points,,,,16915630.0,ns,2
