group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_100x10_points,,,,14330215.0,ns,47
plots,plot_100x10_points,,,,14393798.0,ns,47
plots,plot_100x10_points,,,,14248161.0,ns,47
plots,plot_100x10_points,,,,14306463.0,ns,47
plots,plot_100x10_points,,,,14209285.0,ns,47
plots,plot_100x10_points,,,,14342093.0,ns,47
plots,plot_100x10_points,,,,14058032.0,ns,47
plots,plot_100x10_points,,,,14187535.0,ns,47
plots,plot_100x10_points,,,,14254758.0,ns,47
plots,plot_100x10_points,,,,14198296.0,ns,47
plots,plot_100x10_points,,,,14520478.0,ns,47
plots,plot_100x10_points,,,,13973900.0,ns,47
plots,plot_100x10_points,,,,14123180.0,ns,47
plots,plot_100x10_points,,,,14078464.0,ns,47
plots,plot_100x10_points,,,,14060196.0,ns,47
plots,plot_100x10_points,,,,14102632.0,ns,47
plots,plot_100x10_points,,,,14044156.0,ns,47
plots,plot_100x10_points,,,,14201521.0,ns,47
plots,plot_100x10_points,,,,13992851.0,ns,47
plots,plot_100x10_points,,,,14130969.0,ns,47
plots,plot_100x10_points,,,,14177825.0,ns,47
plots,plot_100x10_points,,,,14128041.0,ns,47
plots,plot_100x10_points,,,,14001516.0,ns,47
plots,plot_100x10_points,,,,14064339.0,ns,47
plots,plot_100x10_points,,,,14139465.0,ns,47
plots,plot_100x10_points,,,,14026136.0,ns,47
plots,plot_100x10_points,,,,14023155.0,ns,47
plots,plot_100x10_points,,,,14128712.0,ns,47
plots,plot_100x10_points,,,,14307228.0,ns,47
plots,plot_100x10_points,,,,13988011.0,ns,47
plots,plot_100x10_points,,,,13963679.0,ns,47
plots,plot_100x10_points,,,,14191306.0,ns,47
plots,plot_100x10_points,,,,13908531.0,ns,47
plots,plot_100x10_points,,,,14107346.0,ns,47
plots,plot_100x10_points,,,,14034983.0,ns,47
plots,plot_100x10_points,,,,14124163.0,ns,47
plots,plot_100x10_points,,,,14164349.0,ns,47
plots,plot_100x10_points,,,,14060756.0,ns,47
plots,plot_100x10_points,,,,14095283.0,ns,47
plots,plot_100x10_points,,,,14080101.0,ns,47
plots,plot_100x10_points,,,,14120874.0,ns,47
plots,plot_100x10_points,,,,14103177.0,ns,47
plots,plot_100x10_points,,,,13989043.0,ns,47
plots,plot_100x10_points,,,,14662184.0,ns,47
plots,plot_100x10_points,,,,14145487.0,ns,47
plots,plot_100x10_points,,,,14061678.0,ns,47
plots,plot_100x10_points,,,,14339466.0,ns,47
plots,plot_100x10_points,,,,14280802.0,ns,47
plots,plot_100x10_points,,,,14094877.0,ns,47
plots,plot_100x10_points,,,,14139647.0,ns,47
plots,plot_100x10_points,,,,14175200.0,ns,47
plots,plot_100x10_points,,,,14121954.0,ns,47
plots,plot_100x10_points,,,,14056722.0,ns,47
plots,plot_100x10_points,,,,14135840.0,ns,47
plots,plot_100x10_points,,,,14066579.0,ns,47
plots,plot_100x10_points,,,,14091274.0,ns,47
plots,plot_100x10_points,,,,14090232.0,ns,47
plots,plot_100x10_points,,,,14157408.0,ns,47
plots,plot_100x10_points,,,,13999721.0,ns,47
plots,plot_100x10_points,,,,14054721.0,ns,47
plots,plot_100x10_points,,,,14124420.0,ns,47
plots,plot_100x10_points,,,,14031226.0,ns,47
plots,plot_100x10_points,,,,14142744.0,ns,47
plots,plot_100x10_points,,,,14199172.0,ns,47
plots,plot_100x10_points,,,,14187359.0,ns,47
plots,plot_100x10_points,,,,13970655.0,ns,47
plots,plot_100x10_points,,,,14056894.0,ns,47
plots,plot_100x10_points,,,,14211412.0,ns,47
plots,plot_100x10_points,,,,13998814.0,ns,47
plots,plot_100x10_points,,,,14152047.0,ns,47
plots,plot_100x10_points,,,,14029416.0,ns,47
plots,plot_100x10_points,,,,14021240.0,ns,47
plots,plot_100x10_points,,,,14130635.0,ns,47
plots,plot_100x10_points,,,,14010945.0,ns,47
plots,plot_100x10_points,,,,14036523.0,ns,47
plots,plot_100x10_points,,,,13996510.0,ns,47
plots,plot_100x10_points,,,,14072966.0,ns,47
plots,plot_100x10_points,,,,13978673.0,ns,47
plots,plot_100x10_points,,,,14007153.0,ns,47
plots,plot_100x10_points,,,,14079587.0,ns,47
plots,plot_100x10_points,,,,13980463.0,ns,47
plots,plot_100x10_points,,,,14291001.0,ns,47
plots,plot_100x10_points,,,,13963221.0,ns,47
plots,plot_100x10_points,,,,14109464.0,ns,47
plots,plot_100x10_points,,,,13933230.0,ns,47
plots,plot_100x10_points,,,,14081161.0,ns,47
plots,plot_100x10_points,,,,14146477.0,ns,47
plots,plot_100x10_points,,,,14028962.0,ns,47
plots,plot_100x10_points,,,,14173280.0,ns,47
plots,plot_100x10_points,,,,13995834.0,ns,47
plots,plot_100x10_points,,,,14068167.0,ns,47
plots,plot_100x10_points,,,,14048502.0,ns,47
plots,plot_100x10_points,,,,14096097.0,ns,47
plots,plot_100x10_points,,,,14105768.0,ns,47
plots,plot_100x10_points,,,,14024072.0,ns,47
plots,plot_100x10_points,,,,14118360.0,ns,47
plots,plot_100x10_points,,,,14083145.0,ns,47
plots,plot_100x10_points,,,,14090434.0,ns,47
plots,plot_100x10_points,,,,14051446.0,ns,47
plots,plot_100x10_points,,,,14188386.0,ns,47
plots,plot_100x10_points,,,,14172639.0,ns,47
plots,plot_100x10_points,,,,14022362.0,ns,47
plots,plot_100x10_points,,,,14199256.0,ns,47
plots,plot_100x10_points,,,,13987932.0,ns,47
plots,plot_100x10_points,,,,14127110.0,ns,47
plots,plot_100x10_points,,,,14079089.0,ns,47
