group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x100_lines,,,,15058444.0,ns,62
plots,plot_10x100_lines,,,,15237902.0,ns,62
plots,plot_10x100_lines,,,,15279261.0,ns,62
plots,plot_10x100_lines,,,,15321854.0,ns,62
plots,plot_10x100_lines,,,,15299621.0,ns,62
plots,plot_10x100_lines,,,,15347380.0,ns,62
plots,plot_10x100_lines,,,,15426604.0,ns,62
plots,plot_10x100_lines,,,,15481972.0,ns,62
plots,plot_10x100_lines,,,,15595242.0,ns,62
plots,plot_10x100_lines,,,,15565437.0,ns,62
plots,plot_10x100_lines,,,,15637654.0,ns,62
plots,plot_10x100_lines,,,,14513875.0,ns,62
plots,plot_10x100_lines,,,,14464162.0,ns,62
plots,plot_10x100_lines,,,,14501339.0,ns,62
plots,plot_10x100_lines,,,,14366019.0,ns,62
plots,plot_10x100_lines,,,,14356521.0,ns,62
plots,plot_10x100_lines,,,,14395759.0,ns,62
plots,plot_10x100_lines,,,,14428103.0,ns,62
plots,plot_10x100_lines,,,,14218230.0,ns,62
plots,plot_10x100_lines,,,,14189513.0,ns,62
plots,plot_10x100_lines,,,,14254742.0,ns,62
plots,plot_10x100_lines,,,,14187397.0,ns,62
plots,plot_10x100_lines,,,,14216095.0,ns,62
plots,plot_10x100_lines,,,,14188681.0,ns,62
plots,plot_10x100_lines,,,,14315048.0,ns,62
plots,plot_10x100_lines,,,,14213980.0,ns,62
plots,plot_10x100_lines,,,,14265365.0,ns,62
plots,plot_10x100_lines,,,,14338570.0,ns,62
plots,plot_10x100_lines,,,,14240772.0,ns,62
plots,plot_10x100_lines,,,,14275825.0,ns,62
plots,plot_10x100_lines,,,,14295243.0,ns,62
plots,plot_10x100_lines,,,,14429873.0,ns,62
plots,plot_10x100_lines,,,,14273478.0,ns,62
plots,plot_10x100_lines,,,,14345253.0,ns,62
plots,plot_10x100_lines,,,,14485623.0,ns,62
plots,plot_10x100_lines,,,,14367102.0,ns,62
plots,plot_10x100_lines,,,,14393245.0,ns,62
plots,plot_10x100_lines,,,,14353419.0,ns,62
plots,plot_10x100_lines,,,,14410521.0,ns,62
plots,plot_10x100_lines,,,,14286936.0,ns,62
plots,plot_10x100_lines,,,,14319298.0,ns,62
plots,plot_10x100_lines,,,,14460227.0,ns,62
plots,plot_10x100_lines,,,,14379832.0,ns,62
plots,plot_10x100_lines,,,,14405766.0,ns,62
plots,plot_10x100_lines,,,,14376600.0,ns,62
plots,plot_10x100_lines,,,,14392738.0,ns,62
plots,plot_10x100_lines,,,,14354179.0,ns,62
plots,plot_10x100_lines,,,,14342850.0,ns,62
plots,plot_10x100_lines,,,,14350431.0,ns,62
plots,plot_10x100_lines,,,,14379278.0,ns,62
plots,plot_10x100_lines,,,,14397766.0,ns,62
plots,plot_10x100_lines,,,,14316109.0,ns,62
plots,plot_10x100_lines,,,,14542411.0,ns,62
plots,plot_10x100_lines,,,,14374572.0,ns,62
plots,plot_10x100_lines,,,,14458309.0,ns,62
plots,plot_10x100_lines,,,,14433877.0,ns,62
plots,plot_10x100_lines,,,,14414018.0,ns,62
plots,plot_10x100_lines,,,,14363833.0,ns,62
plots,plot_10x100_lines,,,,14397591.0,ns,62
plots,plot_10x100_lines,,,,14505215.0,ns,62
plots,plot_10x100_lines,,,,14381894.0,ns,62
plots,plot_10x100_lines,,,,14562215.0,ns,62
plots,plot_10x100_lines,,,,14313722.0,ns,62
plots,plot_10x100_lines,,,,14434423.0,ns,62
plots,plot_10x100_lines,,,,14418321.0,ns,62
plots,plot_10x100_lines,,,,14501823.0,ns,62
plots,plot_10x100_lines,,,,14364589.0,ns,62
plots,plot_10x100_lines,,,,14317995.0,ns,62
plots,plot_10x100_lines,,,,14549976.0,ns,62
plots,plot_10x100_lines,,,,14215363.0,ns,62
plots,plot_10x100_lines,,,,14359645.0,ns,62
plots,plot_10x100_lines,,,,14519180.0,ns,62
plots,plot_10x100_lines,,,,14361970.0,ns,62
plots,plot_10x100_lines,,,,14365689.0,ns,62
plots,plot_10x100_lines,,,,14438886.0,ns,62
plots,plot_10x100_lines,,,,14528885.0,ns,62
plots,plot_10x100_lines,,,,14209108.0,ns,62
plots,plot_10x100_lines,,,,14408229.0,ns,62
plots,plot_10x100_lines,,,,14417637.0,ns,62
plots,plot_10x100_lines,,,,14471072.0,ns,62
plots,plot_10x100_lines,,,,14375573.0,ns,62
plots,plot_10x100_lines,,,,14393019.0,ns,62
plots,plot_10x100_lines,,,,14510057.0,ns,62
plots,plot_10x100_lines,,,,14321405.0,ns,62
plots,plot_10x100_lines,,,,14417662.0,ns,62
plots,plot_10x100_lines,,,,14601716.0,ns,62
plots,plot_10x100_lines,,,,14364619.0,ns,62
plots,plot_10x100_lines,,,,14449708.0,ns,62
plots,plot_10x100_lines,,,,14412064.0,ns,62
plots,plot_10x100_lines,,,,14537751.0,ns,62
plots,plot_10x100_lines,,,,14441172.0,ns,62
plots,plot_10x100_lines,,,,14350351.0,ns,62
plots,plot_10x100_lines,,,,14289983.0,ns,62
plots,plot_10x100_lines,,,,14312315.0,ns,62
plots,plot_10x100_lines,,,,14356932.0,ns,62
plots,plot_10x100_lines,,,,14334670.0,ns,62
plots,plot_10x100_lines,,,,14452341.0,ns,62
plots,plot_10x100_lines,,,,14434723.0,ns,62
plots,plot_10x100_lines,,,,14560503.0,ns,62
plots,plot_10x100_lines,,,,14362905.0,ns,62
plots,plot_10x100_lines,,,,14421653.0,ns,62
plots,plot_10x100_lines,,,,14477927.0,ns,62
plots,plot_10x100_lines,,,,14491057.0,ns,62
plots,plot_10x100_lines,,,,14554724.0,ns,62
plots,plot_10x100_lines,,,,14330599.0,ns,62
plots,plot_10x100_lines,,,,14517837.0,ns,62
plots,plot_10x100_lines,,,,14419934.0,ns,62
plots,plot_10x100_lines,,,,14428214.0,ns,62
plots,plot_10x100_lines,,,,14434087.0,ns,62
plots,plot_10x100_lines,,,,14501276.0,ns,62
plots,plot_10x100_lines,,,,14443271.0,ns,62
plots,plot_10x100_lines,,,,14303070.0,ns,62
plots,plot_10x100_lines,,,,14489005.0,ns,62
plots,plot_10x100_lines,,,,14355367.0,ns,62
plots,plot_10x100_lines,,,,14401128.0,ns,62
plots,plot_10x100_lines,,,,14447796.0,ns,62
plots,plot_10x100_lines,,,,14440610.0,ns,62
plots,plot_10x100_lines,,,,14550971.0,ns,62
plots,plot_10x100_lines,,,,14373345.0,ns,62
plots,plot_10x100_lines,,,,14641595.0,ns,62
plots,plot_10x100_lines,,,,14321888.0,ns,62
plots,plot_10x100_lines,,,,14439684.0,ns,62
plots,plot_10x100_lines,,,,14405704.0,ns,62
plots,plot_10x100_lines,,,,14389082.0,ns,62
plots,plot_10x100_lines,,,,14599620.0,ns,62
plots,plot_10x100_lines,,,,14366268.0,ns,62
plots,plot_10x100_lines,,,,14499960.0,ns,62
