group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_1000x100_lines,,,,15756699.0,ns,5
plots,plot_1000x100_lines,,,,15326741.0,ns,5
plots,plot_1000x100_lines,,,,14828431.0,ns,5
plots,plot_1000x100_lines,,,,14818274.0,ns,5
plots,plot_1000x100_lines,,,,14816057.0,ns,5
plots,plot_1000x100_lines,,,,14806752.0,ns,5
plots,plot_1000x100_lines,,,,14827756.0,ns,5
plots,plot_1000x100_lines,,,,14812132.0,ns,5
plots,plot_1000x100_lines,,,,14802917.0,ns,5
plots,plot_1000x100_lines,,,,15016240.0,ns,5
plots,plot_1000x100_lines,,,,15138880.0,ns,5
plots,plot_1000x100_lines,,,,15152070.0,ns,5
plots,plot_1000x100_lines,,,,15246947.0,ns,5
plots,plot_1000x100_lines,,,,15302736.0,ns,5
plots,plot_1000x100_lines,,,,15174419.0,ns,5
plots,plot_1000x100_lines,,,,15383735.0,ns,5
plots,plot_1000x100_lines,,,,15311459.0,ns,5
plots,plot_1000x100_lines,,,,15268560.0,ns,5
plots,plot_1000x100_lines,,,,15345421.0,ns,5
plots,plot_1000x100_lines,,,,15385136.0,ns,5
plots,plot_1000x100_lines,,,,15461928.0,ns,5
plots,plot_1000x100_lines,,,,15456269.0,ns,5
plots,plot_1000x100_lines,,,,15422892.0,ns,5
plots,plot_1000x100_lines,,,,15520160.0,ns,5
plots,plot_1000x100_lines,,,,15466075.0,ns,5
plots,plot_1000x100_lines,,,,15504623.0,ns,5
plots,plot_1000x100_lines,,,,15469788.0,ns,5
plots,plot_1000x100_lines,,,,15144928.0,ns,5
plots,plot_1000x100_lines,,,,15135264.0,ns,5
plots,plot_1000x100_lines,,,,15156675.0,ns,5
plots,plot_1000x100_lines,,,,15124706.0,ns,5
plots,plot_1000x100_lines,,,,15131742.0,ns,5
plots,plot_1000x100_lines,,,,15138867.0,ns,5
plots,plot_1000x100_lines,,,,15133651.0,ns,5
plots,plot_1000x100_lines,,,,15140461.0,ns,5
plots,plot_1000x100_lines,,,,15132766.0,ns,5
plots,plot_1000x100_lines,,,,15136648.0,ns,5
plots,plot_1000x100_lines,,,,15132010.0,ns,5
plots,plot_1000x100_lines,,,,15139083.0,ns,5
plots,plot_1000x100_lines,,,,15135236.0,ns,5
plots,plot_1000x100_lines,,,,15419927.0,ns,5
plots,plot_1000x100_lines,,,,14713341.0,ns,5
plots,plot_1000x100_lines,,,,14647704.0,ns,5
plots,plot_1000x100_lines,,,,14640899.0,ns,5
plots,plot_1000x100_lines,,,,14687729.0,ns,5
plots,plot_1000x100_lines,,,,14639184.0,ns,5
plots,plot_1000x100_lines,,,,14687407.0,ns,5
plots,plot_1000x100_lines,,,,14643995.0,ns,5
plots,plot_1000x100_lines,,,,14718584.0,ns,5
plots,plot_1000x100_lines,,,,14680239.0,ns,5
plots,plot_1000x100_lines,,,,14680625.0,ns,5
plots,plot_1000x100_lines,,,,14646883.0,ns,5
plots,plot_1000x100_lines,,,,14643106.0,ns,5
plots,plot_1000x100_lines,,,,14681375.0,ns,5
plots,plot_1000x100_lines,,,,14684626.0,ns,5
plots,plot_1000x100_lines,,,,14676238.0,ns,5
plots,plot_1000x100_lines,,,,14639087.0,ns,5
plots,plot_1000x100_lines,,,,14680295.0,ns,5
plots,plot_1000x100_lines,,,,14640421.0,ns,5
plots,plot_1000x100_lines,,,,14635427.0,ns,5
plots,plot_1000x100_lines,,,,14722114.0,ns,5
plots,plot_1000x100_lines,,,,14722069.0,ns,5
plots,plot_1000x100_lines,,,,14689072.0,ns,5
plots,plot_1000x100_lines,,,,14636827.0,ns,5
plots,plot_1000x100_lines,,,,14683991.0,ns,5
plots,plot_1000x100_lines,,,,14638128.0,ns,5
plots,plot_1000x100_lines,,,,14724147.0,ns,5
plots,plot_1000x100_lines,,,,14635721.0,ns,5
plots,plot_1000x100_lines,,,,14634491.0,ns,5
plots,plot_1000x100_lines,,,,14723302.0,ns,5
plots,plot_1000x100_lines,,,,14637940.0,ns,5
plots,plot_1000x100_lines,,,,14673848.0,ns,5
plots,plot_1000x100_lines,,,,14902492.0,ns,5
plots,plot_1000x100_lines,,,,14674165.0,ns,5
plots,plot_1000x100_lines,,,,14641203.0,ns,5
plots,plot_1000x100_lines,,,,14750389.0,ns,5
plots,plot_1000x100_lines,,,,14637152.0,ns,5
plots,plot_1000x100_lines,,,,14676986.0,ns,5
plots,plot_1000x100_lines,,,,14725765.0,ns,5
plots,plot_1000x100_lines,,,,14641674.0,ns,5
plots,plot_1000x100_lines,,,,14682754.0,ns,5
plots,plot_1000x100_lines,,,,14639178.0,ns,5
plots,plot_1000x100_lines,,,,14678818.0,ns,5
plots,plot_1000x100_lines,,,,14696521.0,ns,5
plots,plot_1000x100_lines,,,,14639590.0,ns,5
plots,plot_1000x100_lines,,,,14678042.0,ns,5
plots,plot_1000x100_lines,,,,14718148.0,ns,5
plots,plot_1000x100_lines,,,,14678555.0,ns,5
plots,plot_1000x100_lines,,,,14676430.0,ns,5
plots,plot_1000x100_lines,,,,14677810.0,ns,5
plots,plot_1000x100_lines,,,,14638020.0,ns,5
plots,plot_1000x100_lines,,,,14725819.0,ns,5
plots,plot_1000x100_lines,,,,14642726.0,ns,5
plots,plot_1000x100_lines,,,,14638123.0,ns,5
plots,plot_1000x100_lines,,,,14681193.0,ns,5
plots,plot_1000x100_lines,,,,14763758.0,ns,5
plots,plot_1000x100_lines,,,,14677296.0,ns,5
plots,plot_1000x100_lines,,,,14696036.0,ns,5
plots,plot_1000x100_lines,,,,14722728.0,ns,5
plots,plot_1000x100_lines,,,,14639891.0,ns,5
plots,plot_1000x100_lines,,,,14721512.0,ns,5
plots,plot_1000x100_lines,,,,14481908.0,ns,5
plots,plot_1000x100_lines,,,,14488239.0,ns,5
plots,plot_1000x100_lines,,,,14644770.0,ns,5
