group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_100x1000_points,,,,17526137.0,ns,2
plots,plot_100x1000_points,,,,17593083.0,ns,2
plots,plot_100x1000_points,,,,17573670.0,ns,2
plots,plot_100x1000_points,,,,17371467.0,ns,2
plots,plot_100x1000_points,,,,17552736.0,ns,2
plots,plot_100x1000_points,,,,17421541.0,ns,2
plots,plot_100x1000_points,,,,17492587.0,ns,2
plots,plot_100x1000_points,,,,17275885.0,ns,2
plots,plot_100x1000_points,,,,17631966.0,ns,2
plots,plot_100x1000_points,,,,17304060.0,ns,2
plots,plot_100x1000_points,,,,17646718.0,ns,2
plots,plot_100x1000_points,,,,17562014.0,ns,2
plots,plot_100x1000_points,,,,17574282.0,ns,2
plots,plot_100x1000_points,,,,17348757.0,ns,2
plots,plot_100x1000_points,,,,17663458.0,ns,2
plots,plot_100x1000_points,,,,17351835.0,ns,2
plots,plot_100x1000_points,,,,17447254.0,ns,2
plots,plot_100x1000_points,,,,18637524.0,ns,2
plots,plot_100x1000_points,,,,17847498.0,ns,2
plots,plot_100x1000_points,,,,17552157.0,ns,2
plots,plot_100x1000_points,,,,17749606.0,ns,2
plots,plot_100x1000_points,,,,17674301.0,ns,2
plots,plot_100x1000_points,,,,17675452.0,ns,2
plots,plot_100x1000_points,,,,17832815.0,ns,2
plots,plot_100x1000_points,,,,17417338.0,ns,2
plots,plot_100x1000_points,,,,17828370.0,ns,2
plots,plot_100x1000_points,,,,17481311.0,ns,2
plots,plot_100x1000_points,,,,17476714.0,ns,2
plots,plot_100x1000_points,,,,18106049.0,ns,2
plots,plot_100x1000_points,,,,17652311.0,ns,2
plots,plot_100x1000_points,,,,17485553.0,ns,2
plots,plot_100x1000_points,,,,17496611.0,ns,2
plots,plot_100x1000_points,,,,17407179.0,ns,2
plots,plot_100x1000_points,,,,17473146.0,ns,2
plots,plot_100x1000_points,,,,17398510.0,ns,2
plots,plot_100x1000_points,,,,17491843.0,ns,2
plots,plot_100x1000_points,,,,17453328.0,ns,2
plots,plot_100x1000_points,,,,17736730.0,ns,2
plots,plot_100x1000_points,,,,17600773.0,ns,2
plots,plot_100x1000_points,,,,17399147.0,ns,2
plots,plot_100x1000_points,,,,17481718.0,ns,2
plots,plot_100x1000_points,,,,17343466.0,ns,2
plots,plot_100x1000_points,,,,17536319.0,ns,2
plots,plot_100x1000_points,,,,17379294.0,ns,2
plots,plot_100x1000_points,,,,17457553.0,ns,2
plots,plot_100x1000_points,,,,17589776.0,ns,2
plots,plot_100x1000_points,,,,17575393.0,ns,2
plots,plot_100x1000_points,,,,17283931.0,ns,2
plots,plot_100x1000_points,,,,17607328.0,ns,2
plots,plot_100x1000_points,,,,17464984.0,ns,2
plots,plot_100x1000_points,,,,17422273.0,ns,2
plots,plot_100x1000_points,,,,17605973.0,ns,2
plots,plot_100x1000_points,,,,17489505.0,ns,2
plots,plot_100x1000_points,,,,17505594.0,ns,2
plots,plot_100x1000_points,,,,17651759.0,ns,2
plots,plot_100x1000_points,,,,17546626.0,ns,2
plots,plot_100x1000_points,,,,17559192.0,ns,2
plots,plot_100x1000_points,,,,17492239.0,ns,2
plots,plot_100x1000_points,,,,17469732.0,ns,2
plots,plot_100x1000_points,,,,17635836.0,ns,2
plots,plot_100x1000_points,,,,17442750.0,ns,2
plots,plot_100x1000_points,,,,17503537.0,ns,2
plots,plot_100x1000_points,,,,17591404.0,ns,2
plots,plot_100x1000_points,,,,17492446.0,ns,2
plots,plot_100x1000_points,,,,17335376.0,ns,2
plots,plot_100x1000_points,,,,17576152.0,ns,2
plots,plot_100x1000_points,,,,17378465.0,ns,2
plots,plot_100x1000_points,,,,17673221.0,ns,2
plots,plot_100x1000_points,,,,17499870.0,ns,2
plots,plot_100x1000_points,,,,17496910.0,ns,2
plots,plot_100x1000_points,,,,18072455.0,ns,2
plots,plot_100x1000_points,,,,17561104.0,ns,2
plots,plot_100x1000_points,,,,17847272.0,ns,2
plots,plot_100x1000_points,,,,17634757.0,ns,2
plots,plot_100x1000_points,,,,17520602.0,ns,2
plots,plot_100x1000_points,,,,17737950.0,ns,2
plots,plot_100x1000_points,,,,18059236.0,ns,2
plots,plot_100x1000_points,,,,18494139.0,ns,2
plots,plot_100x1000_points,,,,18018504.0,ns,2
plots,plot_100x1000_points,,,,18027276.0,ns,2
plots,plot_100x1000_points,,,,18116013.0,ns,2
plots,plot_100x1000_points,,,,18087734.0,ns,2
plots,plot_100x1000_points,,,,18263007.0,ns,2
plots,plot_100x1000_points,,,,17745679.0,ns,2
plots,plot_100x1000_points,,,,17655294.0,ns,2
plots,plot_100x1000_points,,,,17865606.0,ns,2
plots,plot_100x1000_points,,,,17773897.0,ns,2
plots,plot_100x1000_points,,,,17778776.0,ns,2
plots,plot_100x1000_points,,,,17823897.0,ns,2
plots,plot_100x1000_points,,,,17899700.0,ns,2
plots,plot_100x1000_points,,,,17833514.0,ns,2
plots,plot_100x1000_points,,,,17775659.0,ns,2
plots,plot_100x1000_points,,,,17821824.0,ns,2
plots,plot_100x1000_points,,,,17821676.0,ns,2
plots,plot_100x1000_points,,,,17715815.0,ns,2
plots,plot_100x1000_points,,,,17879919.0,ns,2
plots,plot_100x1000_points,,,,17890635.0,ns,2
plots,plot_100x1000_points,,,,17872298.0,ns,2
plots,plot_100x1000_points,,,,17969150.0,ns,2
plots,plot_100x1000_points,,,,17852869.0,ns,2
plots,plot_100x1000_points,,,,17836768.0,ns,2
plots,plot_100x1000_points,,,,17855495.0,ns,2
plots,plot_100x1000_points,,,,17751394.0,ns,2
plots,plot_100x1000_points,,,,17837224.0,ns,2
plots,plot_100x1000_points,,,,17766016.0,ns,2
plots,plot_100x1000_points,,,,17797769.0,ns,2
plots,plot_100x1000_points,,,,17909400.0,ns,2
plots,plot_100x1000_points,,,,17783577.0,ns,2
plots,plot_100x1000_points,,,,18047136.0,ns,2
plots,plot_100x1000_points,,,,17887063.0,ns,2
plots,plot_100x1000_points,,,,19866633.0,ns,2
plots,plot_100x1000_points,,,,16956897.0,ns,2
plots,plot_100x1000_points,,,,15603289.0,ns,2
plots,plot_100x1000_points,,,,15605242.0,ns,2
plots,plot_100x1000_points,,,,15597531.0,ns,2
plots,plot_100x1000_points,,,,15744754.0,ns,2
plots,plot_100x1000_points,,,,15933825.0,ns,2
plots,plot_100x1000_points,,,,15791959.0,ns,2
plots,plot_100x1000_points,,,,15890589.0,ns,2
plots,plot_100x1000_points,,,,15775639.0,ns,2
plots,plot_100x1000_points,,,,15772887.0,ns,2
plots,plot_100x1000_points,,,,15604061.0,ns,2
plots,plot_100x1000_points,,,,15656524.0,ns,2
plots,plot_100x1000_points,,,,15397598.0,ns,2
plots,plot_100x1000_points,,,,15416161.0,ns,2
plots,plot_100x1000_points,,,,15768902.0,ns,2
plots,plot_100x1000_points,,,,15416099.0,ns,2
plots,plot_100x1000_points,,,,15441628.0,ns,2
plots,plot_100x1000_points,,,,15369444.0,ns,2
plots,plot_100x1000_points,,,,15690871.0,ns,2
plots,plot_100x1000_points,,,,15519003.0,ns,2
plots,plot_100x1000_points,,,,15471041.0,ns,2
plots,plot_100x1000_points,,,,15432937.0,ns,2
plots,plot_100x1000_points,,,,15589399.0,ns,2
plots,plot_100x1000_points,,,,15346179.0,ns,2
plots,plot_100x1000_points,,,,15511283.0,ns,2
plots,plot_100x1000_points,,,,15381414.0,ns,2
plots,plot_100x1000_points,,,,15559164.0,ns,2
plots,plot_100x1000_points,,,,15477633.0,ns,2
plots,plot_100x1000_points,,,,15538746.0,ns,2
plots,plot_100x1000_points,,,,15495270.0,ns,2
plots,plot_100x1000_points,,,,15542049.0,ns,2
plots,plot_100x1000_points,,,,15471863.0,ns,2
plots,plot_100x1000_points,,,,15463813.0,ns,2
plots,plot_100x1000_points,,,,15503408.0,ns,2
plots,plot_100x1000_points,,,,15498932.0,ns,2
plots,plot_100x1000_points,,,,15639733.0,ns,2
plots,plot_100x1000_points,,,,15312888.0,ns,2
plots,plot_100x1000_points,,,,15631756.0,ns,2
plots,plot_100x1000_points,,,,15306415.0,ns,2
plots,plot_100x1000_points,,,,15492508.0,ns,2
plots,plot_100x1000_points,,,,15370045.0,ns,2
plots,plot_100x1000_points,,,,15544885.0,ns,2
plots,plot_100x1000_points,,,,15510757.0,ns,2
plots,plot_100x1000_points,,,,15424658.0,ns,2
plots,plot_100x1000_points,,,,15597215.0,ns,2
plots,plot_100x1000_points,,,,15455792.0,ns,2
plots,plot_100x1000_points,,,,15429097.0,ns,2
plots,plot_100x1000_points,,,,15436272.0,ns,2
plots,plot_100x1000_points,,,,15479895.0,ns,2
plots,plot_100x1000_points,,,,15312159.0,ns,2
plots,plot_100x1000_points,,,,15584489.0,ns,2
plots,plot_100x1000_points,,,,15539565.0,ns,2
plots,plot_100x1000_points,,,,15501073.0,ns,2
plots,plot_100x1000_points,,,,15476193.0,ns,2
plots,plot_100x1000_points,,,,15508564.0,ns,2
plots,plot_100x1000_points,,,,15466133.0,ns,2
plots,plot_100x1000_points,,,,15392899.0,ns,2
plots,plot_100x1000_points,,,,15511121.0,ns,2
plots,plot_100x1000_points,,,,15554908.0,ns,2
plots,plot_100x1000_points,,,,15590204.0,ns,2
plots,plot_100x1000_points,,,,15434740.0,ns,2
plots,plot_100x1000_points,,,,15612134.0,ns,2
plots,plot_100x1000_points,,,,15331188.0,ns,2
plots,plot_100x1000_points,,,,15737210.0,ns,2
plots,plot_100x1000_points,,,,15526776.0,ns,2
plots,plot_100x1000_points,,,,15604597.0,ns,2
plots,plot_100x1000_points,,,,15554921.0,ns,2
plots,plot_100x1000_points,,,,15670228.0,ns,2
plots,plot_100x1000_points,,,,15522072.0,ns,2
plots,plot_100x1000_points,,,,15582785.0,ns,2
plots,plot_100x1000_points,,,,15675016.0,ns,2
plots,plot_100x1000_points,,,,15502661.0,ns,2
plots,plot_100x1000_points,,,,15690987.0,ns,2
plots,plot_100x1000_points,,,,15541978.0,ns,2
plots,plot_100x1000_points,,,,15691720.0,ns,2
plots,plot_100x1000_points,,,,15361470.0,ns,2
plots,plot_100x1000_points,,,,15893817.0,ns,2
plots,plot_100x1000_points,,,,15470567.0,ns,2
plots,plot_100x1000_points,,,,15491407.0,ns,2
plots,plot_100x1000_points,,,,15408791.0,ns,2
plots,plot_100x1000_points,,,,15806295.0,ns,2
plots,plot_100x1000_points,,,,15480940.0,ns,2
plots,plot_100x1000_points,,,,15652826.0,ns,2
plots,plot_100x1000_points,,,,15338648.0,ns,2
plots,plot_100x1000_points,,,,15464309.0,ns,2
plots,plot_100x1000_points,,,,15577728.0,ns,2
plots,plot_100x1000_points,,,,15498239.0,ns,2
plots,plot_100x1000_points,,,,15610404.0,ns,2
plots,plot_100x1000_points,,,,15474308.0,ns,2
plots,plot_100x1000_points,,,,15592207.0,ns,2
plots,plot_100x1000_points,,,,15495219.0,ns,2
plots,plot_100x1000_points,,,,15591173.0,ns,2
plots,plot_100x1000_points,,,,15622338.0,ns,2
plots,plot_100x1000_points,,,,15541990.0,ns,2
plots,plot_100x1000_points,,,,15322722.0,ns,2
plots,plot_100x1000_points,,,,15656369.0,ns,2
plots,plot_100x1000_points,,,,15498305.0,ns,2
plots,plot_100x1000_points,,,,15522409.0,ns,2
plots,plot_100x1000_points,,,,15342388.0,ns,2
plots,plot_100x1000_points,,,,15424729.0,ns,2
plots,plot_100x1000_points,,,,15558404.0,ns,2
plots,plot_100x1000_points,,,,15498431.0,ns,2
plots,plot_100x1000_points,,,,15569620.0,ns,2
plots,plot_100x1000_points,,,,15448084.0,ns,2
plots,plot_100x1000_points,,,,15522132.0,ns,2
plots,plot_100x1000_points,,,,15451872.0,ns,2
plots,plot_100x1000_points,,,,15690365.0,ns,2
plots,plot_100x1000_points,,,,15707500.0,ns,2
plots,plot_100x1000_points,,,,15807219.0,ns,2
plots,plot_100x1000_points,,,,15439628.0,ns,2
plots,plot_100x1000_points,,,,15835835.0,ns,2
plots,plot_100x1000_points,,,,15507487.0,ns,2
plots,plot_100x1000_points,,,,15647258.0,ns,2
plots,plot_100x1000_points,,,,15490579.0,ns,2
plots,plot_100x1000_points,,,,15793993.0,ns,2
plots,plot_100x1000_points,,,,15685278.0,ns,2
plots,plot_100x1000_points,,,,15697820.0,ns,2
plots,plot_100x1000_points,,,,15725606.0,ns,2
plots,plot_100x1000_points,,,,15538242.0,ns,2
plots,plot_100x1000_points,,,,15606054.0,ns,2
plots,plot_100x1000_points,,,,15373205.0,ns,2
plots,plot_100x1000_points,,,,15565357.0,ns,2
plots,plot_100x1000_points,,,,15464336.0,ns,2
plots,plot_100x1000_points,,,,15545485.0,ns,2
plots,plot_100x1000_points,,,,15457521.0,ns,2
plots,plot_100x1000_points,,,,15583181.0,ns,2
plots,plot_100x1000_points,,,,15315457.0,ns,2
plots,plot_100x1000_points,,,,15520358.0,ns,2
plots,plot_100x1000_points,,,,15627292.0,ns,2
plots,plot_100x1000_points,,,,15534635.0,ns,2
plots,plot_100x1000_points,,,,15424362.0,ns,2
plots,plot_100x1000_points,,,,15393809.0,ns,2
plots,plot_100x1000_points,,,,15572301.0,ns,2
plots,plot_100x1000_points,,,,15480391.0,ns,2
plots,plot_100x1000_points,,,,15611449.0,ns,2
plots,plot_100x1000_points,,,,15507288.0,ns,2
plots,plot_100x1000_points,,,,15522296.0,ns,2
plots,plot_100x1000_points,,,,15495518.0,ns,2
plots,plot_100x1000_points,,,,15553064.0,ns,2
plots,plot_100x1000_points,,,,15350769.0,ns,2
plots,plot_100x1000_points,,,,15561632.0,ns,2
plots,plot_100x1000_points,,,,15346218.0,ns,2
plots,plot_100x1000_points,,,,15776271.0,ns,2
plots,plot_100x1000_points,,,,15350375.0,ns,2
plots,plot_100x1000_points,,,,15389345.0,ns,2
plots,plot_100x1000_points,,,,15513919.0,ns,2
plots,plot_100x1000_points,,,,15449261.0,ns,2
plots,plot_100x1000_points,,,,15471431.0,ns,2
plots,plot_100x1000_points,,,,15424022.0,ns,2
plots,plot_100x1000_points,,,,15462775.0,ns,2
plots,plot_100x1000_points,,,,15539841.0,ns,2
plots,plot_100x1000_points,,,,15460281.0,ns,2
plots,plot_100x1000_points,,,,15283628.0,ns,2
plots,plot_100x1000_points,,,,15617256.0,ns,2
plots,plot_100x1000_points,,,,15412899.0,ns,2
plots,plot_100x1000_points,,,,17136573.0,ns,2
plots,plot_100x1000_points,,,,17707447.0,ns,2
plots,plot_100x1000_points,,,,17642399.0,ns,2
plots,plot_100x1000_points,,,,17488585.0,ns,2
