group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x1000_lines,,,,14353775.0,ns,45
plots,plot_10x1000_lines,,,,14349762.0,ns,45
plots,plot_10x1000_lines,,,,14250948.0,ns,45
plots,plot_10x1000_lines,,,,14277692.0,ns,45
plots,plot_10x1000_lines,,,,14463226.0,ns,45
plots,plot_10x1000_lines,,,,14279995.0,ns,45
plots,plot_10x1000_lines,,,,14360428.0,ns,45
plots,plot_10x1000_lines,,,,14559363.0,ns,45
plots,plot_10x1000_lines,,,,14305641.0,ns,45
plots,plot_10x1000_lines,,,,14115564.0,ns,45
plots,plot_10x1000_lines,,,,14430947.0,ns,45
plots,plot_10x1000_lines,,,,14324620.0,ns,45
plots,plot_10x1000_lines,,,,14381369.0,ns,45
plots,plot_10x1000_lines,,,,14427233.0,ns,45
plots,plot_10x1000_lines,,,,14317283.0,ns,45
plots,plot_10x1000_lines,,,,14533708.0,ns,45
plots,plot_10x1000_lines,,,,14315543.0,ns,45
plots,plot_10x1000_lines,,,,14412613.0,ns,45
plots,plot_10x1000_lines,,,,14280558.0,ns,45
plots,plot_10x1000_lines,,,,14257478.0,ns,45
plots,plot_10x1000_lines,,,,14282689.0,ns,45
plots,plot_10x1000_lines,,,,14292260.0,ns,45
plots,plot_10x1000_lines,,,,14255209.0,ns,45
plots,plot_10x1000_lines,,,,14359814.0,ns,45
plots,plot_10x1000_lines,,,,14354181.0,ns,45
plots,plot_10x1000_lines,,,,14341377.0,ns,45
plots,plot_10x1000_lines,,,,14305398.0,ns,45
plots,plot_10x1000_lines,,,,14362354.0,ns,45
plots,plot_10x1000_lines,,,,14200872.0,ns,45
plots,plot_10x1000_lines,,,,14381393.0,ns,45
plots,plot_10x1000_lines,,,,14238926.0,ns,45
plots,plot_10x1000_lines,,,,14346441.0,ns,45
plots,plot_10x1000_lines,,,,14320970.0,ns,45
plots,plot_10x1000_lines,,,,14253893.0,ns,45
plots,plot_10x1000_lines,,,,14475707.0,ns,45
plots,plot_10x1000_lines,,,,14290627.0,ns,45
plots,plot_10x1000_lines,,,,14319223.0,ns,45
plots,plot_10x1000_lines,,,,14205905.0,ns,45
plots,plot_10x1000_lines,,,,14395089.0,ns,45
plots,plot_10x1000_lines,,,,14354750.0,ns,45
plots,plot_10x1000_lines,,,,14323260.0,ns,45
plots,plot_10x1000_lines,,,,14428781.0,ns,45
plots,plot_10x1000_lines,,,,14305283.0,ns,45
plots,plot_10x1000_lines,,,,14364033.0,ns,45
plots,plot_10x1000_lines,,,,14217230.0,ns,45
plots,plot_10x1000_lines,,,,14354864.0,ns,45
plots,plot_10x1000_lines,,,,14266258.0,ns,45
plots,plot_10x1000_lines,,,,14333286.0,ns,45
plots,plot_10x1000_lines,,,,14349979.0,ns,45
plots,plot_10x1000_lines,,,,14270812.0,ns,45
plots,plot_10x1000_lines,,,,14303235.0,ns,45
plots,plot_10x1000_lines,,,,14173392.0,ns,45
plots,plot_10x1000_lines,,,,14251117.0,ns,45
plots,plot_10x1000_lines,,,,14277735.0,ns,45
plots,plot_10x1000_lines,,,,14274539.0,ns,45
plots,plot_10x1000_lines,,,,14327235.0,ns,45
plots,plot_10x1000_lines,,,,14108151.0,ns,45
plots,plot_10x1000_lines,,,,14340536.0,ns,45
plots,plot_10x1000_lines,,,,14237616.0,ns,45
plots,plot_10x1000_lines,,,,14351850.0,ns,45
plots,plot_10x1000_lines,,,,14451417.0,ns,45
plots,plot_10x1000_lines,,,,14373484.0,ns,45
plots,plot_10x1000_lines,,,,14362141.0,ns,45
plots,plot_10x1000_lines,,,,14278557.0,ns,45
plots,plot_10x1000_lines,,,,14317558.0,ns,45
plots,plot_10x1000_lines,,,,14290566.0,ns,45
plots,plot_10x1000_lines,,,,14391509.0,ns,45
plots,plot_10x1000_lines,,,,14466493.0,ns,45
plots,plot_10x1000_lines,,,,14394702.0,ns,45
plots,plot_10x1000_lines,,,,14329463.0,ns,45
plots,plot_10x1000_lines,,,,14275873.0,ns,45
plots,plot_10x1000_lines,,,,14328556.0,ns,45
plots,plot_10x1000_lines,,,,14285613.0,ns,45
plots,plot_10x1000_lines,,,,14409186.0,ns,45
plots,plot_10x1000_lines,,,,14284992.0,ns,45
plots,plot_10x1000_lines,,,,14363245.0,ns,45
plots,plot_10x1000_lines,,,,14523339.0,ns,45
plots,plot_10x1000_lines,,,,14216684.0,ns,45
plots,plot_10x1000_lines,,,,14318586.0,ns,45
plots,plot_10x1000_lines,,,,14692860.0,ns,45
plots,plot_10x1000_lines,,,,14672108.0,ns,45
plots,plot_10x1000_lines,,,,14234340.0,ns,45
plots,plot_10x1000_lines,,,,14390927.0,ns,45
plots,plot_10x1000_lines,,,,14789112.0,ns,45
plots,plot_10x1000_lines,,,,14896202.0,ns,45
plots,plot_10x1000_lines,,,,14976344.0,ns,45
plots,plot_10x1000_lines,,,,14984652.0,ns,45
plots,plot_10x1000_lines,,,,15057073.0,ns,45
plots,plot_10x1000_lines,,,,15178354.0,ns,45
plots,plot_10x1000_lines,,,,15211223.0,ns,45
plots,plot_10x1000_lines,,,,15451842.0,ns,45
plots,plot_10x1000_lines,,,,15288190.0,ns,45
plots,plot_10x1000_lines,,,,15297591.0,ns,45
plots,plot_10x1000_lines,,,,15297897.0,ns,45
plots,plot_10x1000_lines,,,,15319990.0,ns,45
plots,plot_10x1000_lines,,,,15300567.0,ns,45
plots,plot_10x1000_lines,,,,15306439.0,ns,45
plots,plot_10x1000_lines,,,,14962538.0,ns,45
plots,plot_10x1000_lines,,,,14577327.0,ns,45
plots,plot_10x1000_lines,,,,14545545.0,ns,45
plots,plot_10x1000_lines,,,,14926271.0,ns,45
plots,plot_10x1000_lines,,,,14628652.0,ns,45
plots,plot_10x1000_lines,,,,14525104.0,ns,45
plots,plot_10x1000_lines,,,,14658029.0,ns,45
plots,plot_10x1000_lines,,,,14584277.0,ns,45
plots,plot_10x1000_lines,,,,14546659.0,ns,45
plots,plot_10x1000_lines,,,,14343414.0,ns,45
plots,plot_10x1000_lines,,,,14631298.0,ns,45
plots,plot_10x1000_lines,,,,14007268.0,ns,45
plots,plot_10x1000_lines,,,,14114309.0,ns,45
plots,plot_10x1000_lines,,,,14387124.0,ns,45
plots,plot_10x1000_lines,,,,14258091.0,ns,45
plots,plot_10x1000_lines,,,,14291865.0,ns,45
plots,plot_10x1000_lines,,,,14179789.0,ns,45
plots,plot_10x1000_lines,,,,14541951.0,ns,45
plots,plot_10x1000_lines,,,,14187764.0,ns,45
plots,plot_10x1000_lines,,,,14240029.0,ns,45
plots,plot_10x1000_lines,,,,14475099.0,ns,45
plots,plot_10x1000_lines,,,,14345367.0,ns,45
plots,plot_10x1000_lines,,,,14268256.0,ns,45
plots,plot_10x1000_lines,,,,14257895.0,ns,45
plots,plot_10x1000_lines,,,,14515806.0,ns,45
plots,plot_10x1000_lines,,,,14181747.0,ns,45
plots,plot_10x1000_lines,,,,14327024.0,ns,45
plots,plot_10x1000_lines,,,,14423643.0,ns,45
plots,plot_10x1000_lines,,,,14281398.0,ns,45
plots,plot_10x1000_lines,,,,14491286.0,ns,45
plots,plot_10x1000_lines,,,,14234679.0,ns,45
plots,plot_10x1000_lines,,,,14560248.0,ns,45
plots,plot_10x1000_lines,,,,14339698.0,ns,45
plots,plot_10x1000_lines,,,,14237536.0,ns,45
plots,plot_10x1000_lines,,,,14403995.0,ns,45
plots,plot_10x1000_lines,,,,14443757.0,ns,45
plots,plot_10x1000_lines,,,,14238700.0,ns,45
plots,plot_10x1000_lines,,,,14376249.0,ns,45
plots,plot_10x1000_lines,,,,14520407.0,ns,45
plots,plot_10x1000_lines,,,,14346408.0,ns,45
plots,plot_10x1000_lines,,,,14318603.0,ns,45
plots,plot_10x1000_lines,,,,14514034.0,ns,45
plots,plot_10x1000_lines,,,,14278656.0,ns,45
plots,plot_10x1000_lines,,,,14314804.0,ns,45
plots,plot_10x1000_lines,,,,14225157.0,ns,45
plots,plot_10x1000_lines,,,,14573330.0,ns,45
plots,plot_10x1000_lines,,,,14259043.0,ns,45
plots,plot_10x1000_lines,,,,14316799.0,ns,45
plots,plot_10x1000_lines,,,,14403006.0,ns,45
plots,plot_10x1000_lines,,,,14367774.0,ns,45
plots,plot_10x1000_lines,,,,14214785.0,ns,45
plots,plot_10x1000_lines,,,,14424499.0,ns,45
plots,plot_10x1000_lines,,,,14327286.0,ns,45
plots,plot_10x1000_lines,,,,14213072.0,ns,45
plots,plot_10x1000_lines,,,,14329361.0,ns,45
plots,plot_10x1000_lines,,,,14393952.0,ns,45
plots,plot_10x1000_lines,,,,14479916.0,ns,45
plots,plot_10x1000_lines,,,,14292336.0,ns,45
plots,plot_10x1000_lines,,,,14290399.0,ns,45
plots,plot_10x1000_lines,,,,14408799.0,ns,45
plots,plot_10x1000_lines,,,,14225615.0,ns,45
plots,plot_10x1000_lines,,,,14292765.0,ns,45
plots,plot_10x1000_lines,,,,14456272.0,ns,45
plots,plot_10x1000_lines,,,,14257114.0,ns,45
plots,plot_10x1000_lines,,,,14262318.0,ns,45
plots,plot_10x1000_lines,,,,14433475.0,ns,45
