group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x1000_points,,,,15525896.0,ns,23
plots,plot_10x1000_points,,,,15568452.0,ns,23
plots,plot_10x1000_points,,,,15498395.0,ns,23
plots,plot_10x1000_points,,,,15497738.0,ns,23
plots,plot_10x1000_points,,,,15525888.0,ns,23
plots,plot_10x1000_points,,,,15571333.0,ns,23
plots,plot_10x1000_points,,,,15578429.0,ns,23
plots,plot_10x1000_points,,,,15486449.0,ns,23
plots,plot_10x1000_points,,,,15496724.0,ns,23
plots,plot_10x1000_points,,,,15494669.0,ns,23
plots,plot_10x1000_points,,,,15670830.0,ns,23
plots,plot_10x1000_points,,,,14439928.0,ns,23
plots,plot_10x1000_points,,,,15160575.0,ns,23
plots,plot_10x1000_points,,,,15492523.0,ns,23
plots,plot_10x1000_points,,,,15619778.0,ns,23
plots,plot_10x1000_points,,,,15547942.0,ns,23
plots,plot_10x1000_points,,,,15672242.0,ns,23
plots,plot_10x1000_points,,,,15699728.0,ns,23
plots,plot_10x1000_points,,,,15748024.0,ns,23
plots,plot_10x1000_points,,,,15792507.0,ns,23
plots,plot_10x1000_points,,,,15752008.0,ns,23
plots,plot_10x1000_points,,,,15786087.0,ns,23
plots,plot_10x1000_points,,,,15807416.0,ns,23
plots,plot_10x1000_points,,,,15656138.0,ns,23
plots,plot_10x1000_points,,,,14523395.0,ns,23
plots,plot_10x1000_points,,,,15301471.0,ns,23
plots,plot_10x1000_points,,,,15660598.0,ns,23
plots,plot_10x1000_points,,,,15722342.0,ns,23
plots,plot_10x1000_points,,,,15856917.0,ns,23
plots,plot_10x1000_points,,,,15802710.0,ns,23
plots,plot_10x1000_points,,,,14475944.0,ns,23
plots,plot_10x1000_points,,,,14619432.0,ns,23
plots,plot_10x1000_points,,,,14952985.0,ns,23
plots,plot_10x1000_points,,,,14996640.0,ns,23
plots,plot_10x1000_points,,,,15236488.0,ns,23
plots,plot_10x1000_points,,,,15156767.0,ns,23
plots,plot_10x1000_points,,,,15161111.0,ns,23
plots,plot_10x1000_points,,,,15173249.0,ns,23
plots,plot_10x1000_points,,,,15191016.0,ns,23
plots,plot_10x1000_points,,,,15137292.0,ns,23
plots,plot_10x1000_points,,,,15121448.0,ns,23
plots,plot_10x1000_points,,,,14417489.0,ns,23
plots,plot_10x1000_points,,,,14370038.0,ns,23
plots,plot_10x1000_points,,,,14939493.0,ns,23
plots,plot_10x1000_points,,,,15192996.0,ns,23
plots,plot_10x1000_points,,,,15241383.0,ns,23
plots,plot_10x1000_points,,,,15447376.0,ns,23
plots,plot_10x1000_points,,,,15383259.0,ns,23
plots,plot_10x1000_points,,,,15464948.0,ns,23
plots,plot_10x1000_points,,,,15415288.0,ns,23
plots,plot_10x1000_points,,,,15414611.0,ns,23
plots,plot_10x1000_points,,,,15464676.0,ns,23
plots,plot_10x1000_points,,,,15480185.0,ns,23
plots,plot_10x1000_points,,,,15527765.0,ns,23
plots,plot_10x1000_points,,,,15542621.0,ns,23
plots,plot_10x1000_points,,,,15665592.0,ns,23
plots,plot_10x1000_points,,,,15498875.0,ns,23
plots,plot_10x1000_points,,,,15609496.0,ns,23
plots,plot_10x1000_points,,,,15424805.0,ns,23
plots,plot_10x1000_points,,,,15577627.0,ns,23
plots,plot_10x1000_points,,,,14902268.0,ns,23
plots,plot_10x1000_points,,,,13853650.0,ns,23
plots,plot_10x1000_points,,,,14122131.0,ns,23
plots,plot_10x1000_points,,,,14006793.0,ns,23
plots,plot_10x1000_points,,,,13860972.0,ns,23
plots,plot_10x1000_points,,,,14042708.0,ns,23
plots,plot_10x1000_points,,,,14017479.0,ns,23
plots,plot_10x1000_points,,,,13895034.0,ns,23
plots,plot_10x1000_points,,,,13960755.0,ns,23
plots,plot_10x1000_points,,,,14086832.0,ns,23
plots,plot_10x1000_points,,,,13824076.0,ns,23
plots,plot_10x1000_points,,,,13984087.0,ns,23
plots,plot_10x1000_points,,,,14146901.0,ns,23
plots,plot_10x1000_points,,,,13925574.0,ns,23
plots,plot_10x1000_points,,,,13966969.0,ns,23
plots,plot_10x1000_points,,,,13970708.0,ns,23
plots,plot_10x1000_points,,,,14158338.0,ns,23
plots,plot_10x1000_points,,,,13971728.0,ns,23
plots,plot_10x1000_points,,,,13989351.0,ns,23
plots,plot_10x1000_points,,,,14114506.0,ns,23
plots,plot_10x1000_points,,,,14009992.0,ns,23
plots,plot_10x1000_points,,,,14039380.0,ns,23
plots,plot_10x1000_points,,,,14083124.0,ns,23
plots,plot_10x1000_points,,,,13994699.0,ns,23
plots,plot_10x1000_points,,,,14246473.0,ns,23
plots,plot_10x1000_points,,,,14131525.0,ns,23
plots,plot_10x1000_points,,,,14068094.0,ns,23
plots,plot_10x1000_points,,,,14092270.0,ns,23
plots,plot_10x1000_points,,,,14084753.0,ns,23
plots,plot_10x1000_points,,,,14231127.0,ns,23
plots,plot_10x1000_points,,,,14319231.0,ns,23
plots,plot_10x1000_points,,,,16541173.0,ns,23
plots,plot_10x1000_points,,,,13934801.0,ns,23
plots,plot_10x1000_points,,,,14581599.0,ns,23
plots,plot_10x1000_points,,,,14783870.0,ns,23
