group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_1000x100_lines,,,,15500332.0,ns,8
plots,plot_1000x100_lines,,,,15511307.0,ns,8
plots,plot_1000x100_lines,,,,15498952.0,ns,8
plots,plot_1000x100_lines,,,,15500273.0,ns,8
plots,plot_1000x100_lines,,,,15527097.0,ns,8
plots,plot_1000x100_lines,,,,15534733.0,ns,8
plots,plot_1000x100_lines,,,,15859453.0,ns,8
plots,plot_1000x100_lines,,,,14304936.0,ns,8
plots,plot_1000x100_lines,,,,14158998.0,ns,8
plots,plot_1000x100_lines,,,,14381527.0,ns,8
plots,plot_1000x100_lines,,,,14261105.0,ns,8
plots,plot_1000x100_lines,,,,14293419.0,ns,8
plots,plot_1000x100_lines,,,,14362600.0,ns,8
plots,plot_1000x100_lines,,,,14297234.0,ns,8
plots,plot_1000x100_lines,,,,14359557.0,ns,8
plots,plot_1000x100_lines,,,,14647757.0,ns,8
plots,plot_1000x100_lines,,,,14404458.0,ns,8
plots,plot_1000x100_lines,,,,14865271.0,ns,8
plots,plot_1000x100_lines,,,,15092138.0,ns,8
plots,plot_1000x100_lines,,,,15128437.0,ns,8
plots,plot_1000x100_lines,,,,15188670.0,ns,8
plots,plot_1000x100_lines,,,,15300280.0,ns,8
plots,plot_1000x100_lines,,,,15256577.0,ns,8
plots,plot_1000x100_lines,,,,15381868.0,ns,8
plots,plot_1000x100_lines,,,,15242171.0,ns,8
plots,plot_1000x100_lines,,,,15302651.0,ns,8
plots,plot_1000x100_lines,,,,15335340.0,ns,8
plots,plot_1000x100_lines,,,,15330540.0,ns,8
plots,plot_1000x100_lines,,,,15329273.0,ns,8
plots,plot_1000x100_lines,,,,15307659.0,ns,8
plots,plot_1000x100_lines,,,,15384464.0,ns,8
plots,plot_1000x100_lines,,,,15400417.0,ns,8
plots,plot_1000x100_lines,,,,15561643.0,ns,8
plots,plot_1000x100_lines,,,,15439884.0,ns,8
