group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_1000x10_points,,,,14246659.0,ns,13
plots,plot_1000x10_points,,,,14293352.0,ns,13
plots,plot_1000x10_points,,,,14255724.0,ns,13
plots,plot_1000x10_points,,,,14216678.0,ns,13
plots,plot_1000x10_points,,,,14244628.0,ns,13
plots,plot_1000x10_points,,,,14212930.0,ns,13
plots,plot_1000x10_points,,,,14208961.0,ns,13
plots,plot_1000x10_points,,,,14275868.0,ns,13
plots,plot_1000x10_points,,,,14251748.0,ns,13
plots,plot_1000x10_points,,,,14199862.0,ns,13
plots,plot_1000x10_points,,,,14279034.0,ns,13
plots,plot_1000x10_points,,,,14209072.0,ns,13
plots,plot_1000x10_points,,,,14231626.0,ns,13
plots,plot_1000x10_points,,,,14184611.0,ns,13
plots,plot_1000x10_points,,,,14261153.0,ns,13
plots,plot_1000x10_points,,,,14329825.0,ns,13
plots,plot_1000x10_points,,,,14268469.0,ns,13
plots,plot_1000x10_points,,,,14348733.0,ns,13
plots,plot_1000x10_points,,,,14582315.0,ns,13
plots,plot_1000x10_points,,,,14522488.0,ns,13
plots,plot_1000x10_points,,,,14595470.0,ns,13
plots,plot_1000x10_points,,,,15105503.0,ns,13
plots,plot_1000x10_points,,,,14784040.0,ns,13
plots,plot_1000x10_points,,,,14468951.0,ns,13
plots,plot_1000x10_points,,,,13424986.0,ns,13
plots,plot_1000x10_points,,,,14159056.0,ns,13
plots,plot_1000x10_points,,,,14598586.0,ns,13
plots,plot_1000x10_points,,,,14785677.0,ns,13
plots,plot_1000x10_points,,,,14954890.0,ns,13
plots,plot_1000x10_points,,,,14904886.0,ns,13
plots,plot_1000x10_points,,,,15193992.0,ns,13
plots,plot_1000x10_points,,,,15217478.0,ns,13
plots,plot_1000x10_points,,,,14778709.0,ns,13
plots,plot_1000x10_points,,,,14869240.0,ns,13
plots,plot_1000x10_points,,,,16431796.0,ns,13
plots,plot_1000x10_points,,,,13537630.0,ns,13
plots,plot_1000x10_points,,,,13126226.0,ns,13
plots,plot_1000x10_points,,,,13992782.0,ns,13
plots,plot_1000x10_points,,,,14055387.0,ns,13
plots,plot_1000x10_points,,,,14610309.0,ns,13
plots,plot_1000x10_points,,,,14131378.0,ns,13
plots,plot_1000x10_points,,,,13813881.0,ns,13
plots,plot_1000x10_points,,,,14142074.0,ns,13
plots,plot_1000x10_points,,,,14211282.0,ns,13
plots,plot_1000x10_points,,,,14233034.0,ns,13
plots,plot_1000x10_points,,,,14349552.0,ns,13
plots,plot_1000x10_points,,,,13758319.0,ns,13
plots,plot_1000x10_points,,,,13808210.0,ns,13
plots,plot_1000x10_points,,,,13817884.0,ns,13
plots,plot_1000x10_points,,,,13969346.0,ns,13
plots,plot_1000x10_points,,,,13907602.0,ns,13
plots,plot_1000x10_points,,,,13811473.0,ns,13
plots,plot_1000x10_points,,,,14205896.0,ns,13
plots,plot_1000x10_points,,,,13652174.0,ns,13
plots,plot_1000x10_points,,,,13657999.0,ns,13
plots,plot_1000x10_points,,,,13965371.0,ns,13
plots,plot_1000x10_points,,,,14044655.0,ns,13
plots,plot_1000x10_points,,,,14027599.0,ns,13
plots,plot_1000x10_points,,,,14200230.0,ns,13
plots,plot_1000x10_points,,,,13717346.0,ns,13
plots,plot_1000x10_points,,,,13614352.0,ns,13
plots,plot_1000x10_points,,,,13820150.0,ns,13
plots,plot_1000x10_points,,,,13927511.0,ns,13
plots,plot_1000x10_points,,,,14138178.0,ns,13
plots,plot_1000x10_points,,,,14200170.0,ns,13
plots,plot_1000x10_points,,,,13925927.0,ns,13
plots,plot_1000x10_points,,,,13684034.0,ns,13
plots,plot_1000x10_points,,,,13892665.0,ns,13
plots,plot_1000x10_points,,,,13973149.0,ns,13
plots,plot_1000x10_points,,,,13847982.0,ns,13
plots,plot_1000x10_points,,,,13865147.0,ns,13
plots,plot_1000x10_points,,,,13665813.0,ns,13
plots,plot_1000x10_points,,,,13649984.0,ns,13
plots,plot_1000x10_points,,,,13705921.0,ns,13
plots,plot_1000x10_points,,,,14003529.0,ns,13
plots,plot_1000x10_points,,,,13803465.0,ns,13
plots,plot_1000x10_points,,,,14832869.0,ns,13
plots,plot_1000x10_points,,,,13841609.0,ns,13
plots,plot_1000x10_points,,,,13776923.0,ns,13
plots,plot_1000x10_points,,,,13650131.0,ns,13
