group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x100_lines,,,,15104202.0,ns,65
plots,plot_10x100_lines,,,,14879937.0,ns,65
plots,plot_10x100_lines,,,,15064025.0,ns,65
plots,plot_10x100_lines,,,,14844780.0,ns,65
plots,plot_10x100_lines,,,,14911719.0,ns,65
plots,plot_10x100_lines,,,,15102499.0,ns,65
plots,plot_10x100_lines,,,,15096277.0,ns,65
plots,plot_10x100_lines,,,,15037293.0,ns,65
plots,plot_10x100_lines,,,,14906473.0,ns,65
plots,plot_10x100_lines,,,,15065921.0,ns,65
plots,plot_10x100_lines,,,,14879438.0,ns,65
plots,plot_10x100_lines,,,,15044856.0,ns,65
plots,plot_10x100_lines,,,,14815190.0,ns,65
plots,plot_10x100_lines,,,,14855563.0,ns,65
plots,plot_10x100_lines,,,,15044468.0,ns,65
plots,plot_10x100_lines,,,,14986983.0,ns,65
plots,plot_10x100_lines,,,,15042207.0,ns,65
plots,plot_10x100_lines,,,,14912431.0,ns,65
plots,plot_10x100_lines,,,,15038938.0,ns,65
plots,plot_10x100_lines,,,,14874986.0,ns,65
plots,plot_10x100_lines,,,,15080050.0,ns,65
plots,plot_10x100_lines,,,,14926215.0,ns,65
plots,plot_10x100_lines,,,,14948988.0,ns,65
plots,plot_10x100_lines,,,,15013636.0,ns,65
plots,plot_10x100_lines,,,,14942247.0,ns,65
plots,plot_10x100_lines,,,,15003813.0,ns,65
plots,plot_10x100_lines,,,,15083127.0,ns,65
plots,plot_10x100_lines,,,,14984467.0,ns,65
plots,plot_10x100_lines,,,,14971370.0,ns,65
plots,plot_10x100_lines,,,,14938329.0,ns,65
plots,plot_10x100_lines,,,,15030218.0,ns,65
plots,plot_10x100_lines,,,,15094275.0,ns,65
plots,plot_10x100_lines,,,,14845363.0,ns,65
plots,plot_10x100_lines,,,,14907763.0,ns,65
plots,plot_10x100_lines,,,,15084287.0,ns,65
plots,plot_10x100_lines,,,,14913475.0,ns,65
plots,plot_10x100_lines,,,,15009962.0,ns,65
plots,plot_10x100_lines,,,,14976939.0,ns,65
plots,plot_10x100_lines,,,,15016048.0,ns,65
plots,plot_10x100_lines,,,,14884512.0,ns,65
plots,plot_10x100_lines,,,,15042766.0,ns,65
plots,plot_10x100_lines,,,,14888607.0,ns,65
plots,plot_10x100_lines,,,,15087749.0,ns,65
plots,plot_10x100_lines,,,,15882771.0,ns,65
plots,plot_10x100_lines,,,,15188201.0,ns,65
plots,plot_10x100_lines,,,,15545147.0,ns,65
plots,plot_10x100_lines,,,,15714904.0,ns,65
