group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10000x10_bars,,,,32708655.0,ns,1
plots,plot_10000x10_bars,,,,32644051.0,ns,1
plots,plot_10000x10_bars,,,,32573958.0,ns,1
plots,plot_10000x10_bars,,,,32688094.0,ns,1
plots,plot_10000x10_bars,,,,32724925.0,ns,1
plots,plot_10000x10_bars,,,,32570289.0,ns,1
plots,plot_10000x10_bars,,,,32687363.0,ns,1
plots,plot_10000x10_bars,,,,32761635.0,ns,1
plots,plot_10000x10_bars,,,,32412951.0,ns,1
plots,plot_10000x10_bars,,,,32495546.0,ns,1
plots,plot_10000x10_bars,,,,32811880.0,ns,1
plots,plot_10000x10_bars,,,,32703410.0,ns,1
plots,plot_10000x10_bars,,,,32780968.0,ns,1
plots,plot_10000x10_bars,,,,32684577.0,ns,1
plots,plot_10000x10_bars,,,,32580809.0,ns,1
plots,plot_10000x10_bars,,,,32620885.0,ns,1
plots,plot_10000x10_bars,,,,32656281.0,ns,1
plots,plot_10000x10_bars,,,,32434013.0,ns,1
plots,plot_10000x10_bars,,,,32483512.0,ns,1
plots,plot_10000x10_bars,,,,32579336.0,ns,1
plots,plot_10000x10_bars,,,,32573927.0,ns,1
plots,plot_10000x10_bars,,,,32745972.0,ns,1
plots,plot_10000x10_bars,,,,32679509.0,ns,1
plots,plot_10000x10_bars,,,,33883376.0,ns,1
plots,plot_10000x10_bars,,,,30520594.0,ns,1
plots,plot_10000x10_bars,,,,32417085.0,ns,1
plots,plot_10000x10_bars,,,,32609382.0,ns,1
plots,plot_10000x10_bars,,,,32507196.0,ns,1
plots,plot_10000x10_bars,,,,32573391.0,ns,1
plots,plot_10000x10_bars,,,,33145140.0,ns,1
plots,plot_10000x10_bars,,,,32636456.0,ns,1
plots,plot_10000x10_bars,,,,32111852.0,ns,1
plots,plot_10000x10_bars,,,,31014704.0,ns,1
plots,plot_10000x10_bars,,,,30990107.0,ns,1
plots,plot_10000x10_bars,,,,30595862.0,ns,1
plots,plot_10000x10_bars,,,,30854030.0,ns,1
plots,plot_10000x10_bars,,,,30834019.0,ns,1
plots,plot_10000x10_bars,,,,30975457.0,ns,1
plots,plot_10000x10_bars,,,,30615199.0,ns,1
plots,plot_10000x10_bars,,,,30951849.0,ns,1
plots,plot_10000x10_bars,,,,30642753.0,ns,1
plots,plot_10000x10_bars,,,,30639122.0,ns,1
plots,plot_10000x10_bars,,,,30814770.0,ns,1
plots,plot_10000x10_bars,,,,30677999.0,ns,1
plots,plot_10000x10_bars,,,,31213744.0,ns,1
plots,plot_10000x10_bars,,,,31123077.0,ns,1
plots,plot_10000x10_bars,,,,30818759.0,ns,1
plots,plot_10000x10_bars,,,,30591752.0,ns,1
plots,plot_10000x10_bars,,,,30821738.0,ns,1
plots,plot_10000x10_bars,,,,30757776.0,ns,1
plots,plot_10000x10_bars,,,,30899346.0,ns,1
plots,plot_10000x10_bars,,,,30599089.0,ns,1
plots,plot_10000x10_bars,,,,31072763.0,ns,1
plots,plot_10000x10_bars,,,,31221820.0,ns,1
plots,plot_10000x10_bars,,,,30622944.0,ns,1
plots,plot_10000x10_bars,,,,30958730.0,ns,1
plots,plot_10000x10_bars,,,,31350102.0,ns,1
plots,plot_10000x10_bars,,,,31181797.0,ns,1
plots,plot_10000x10_bars,,,,31190059.0,ns,1
plots,plot_10000x10_bars,,,,30995529.0,ns,1
plots,plot_10000x10_bars,,,,30965385.0,ns,1
plots,plot_10000x10_bars,,,,30761485.0,ns,1
plots,plot_10000x10_bars,,,,30618649.0,ns,1
plots,plot_10000x10_bars,,,,30974413.0,ns,1
plots,plot_10000x10_bars,,,,31898053.0,ns,1
plots,plot_10000x10_bars,,,,30888987.0,ns,1
plots,plot_10000x10_bars,,,,30935998.0,ns,1
plots,plot_10000x10_bars,,,,31033791.0,ns,1
plots,plot_10000x10_bars,,,,30606991.0,ns,1
plots,plot_10000x10_bars,,,,30932665.0,ns,1
plots,plot_10000x10_bars,,,,30814457.0,ns,1
plots,plot_10000x10_bars,,,,31052007.0,ns,1
plots,plot_10000x10_bars,,,,30775461.0,ns,1
plots,plot_10000x10_bars,,,,30852248.0,ns,1
plots,plot_10000x10_bars,,,,30855667.0,ns,1
plots,plot_10000x10_bars,,,,30694813.0,ns,1
plots,plot_10000x10_bars,,,,30567796.0,ns,1
plots,plot_10000x10_bars,,,,31002035.0,ns,1
plots,plot_10000x10_bars,,,,30846553.0,ns,1
plots,plot_10000x10_bars,,,,30756275.0,ns,1
plots,plot_10000x10_bars,,,,30689528.0,ns,1
plots,plot_10000x10_bars,,,,30830800.0,ns,1
plots,plot_10000x10_bars,,,,30677826.0,ns,1
plots,plot_10000x10_bars,,,,30724786.0,ns,1
plots,plot_10000x10_bars,,,,30916311.0,ns,1
plots,plot_10000x10_bars,,,,30772118.0,ns,1
plots,plot_10000x10_bars,,,,31791092.0,ns,1
plots,plot_10000x10_bars,,,,29419605.0,ns,1
plots,plot_10000x10_bars,,,,30982912.0,ns,1
plots,plot_10000x10_bars,,,,31367680.0,ns,1
plots,plot_10000x10_bars,,,,32373918.0,ns,1
plots,plot_10000x10_bars,,,,32224993.0,ns,1
plots,plot_10000x10_bars,,,,33344243.0,ns,1
plots,plot_10000x10_bars,,,,32397936.0,ns,1
plots,plot_10000x10_bars,,,,32350797.0,ns,1
plots,plot_10000x10_bars,,,,32296790.0,ns,1
plots,plot_10000x10_bars,,,,32335903.0,ns,1
plots,plot_10000x10_bars,,,,32276441.0,ns,1
plots,plot_10000x10_bars,,,,32358151.0,ns,1
plots,plot_10000x10_bars,,,,32252717.0,ns,1
plots,plot_10000x10_bars,,,,32211265.0,ns,1
plots,plot_10000x10_bars,,,,32201770.0,ns,1
plots,plot_10000x10_bars,,,,32156214.0,ns,1
plots,plot_10000x10_bars,,,,32120045.0,ns,1
plots,plot_10000x10_bars,,,,32272353.0,ns,1
plots,plot_10000x10_bars,,,,32229392.0,ns,1
plots,plot_10000x10_bars,,,,32405680.0,ns,1
plots,plot_10000x10_bars,,,,32109179.0,ns,1
plots,plot_10000x10_bars,,,,32243322.0,ns,1
plots,plot_10000x10_bars,,,,32184406.0,ns,1
plots,plot_10000x10_bars,,,,32375167.0,ns,1
plots,plot_10000x10_bars,,,,32139624.0,ns,1
plots,plot_10000x10_bars,,,,32385632.0,ns,1
plots,plot_10000x10_bars,,,,32246055.0,ns,1
plots,plot_10000x10_bars,,,,32464422.0,ns,1
plots,plot_10000x10_bars,,,,32323435.0,ns,1
plots,plot_10000x10_bars,,,,32155938.0,ns,1
plots,plot_10000x10_bars,,,,32218094.0,ns,1
plots,plot_10000x10_bars,,,,32390460.0,ns,1
plots,plot_10000x10_bars,,,,32187069.0,ns,1
plots,plot_10000x10_bars,,,,32272670.0,ns,1
plots,plot_10000x10_bars,,,,32362274.0,ns,1
plots,plot_10000x10_bars,,,,32363430.0,ns,1
plots,plot_10000x10_bars,,,,32402383.0,ns,1
plots,plot_10000x10_bars,,,,32534120.0,ns,1
plots,plot_10000x10_bars,,,,29335307.0,ns,1
plots,plot_10000x10_bars,,,,30886263.0,ns,1
plots,plot_10000x10_bars,,,,31550089.0,ns,1
plots,plot_10000x10_bars,,,,29192630.0,ns,1
plots,plot_10000x10_bars,,,,32268320.0,ns,1
plots,plot_10000x10_bars,,,,30745515.0,ns,1
plots,plot_10000x10_bars,,,,33321174.0,ns,1
plots,plot_10000x10_bars,,,,33238444.0,ns,1
plots,plot_10000x10_bars,,,,33252669.0,ns,1
plots,plot_10000x10_bars,,,,33178841.0,ns,1
plots,plot_10000x10_bars,,,,32716066.0,ns,1
plots,plot_10000x10_bars,,,,33039796.0,ns,1
plots,plot_10000x10_bars,,,,32860747.0,ns,1
plots,plot_10000x10_bars,,,,32937464.0,ns,1
plots,plot_10000x10_bars,,,,32808034.0,ns,1
plots,plot_10000x10_bars,,,,33254475.0,ns,1
plots,plot_10000x10_bars,,,,33097236.0,ns,1
plots,plot_10000x10_bars,,,,32773099.0,ns,1
plots,plot_10000x10_bars,,,,32945069.0,ns,1
plots,plot_10000x10_bars,,,,33067285.0,ns,1
plots,plot_10000x10_bars,,,,32862522.0,ns,1
plots,plot_10000x10_bars,,,,33336094.0,ns,1
plots,plot_10000x10_bars,,,,33214634.0,ns,1
plots,plot_10000x10_bars,,,,33148959.0,ns,1
plots,plot_10000x10_bars,,,,33211101.0,ns,1
plots,plot_10000x10_bars,,,,32957826.0,ns,1
plots,plot_10000x10_bars,,,,33190407.0,ns,1
plots,plot_10000x10_bars,,,,33334209.0,ns,1
plots,plot_10000x10_bars,,,,33098965.0,ns,1
plots,plot_10000x10_bars,,,,32941829.0,ns,1
plots,plot_10000x10_bars,,,,32878269.0,ns,1
plots,plot_10000x10_bars,,,,33231853.0,ns,1
plots,plot_10000x10_bars,,,,33077792.0,ns,1
plots,plot_10000x10_bars,,,,32956001.0,ns,1
plots,plot_10000x10_bars,,,,32804471.0,ns,1
plots,plot_10000x10_bars,,,,33089268.0,ns,1
plots,plot_10000x10_bars,,,,33485843.0,ns,1
plots,plot_10000x10_bars,,,,32911088.0,ns,1
plots,plot_10000x10_bars,,,,32947531.0,ns,1
plots,plot_10000x10_bars,,,,32890450.0,ns,1
plots,plot_10000x10_bars,,,,32679452.0,ns,1
plots,plot_10000x10_bars,,,,32723395.0,ns,1
plots,plot_10000x10_bars,,,,32799622.0,ns,1
plots,plot_10000x10_bars,,,,32906159.0,ns,1
plots,plot_10000x10_bars,,,,32613003.0,ns,1
plots,plot_10000x10_bars,,,,33105622.0,ns,1
plots,plot_10000x10_bars,,,,32332606.0,ns,1
plots,plot_10000x10_bars,,,,32693391.0,ns,1
plots,plot_10000x10_bars,,,,32608688.0,ns,1
plots,plot_10000x10_bars,,,,32726457.0,ns,1
plots,plot_10000x10_bars,,,,33785989.0,ns,1
plots,plot_10000x10_bars,,,,32552587.0,ns,1
plots,plot_10000x10_bars,,,,33049652.0,ns,1
plots,plot_10000x10_bars,,,,32506478.0,ns,1
plots,plot_10000x10_bars,,,,33027873.0,ns,1
plots,plot_10000x10_bars,,,,30572045.0,ns,1
plots,plot_10000x10_bars,,,,33222503.0,ns,1
plots,plot_10000x10_bars,,,,32978938.0,ns,1
plots,plot_10000x10_bars,,,,30417470.0,ns,1
plots,plot_10000x10_bars,,,,33177178.0,ns,1
plots,plot_10000x10_bars,,,,30723017.0,ns,1
plots,plot_10000x10_bars,,,,32766804.0,ns,1
plots,plot_10000x10_bars,,,,33262181.0,ns,1
plots,plot_10000x10_bars,,,,33030704.0,ns,1
plots,plot_10000x10_bars,,,,32518280.0,ns,1
plots,plot_10000x10_bars,,,,32603919.0,ns,1
plots,plot_10000x10_bars,,,,32078881.0,ns,1
plots,plot_10000x10_bars,,,,32391785.0,ns,1
plots,plot_10000x10_bars,,,,33167664.0,ns,1
plots,plot_10000x10_bars,,,,30122493.0,ns,1
plots,plot_10000x10_bars,,,,31679205.0,ns,1
plots,plot_10000x10_bars,,,,31796118.0,ns,1
plots,plot_10000x10_bars,,,,30962626.0,ns,1
plots,plot_10000x10_bars,,,,30900874.0,ns,1
plots,plot_10000x10_bars,,,,31065160.0,ns,1
plots,plot_10000x10_bars,,,,30747575.0,ns,1
plots,plot_10000x10_bars,,,,31197923.0,ns,1
plots,plot_10000x10_bars,,,,30837024.0,ns,1
plots,plot_10000x10_bars,,,,30983754.0,ns,1
plots,plot_10000x10_bars,,,,30717126.0,ns,1
plots,plot_10000x10_bars,,,,30822926.0,ns,1
plots,plot_10000x10_bars,,,,31170380.0,ns,1
plots,plot_10000x10_bars,,,,30795240.0,ns,1
plots,plot_10000x10_bars,,,,31268353.0,ns,1
plots,plot_10000x10_bars,,,,31170916.0,ns,1
plots,plot_10000x10_bars,,,,30826094.0,ns,1
plots,plot_10000x10_bars,,,,30935397.0,ns,1
plots,plot_10000x10_bars,,,,31259879.0,ns,1
plots,plot_10000x10_bars,,,,31334834.0,ns,1
plots,plot_10000x10_bars,,,,31116247.0,ns,1
plots,plot_10000x10_bars,,,,30771179.0,ns,1
plots,plot_10000x10_bars,,,,31139634.0,ns,1
