group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10000x10_points,,,,14299775.0,ns,1
plots,plot_10000x10_points,,,,14365083.0,ns,1
plots,plot_10000x10_points,,,,14441724.0,ns,1
plots,plot_10000x10_points,,,,12747446.0,ns,1
plots,plot_10000x10_points,,,,14393539.0,ns,1
plots,plot_10000x10_points,,,,14404424.0,ns,1
plots,plot_10000x10_points,,,,14334584.0,ns,1
plots,plot_10000x10_points,,,,14284247.0,ns,1
plots,plot_10000x10_points,,,,14312949.0,ns,1
plots,plot_10000x10_points,,,,14290093.0,ns,1
plots,plot_10000x10_points,,,,14338064.0,ns,1
plots,plot_10000x10_points,,,,14283344.0,ns,1
plots,plot_10000x10_points,,,,14291061.0,ns,1
plots,plot_10000x10_points,,,,14314777.0,ns,1
plots,plot_10000x10_points,,,,14314959.0,ns,1
plots,plot_10000x10_points,,,,14400290.0,ns,1
plots,plot_10000x10_points,,,,14358498.0,ns,1
plots,plot_10000x10_points,,,,14341089.0,ns,1
plots,plot_10000x10_points,,,,14235911.0,ns,1
plots,plot_10000x10_points,,,,14283563.0,ns,1
plots,plot_10000x10_points,,,,14228335.0,ns,1
plots,plot_10000x10_points,,,,14221673.0,ns,1
plots,plot_10000x10_points,,,,14724956.0,ns,1
plots,plot_10000x10_points,,,,14424099.0,ns,1
plots,plot_10000x10_points,,,,14420837.0,ns,1
plots,plot_10000x10_points,,,,14501193.0,ns,1
plots,plot_10000x10_points,,,,14356658.0,ns,1
plots,plot_10000x10_points,,,,14306582.0,ns,1
plots,plot_10000x10_points,,,,14444229.0,ns,1
plots,plot_10000x10_points,,,,14497311.0,ns,1
plots,plot_10000x10_points,,,,14254368.0,ns,1
plots,plot_10000x10_points,,,,12323032.0,ns,1
plots,plot_10000x10_points,,,,14198807.0,ns,1
plots,plot_10000x10_points,,,,14019808.0,ns,1
plots,plot_10000x10_points,,,,13927612.0,ns,1
plots,plot_10000x10_points,,,,14007124.0,ns,1
plots,plot_10000x10_points,,,,14067429.0,ns,1
plots,plot_10000x10_points,,,,13923066.0,ns,1
plots,plot_10000x10_points,,,,14002381.0,ns,1
plots,plot_10000x10_points,,,,14085140.0,ns,1
plots,plot_10000x10_points,,,,13953613.0,ns,1
plots,plot_10000x10_points,,,,13911761.0,ns,1
plots,plot_10000x10_points,,,,13873153.0,ns,1
plots,plot_10000x10_points,,,,14029237.0,ns,1
plots,plot_10000x10_points,,,,13923759.0,ns,1
plots,plot_10000x10_points,,,,13919816.0,ns,1
plots,plot_10000x10_points,,,,14017765.0,ns,1
plots,plot_10000x10_points,,,,14024749.0,ns,1
plots,plot_10000x10_points,,,,13923998.0,ns,1
plots,plot_10000x10_points,,,,13810323.0,ns,1
plots,plot_10000x10_points,,,,14052898.0,ns,1
plots,plot_10000x10_points,,,,14048824.0,ns,1
plots,plot_10000x10_points,,,,13974493.0,ns,1
plots,plot_10000x10_points,,,,13994374.0,ns,1
plots,plot_10000x10_points,,,,14144103.0,ns,1
plots,plot_10000x10_points,,,,14555027.0,ns,1
plots,plot_10000x10_points,,,,13853767.0,ns,1
plots,plot_10000x10_points,,,,13907920.0,ns,1
plots,plot_10000x10_points,,,,13744160.0,ns,1
plots,plot_10000x10_points,,,,13821825.0,ns,1
plots,plot_10000x10_points,,,,13806758.0,ns,1
plots,plot_10000x10_points,,,,13805625.0,ns,1
plots,plot_10000x10_points,,,,14025920.0,ns,1
plots,plot_10000x10_points,,,,13978448.0,ns,1
plots,plot_10000x10_points,,,,14009110.0,ns,1
plots,plot_10000x10_points,,,,14064817.0,ns,1
plots,plot_10000x10_points,,,,13994599.0,ns,1
plots,plot_10000x10_points,,,,13931846.0,ns,1
plots,plot_10000x10_points,,,,14102522.0,ns,1
plots,plot_10000x10_points,,,,13783290.0,ns,1
plots,plot_10000x10_points,,,,13591253.0,ns,1
plots,plot_10000x10_points,,,,13829979.0,ns,1
plots,plot_10000x10_points,,,,13646975.0,ns,1
plots,plot_10000x10_points,,,,13648907.0,ns,1
plots,plot_10000x10_points,,,,13884880.0,ns,1
plots,plot_10000x10_points,,,,14714942.0,ns,1
plots,plot_10000x10_points,,,,14579477.0,ns,1
plots,plot_10000x10_points,,,,14627727.0,ns,1
plots,plot_10000x10_points,,,,14801946.0,ns,1
plots,plot_10000x10_points,,,,14963957.0,ns,1
plots,plot_10000x10_points,,,,14006647.0,ns,1
plots,plot_10000x10_points,,,,13790486.0,ns,1
plots,plot_10000x10_points,,,,13962142.0,ns,1
plots,plot_10000x10_points,,,,14025576.0,ns,1
plots,plot_10000x10_points,,,,13922699.0,ns,1
plots,plot_10000x10_points,,,,14143643.0,ns,1
plots,plot_10000x10_points,,,,14060451.0,ns,1
plots,plot_10000x10_points,,,,13942839.0,ns,1
plots,plot_10000x10_points,,,,14021619.0,ns,1
plots,plot_10000x10_points,,,,14005569.0,ns,1
plots,plot_10000x10_points,,,,13826157.0,ns,1
plots,plot_10000x10_points,,,,13636404.0,ns,1
plots,plot_10000x10_points,,,,14012375.0,ns,1
plots,plot_10000x10_points,,,,13788786.0,ns,1
plots,plot_10000x10_points,,,,13666525.0,ns,1
plots,plot_10000x10_points,,,,13742535.0,ns,1
plots,plot_10000x10_points,,,,13762028.0,ns,1
plots,plot_10000x10_points,,,,13813739.0,ns,1
plots,plot_10000x10_points,,,,13684872.0,ns,1
plots,plot_10000x10_points,,,,13653124.0,ns,1
plots,plot_10000x10_points,,,,13907369.0,ns,1
plots,plot_10000x10_points,,,,13636068.0,ns,1
plots,plot_10000x10_points,,,,13751344.0,ns,1
plots,plot_10000x10_points,,,,13825944.0,ns,1
plots,plot_10000x10_points,,,,13646859.0,ns,1
plots,plot_10000x10_points,,,,14353491.0,ns,1
plots,plot_10000x10_points,,,,12418585.0,ns,1
plots,plot_10000x10_points,,,,14137841.0,ns,1
plots,plot_10000x10_points,,,,13924397.0,ns,1
plots,plot_10000x10_points,,,,13982766.0,ns,1
plots,plot_10000x10_points,,,,13749469.0,ns,1
