group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_1000x10_lines,,,,14157350.0,ns,14
plots,plot_1000x10_lines,,,,14305370.0,ns,14
plots,plot_1000x10_lines,,,,14317271.0,ns,14
plots,plot_1000x10_lines,,,,14380140.0,ns,14
plots,plot_1000x10_lines,,,,14374152.0,ns,14
plots,plot_1000x10_lines,,,,14479949.0,ns,14
plots,plot_1000x10_lines,,,,14492620.0,ns,14
plots,plot_1000x10_lines,,,,14484340.0,ns,14
plots,plot_1000x10_lines,,,,14532587.0,ns,14
plots,plot_1000x10_lines,,,,14482441.0,ns,14
plots,plot_1000x10_lines,,,,14474105.0,ns,14
plots,plot_1000x10_lines,,,,14457705.0,ns,14
plots,plot_1000x10_lines,,,,14392725.0,ns,14
plots,plot_1000x10_lines,,,,14401298.0,ns,14
plots,plot_1000x10_lines,,,,14494919.0,ns,14
plots,plot_1000x10_lines,,,,14520149.0,ns,14
plots,plot_1000x10_lines,,,,14473978.0,ns,14
plots,plot_1000x10_lines,,,,14517993.0,ns,14
plots,plot_1000x10_lines,,,,14472487.0,ns,14
plots,plot_1000x10_lines,,,,14525559.0,ns,14
plots,plot_1000x10_lines,,,,14521657.0,ns,14
plots,plot_1000x10_lines,,,,14521760.0,ns,14
plots,plot_1000x10_lines,,,,14524708.0,ns,14
plots,plot_1000x10_lines,,,,14472202.0,ns,14
plots,plot_1000x10_lines,,,,14581451.0,ns,14
plots,plot_1000x10_lines,,,,14602521.0,ns,14
plots,plot_1000x10_lines,,,,14624520.0,ns,14
plots,plot_1000x10_lines,,,,14520654.0,ns,14
plots,plot_1000x10_lines,,,,14629933.0,ns,14
plots,plot_1000x10_lines,,,,14561628.0,ns,14
plots,plot_1000x10_lines,,,,14634034.0,ns,14
plots,plot_1000x10_lines,,,,14468773.0,ns,14
plots,plot_1000x10_lines,,,,14657546.0,ns,14
plots,plot_1000x10_lines,,,,14641081.0,ns,14
plots,plot_1000x10_lines,,,,14467299.0,ns,14
plots,plot_1000x10_lines,,,,14630788.0,ns,14
plots,plot_1000x10_lines,,,,14578386.0,ns,14
plots,plot_1000x10_lines,,,,14504626.0,ns,14
plots,plot_1000x10_lines,,,,14511636.0,ns,14
plots,plot_1000x10_lines,,,,14548701.0,ns,14
plots,plot_1000x10_lines,,,,14520226.0,ns,14
plots,plot_1000x10_lines,,,,14464688.0,ns,14
plots,plot_1000x10_lines,,,,14644660.0,ns,14
plots,plot_1000x10_lines,,,,14483583.0,ns,14
plots,plot_1000x10_lines,,,,14667124.0,ns,14
plots,plot_1000x10_lines,,,,14599004.0,ns,14
plots,plot_1000x10_lines,,,,14655556.0,ns,14
plots,plot_1000x10_lines,,,,14461694.0,ns,14
plots,plot_1000x10_lines,,,,14617688.0,ns,14
plots,plot_1000x10_lines,,,,14589426.0,ns,14
plots,plot_1000x10_lines,,,,14516992.0,ns,14
plots,plot_1000x10_lines,,,,14609373.0,ns,14
plots,plot_1000x10_lines,,,,14296064.0,ns,14
plots,plot_1000x10_lines,,,,13838502.0,ns,14
plots,plot_1000x10_lines,,,,13993258.0,ns,14
plots,plot_1000x10_lines,,,,14021649.0,ns,14
plots,plot_1000x10_lines,,,,14311703.0,ns,14
plots,plot_1000x10_lines,,,,14148301.0,ns,14
plots,plot_1000x10_lines,,,,14313030.0,ns,14
plots,plot_1000x10_lines,,,,14275352.0,ns,14
plots,plot_1000x10_lines,,,,14295533.0,ns,14
plots,plot_1000x10_lines,,,,14301625.0,ns,14
plots,plot_1000x10_lines,,,,14405997.0,ns,14
plots,plot_1000x10_lines,,,,14382834.0,ns,14
plots,plot_1000x10_lines,,,,14578427.0,ns,14
plots,plot_1000x10_lines,,,,14582495.0,ns,14
plots,plot_1000x10_lines,,,,14602202.0,ns,14
plots,plot_1000x10_lines,,,,14579123.0,ns,14
plots,plot_1000x10_lines,,,,14624568.0,ns,14
plots,plot_1000x10_lines,,,,14656717.0,ns,14
plots,plot_1000x10_lines,,,,14651730.0,ns,14
plots,plot_1000x10_lines,,,,14600081.0,ns,14
plots,plot_1000x10_lines,,,,14595365.0,ns,14
plots,plot_1000x10_lines,,,,14654957.0,ns,14
plots,plot_1000x10_lines,,,,14648298.0,ns,14
plots,plot_1000x10_lines,,,,14654414.0,ns,14
plots,plot_1000x10_lines,,,,14617161.0,ns,14
plots,plot_1000x10_lines,,,,14671218.0,ns,14
plots,plot_1000x10_lines,,,,14652309.0,ns,14
plots,plot_1000x10_lines,,,,14651951.0,ns,14
plots,plot_1000x10_lines,,,,14641623.0,ns,14
plots,plot_1000x10_lines,,,,14658812.0,ns,14
plots,plot_1000x10_lines,,,,14662286.0,ns,14
plots,plot_1000x10_lines,,,,14661535.0,ns,14
