group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_100x1000_bars,,,,24929956.0,ns,1
plots,plot_100x1000_bars,,,,24826119.0,ns,1
plots,plot_100x1000_bars,,,,24861542.0,ns,1
plots,plot_100x1000_bars,,,,25072199.0,ns,1
plots,plot_100x1000_bars,,,,24917241.0,ns,1
plots,plot_100x1000_bars,,,,24941712.0,ns,1
plots,plot_100x1000_bars,,,,23117170.0,ns,1
plots,plot_100x1000_bars,,,,25329548.0,ns,1
plots,plot_100x1000_bars,,,,23361453.0,ns,1
plots,plot_100x1000_bars,,,,24617816.0,ns,1
plots,plot_100x1000_bars,,,,24510733.0,ns,1
plots,plot_100x1000_bars,,,,24591517.0,ns,1
plots,plot_100x1000_bars,,,,24526633.0,ns,1
plots,plot_100x1000_bars,,,,24535871.0,ns,1
plots,plot_100x1000_bars,,,,24531114.0,ns,1
plots,plot_100x1000_bars,,,,24518596.0,ns,1
plots,plot_100x1000_bars,,,,24507264.0,ns,1
plots,plot_100x1000_bars,,,,24542789.0,ns,1
plots,plot_100x1000_bars,,,,24570030.0,ns,1
plots,plot_100x1000_bars,,,,24477441.0,ns,1
plots,plot_100x1000_bars,,,,24452189.0,ns,1
plots,plot_100x1000_bars,,,,24509469.0,ns,1
plots,plot_100x1000_bars,,,,24447064.0,ns,1
plots,plot_100x1000_bars,,,,24419680.0,ns,1
plots,plot_100x1000_bars,,,,23411868.0,ns,1
plots,plot_100x1000_bars,,,,25121567.0,ns,1
plots,plot_100x1000_bars,,,,25122928.0,ns,1
plots,plot_100x1000_bars,,,,25146073.0,ns,1
plots,plot_100x1000_bars,,,,25018045.0,ns,1
plots,plot_100x1000_bars,,,,25373519.0,ns,1
plots,plot_100x1000_bars,,,,22398337.0,ns,1
plots,plot_100x1000_bars,,,,24005177.0,ns,1
plots,plot_100x1000_bars,,,,23916215.0,ns,1
plots,plot_100x1000_bars,,,,23988857.0,ns,1
plots,plot_100x1000_bars,,,,23986809.0,ns,1
plots,plot_100x1000_bars,,,,23976388.0,ns,1
plots,plot_100x1000_bars,,,,24012893.0,ns,1
plots,plot_100x1000_bars,,,,24012971.0,ns,1
plots,plot_100x1000_bars,,,,23864415.0,ns,1
plots,plot_100x1000_bars,,,,24075119.0,ns,1
plots,plot_100x1000_bars,,,,23106575.0,ns,1
plots,plot_100x1000_bars,,,,24395754.0,ns,1
plots,plot_100x1000_bars,,,,24817529.0,ns,1
plots,plot_100x1000_bars,,,,22716472.0,ns,1
plots,plot_100x1000_bars,,,,24714851.0,ns,1
plots,plot_100x1000_bars,,,,22537211.0,ns,1
plots,plot_100x1000_bars,,,,23734661.0,ns,1
plots,plot_100x1000_bars,,,,23680865.0,ns,1
plots,plot_100x1000_bars,,,,23923771.0,ns,1
plots,plot_100x1000_bars,,,,23690167.0,ns,1
plots,plot_100x1000_bars,,,,23611922.0,ns,1
plots,plot_100x1000_bars,,,,23700003.0,ns,1
plots,plot_100x1000_bars,,,,23743616.0,ns,1
plots,plot_100x1000_bars,,,,23664628.0,ns,1
plots,plot_100x1000_bars,,,,23653309.0,ns,1
plots,plot_100x1000_bars,,,,23723737.0,ns,1
plots,plot_100x1000_bars,,,,23727419.0,ns,1
plots,plot_100x1000_bars,,,,23672864.0,ns,1
plots,plot_100x1000_bars,,,,23751110.0,ns,1
plots,plot_100x1000_bars,,,,24079504.0,ns,1
plots,plot_100x1000_bars,,,,23719900.0,ns,1
plots,plot_100x1000_bars,,,,23864937.0,ns,1
plots,plot_100x1000_bars,,,,23727679.0,ns,1
plots,plot_100x1000_bars,,,,23840938.0,ns,1
plots,plot_100x1000_bars,,,,23602307.0,ns,1
plots,plot_100x1000_bars,,,,23888361.0,ns,1
plots,plot_100x1000_bars,,,,23590268.0,ns,1
plots,plot_100x1000_bars,,,,23825779.0,ns,1
plots,plot_100x1000_bars,,,,23856366.0,ns,1
plots,plot_100x1000_bars,,,,23805805.0,ns,1
plots,plot_100x1000_bars,,,,23615049.0,ns,1
plots,plot_100x1000_bars,,,,23738553.0,ns,1
plots,plot_100x1000_bars,,,,23724200.0,ns,1
plots,plot_100x1000_bars,,,,23718819.0,ns,1
plots,plot_100x1000_bars,,,,23754571.0,ns,1
plots,plot_100x1000_bars,,,,23708937.0,ns,1
plots,plot_100x1000_bars,,,,23648446.0,ns,1
plots,plot_100x1000_bars,,,,23657668.0,ns,1
plots,plot_100x1000_bars,,,,24298868.0,ns,1
plots,plot_100x1000_bars,,,,24443738.0,ns,1
plots,plot_100x1000_bars,,,,22538969.0,ns,1
plots,plot_100x1000_bars,,,,24629165.0,ns,1
plots,plot_100x1000_bars,,,,24380103.0,ns,1
plots,plot_100x1000_bars,,,,24525253.0,ns,1
plots,plot_100x1000_bars,,,,25350351.0,ns,1
plots,plot_100x1000_bars,,,,24797826.0,ns,1
plots,plot_100x1000_bars,,,,25194654.0,ns,1
plots,plot_100x1000_bars,,,,25402162.0,ns,1
plots,plot_100x1000_bars,,,,25008181.0,ns,1
plots,plot_100x1000_bars,,,,22678942.0,ns,1
plots,plot_100x1000_bars,,,,24775893.0,ns,1
plots,plot_100x1000_bars,,,,25044300.0,ns,1
plots,plot_100x1000_bars,,,,25013881.0,ns,1
plots,plot_100x1000_bars,,,,25060728.0,ns,1
plots,plot_100x1000_bars,,,,24696113.0,ns,1
plots,plot_100x1000_bars,,,,23658336.0,ns,1
plots,plot_100x1000_bars,,,,24012741.0,ns,1
plots,plot_100x1000_bars,,,,23807101.0,ns,1
plots,plot_100x1000_bars,,,,24108491.0,ns,1
plots,plot_100x1000_bars,,,,23939181.0,ns,1
plots,plot_100x1000_bars,,,,22672448.0,ns,1
plots,plot_100x1000_bars,,,,24087066.0,ns,1
plots,plot_100x1000_bars,,,,23950681.0,ns,1
plots,plot_100x1000_bars,,,,24208346.0,ns,1
plots,plot_100x1000_bars,,,,24247648.0,ns,1
plots,plot_100x1000_bars,,,,24165398.0,ns,1
plots,plot_100x1000_bars,,,,24076829.0,ns,1
plots,plot_100x1000_bars,,,,21532993.0,ns,1
plots,plot_100x1000_bars,,,,24367106.0,ns,1
plots,plot_100x1000_bars,,,,21793943.0,ns,1
plots,plot_100x1000_bars,,,,23969895.0,ns,1
plots,plot_100x1000_bars,,,,23774791.0,ns,1
plots,plot_100x1000_bars,,,,23915802.0,ns,1
plots,plot_100x1000_bars,,,,24282550.0,ns,1
plots,plot_100x1000_bars,,,,24330045.0,ns,1
plots,plot_100x1000_bars,,,,24488918.0,ns,1
plots,plot_100x1000_bars,,,,24514901.0,ns,1
plots,plot_100x1000_bars,,,,24695468.0,ns,1
plots,plot_100x1000_bars,,,,24673655.0,ns,1
plots,plot_100x1000_bars,,,,24716595.0,ns,1
plots,plot_100x1000_bars,,,,24677726.0,ns,1
plots,plot_100x1000_bars,,,,24761715.0,ns,1
plots,plot_100x1000_bars,,,,22008416.0,ns,1
plots,plot_100x1000_bars,,,,24031068.0,ns,1
plots,plot_100x1000_bars,,,,23812840.0,ns,1
plots,plot_100x1000_bars,,,,23890281.0,ns,1
plots,plot_100x1000_bars,,,,23938946.0,ns,1
plots,plot_100x1000_bars,,,,23935434.0,ns,1
plots,plot_100x1000_bars,,,,23918781.0,ns,1
plots,plot_100x1000_bars,,,,23868210.0,ns,1
plots,plot_100x1000_bars,,,,23987408.0,ns,1
plots,plot_100x1000_bars,,,,23764492.0,ns,1
plots,plot_100x1000_bars,,,,23641650.0,ns,1
plots,plot_100x1000_bars,,,,23876611.0,ns,1
plots,plot_100x1000_bars,,,,23586709.0,ns,1
plots,plot_100x1000_bars,,,,23799359.0,ns,1
plots,plot_100x1000_bars,,,,23745412.0,ns,1
plots,plot_100x1000_bars,,,,23629706.0,ns,1
plots,plot_100x1000_bars,,,,23876264.0,ns,1
plots,plot_100x1000_bars,,,,23747788.0,ns,1
plots,plot_100x1000_bars,,,,23942026.0,ns,1
plots,plot_100x1000_bars,,,,23649786.0,ns,1
plots,plot_100x1000_bars,,,,23770160.0,ns,1
