group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x1000_points,,,,15793075.0,ns,24
plots,plot_10x1000_points,,,,15720729.0,ns,24
plots,plot_10x1000_points,,,,15724455.0,ns,24
plots,plot_10x1000_points,,,,15700174.0,ns,24
plots,plot_10x1000_points,,,,15246629.0,ns,24
plots,plot_10x1000_points,,,,15661648.0,ns,24
plots,plot_10x1000_points,,,,14833936.0,ns,24
plots,plot_10x1000_points,,,,14585409.0,ns,24
plots,plot_10x1000_points,,,,14372438.0,ns,24
plots,plot_10x1000_points,,,,14536597.0,ns,24
plots,plot_10x1000_points,,,,14656713.0,ns,24
plots,plot_10x1000_points,,,,15000119.0,ns,24
plots,plot_10x1000_points,,,,14994561.0,ns,24
plots,plot_10x1000_points,,,,15011499.0,ns,24
plots,plot_10x1000_points,,,,14996624.0,ns,24
plots,plot_10x1000_points,,,,14993055.0,ns,24
plots,plot_10x1000_points,,,,14998095.0,ns,24
plots,plot_10x1000_points,,,,14862394.0,ns,24
plots,plot_10x1000_points,,,,14732690.0,ns,24
plots,plot_10x1000_points,,,,17188692.0,ns,24
plots,plot_10x1000_points,,,,16537150.0,ns,24
plots,plot_10x1000_points,,,,15162902.0,ns,24
plots,plot_10x1000_points,,,,17327880.0,ns,24
plots,plot_10x1000_points,,,,15379166.0,ns,24
plots,plot_10x1000_points,,,,15808691.0,ns,24
plots,plot_10x1000_points,,,,15185558.0,ns,24
plots,plot_10x1000_points,,,,14958471.0,ns,24
plots,plot_10x1000_points,,,,14953921.0,ns,24
plots,plot_10x1000_points,,,,14957987.0,ns,24
plots,plot_10x1000_points,,,,15036337.0,ns,24
plots,plot_10x1000_points,,,,15302912.0,ns,24
plots,plot_10x1000_points,,,,15381597.0,ns,24
plots,plot_10x1000_points,,,,15418231.0,ns,24
plots,plot_10x1000_points,,,,15519916.0,ns,24
plots,plot_10x1000_points,,,,15592017.0,ns,24
plots,plot_10x1000_points,,,,15630524.0,ns,24
plots,plot_10x1000_points,,,,15646157.0,ns,24
plots,plot_10x1000_points,,,,15682297.0,ns,24
plots,plot_10x1000_points,,,,15694062.0,ns,24
plots,plot_10x1000_points,,,,15692066.0,ns,24
plots,plot_10x1000_points,,,,15696109.0,ns,24
plots,plot_10x1000_points,,,,15743868.0,ns,24
plots,plot_10x1000_points,,,,15696114.0,ns,24
plots,plot_10x1000_points,,,,15746282.0,ns,24
plots,plot_10x1000_points,,,,15734911.0,ns,24
plots,plot_10x1000_points,,,,15684138.0,ns,24
plots,plot_10x1000_points,,,,15729053.0,ns,24
plots,plot_10x1000_points,,,,15615263.0,ns,24
plots,plot_10x1000_points,,,,15754902.0,ns,24
plots,plot_10x1000_points,,,,15795054.0,ns,24
plots,plot_10x1000_points,,,,15823135.0,ns,24
plots,plot_10x1000_points,,,,15835807.0,ns,24
plots,plot_10x1000_points,,,,15731147.0,ns,24
plots,plot_10x1000_points,,,,15767068.0,ns,24
plots,plot_10x1000_points,,,,15853003.0,ns,24
plots,plot_10x1000_points,,,,15856097.0,ns,24
plots,plot_10x1000_points,,,,15813499.0,ns,24
plots,plot_10x1000_points,,,,15903762.0,ns,24
plots,plot_10x1000_points,,,,15667963.0,ns,24
plots,plot_10x1000_points,,,,15855825.0,ns,24
plots,plot_10x1000_points,,,,15779015.0,ns,24
plots,plot_10x1000_points,,,,15830091.0,ns,24
plots,plot_10x1000_points,,,,15801627.0,ns,24
plots,plot_10x1000_points,,,,15811464.0,ns,24
plots,plot_10x1000_points,,,,15946760.0,ns,24
plots,plot_10x1000_points,,,,15685223.0,ns,24
plots,plot_10x1000_points,,,,15872552.0,ns,24
plots,plot_10x1000_points,,,,15830607.0,ns,24
plots,plot_10x1000_points,,,,15863890.0,ns,24
plots,plot_10x1000_points,,,,15616590.0,ns,24
plots,plot_10x1000_points,,,,15809233.0,ns,24
plots,plot_10x1000_points,,,,15836454.0,ns,24
plots,plot_10x1000_points,,,,15841365.0,ns,24
plots,plot_10x1000_points,,,,15788479.0,ns,24
plots,plot_10x1000_points,,,,15890155.0,ns,24
plots,plot_10x1000_points,,,,15848182.0,ns,24
plots,plot_10x1000_points,,,,15840284.0,ns,24
plots,plot_10x1000_points,,,,15818064.0,ns,24
plots,plot_10x1000_points,,,,15876626.0,ns,24
plots,plot_10x1000_points,,,,15893975.0,ns,24
plots,plot_10x1000_points,,,,15814616.0,ns,24
plots,plot_10x1000_points,,,,15835008.0,ns,24
plots,plot_10x1000_points,,,,15859018.0,ns,24
plots,plot_10x1000_points,,,,15691519.0,ns,24
plots,plot_10x1000_points,,,,15869700.0,ns,24
plots,plot_10x1000_points,,,,15891321.0,ns,24
plots,plot_10x1000_points,,,,15832208.0,ns,24
plots,plot_10x1000_points,,,,15901220.0,ns,24
plots,plot_10x1000_points,,,,15745112.0,ns,24
plots,plot_10x1000_points,,,,15726194.0,ns,24
plots,plot_10x1000_points,,,,15860429.0,ns,24
plots,plot_10x1000_points,,,,15855047.0,ns,24
plots,plot_10x1000_points,,,,15800195.0,ns,24
plots,plot_10x1000_points,,,,15807064.0,ns,24
plots,plot_10x1000_points,,,,15812083.0,ns,24
plots,plot_10x1000_points,,,,15914962.0,ns,24
plots,plot_10x1000_points,,,,15798998.0,ns,24
plots,plot_10x1000_points,,,,15818237.0,ns,24
plots,plot_10x1000_points,,,,15849039.0,ns,24
plots,plot_10x1000_points,,,,15808255.0,ns,24
plots,plot_10x1000_points,,,,15810451.0,ns,24
plots,plot_10x1000_points,,,,15833377.0,ns,24
plots,plot_10x1000_points,,,,15940703.0,ns,24
plots,plot_10x1000_points,,,,15890874.0,ns,24
plots,plot_10x1000_points,,,,15759638.0,ns,24
plots,plot_10x1000_points,,,,15781244.0,ns,24
plots,plot_10x1000_points,,,,15894206.0,ns,24
plots,plot_10x1000_points,,,,15846669.0,ns,24
plots,plot_10x1000_points,,,,15793225.0,ns,24
plots,plot_10x1000_points,,,,15841217.0,ns,24
