group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x10_lines,,,,14850479.0,ns,65
plots,plot_10x10_lines,,,,14898330.0,ns,65
plots,plot_10x10_lines,,,,15067348.0,ns,65
plots,plot_10x10_lines,,,,14851817.0,ns,65
plots,plot_10x10_lines,,,,14897760.0,ns,65
plots,plot_10x10_lines,,,,14930017.0,ns,65
plots,plot_10x10_lines,,,,14955520.0,ns,65
plots,plot_10x10_lines,,,,14841900.0,ns,65
plots,plot_10x10_lines,,,,14922543.0,ns,65
plots,plot_10x10_lines,,,,14886240.0,ns,65
plots,plot_10x10_lines,,,,14835487.0,ns,65
plots,plot_10x10_lines,,,,14850087.0,ns,65
plots,plot_10x10_lines,,,,14901518.0,ns,65
plots,plot_10x10_lines,,,,14905933.0,ns,65
plots,plot_10x10_lines,,,,14977157.0,ns,65
plots,plot_10x10_lines,,,,14807283.0,ns,65
plots,plot_10x10_lines,,,,14986486.0,ns,65
plots,plot_10x10_lines,,,,14848567.0,ns,65
plots,plot_10x10_lines,,,,14875922.0,ns,65
plots,plot_10x10_lines,,,,14889553.0,ns,65
plots,plot_10x10_lines,,,,14839933.0,ns,65
plots,plot_10x10_lines,,,,14858460.0,ns,65
plots,plot_10x10_lines,,,,14908525.0,ns,65
plots,plot_10x10_lines,,,,14920151.0,ns,65
plots,plot_10x10_lines,,,,14825533.0,ns,65
plots,plot_10x10_lines,,,,14956973.0,ns,65
plots,plot_10x10_lines,,,,14916177.0,ns,65
plots,plot_10x10_lines,,,,14839125.0,ns,65
plots,plot_10x10_lines,,,,14822834.0,ns,65
plots,plot_10x10_lines,,,,14928342.0,ns,65
plots,plot_10x10_lines,,,,15001609.0,ns,65
plots,plot_10x10_lines,,,,14858474.0,ns,65
plots,plot_10x10_lines,,,,14901807.0,ns,65
plots,plot_10x10_lines,,,,14865951.0,ns,65
plots,plot_10x10_lines,,,,14923415.0,ns,65
plots,plot_10x10_lines,,,,14825247.0,ns,65
plots,plot_10x10_lines,,,,14904319.0,ns,65
plots,plot_10x10_lines,,,,14838676.0,ns,65
plots,plot_10x10_lines,,,,14988097.0,ns,65
plots,plot_10x10_lines,,,,14881011.0,ns,65
plots,plot_10x10_lines,,,,14882754.0,ns,65
plots,plot_10x10_lines,,,,14905003.0,ns,65
plots,plot_10x10_lines,,,,14863678.0,ns,65
plots,plot_10x10_lines,,,,15043524.0,ns,65
plots,plot_10x10_lines,,,,14859816.0,ns,65
plots,plot_10x10_lines,,,,14880604.0,ns,65
plots,plot_10x10_lines,,,,14819785.0,ns,65
plots,plot_10x10_lines,,,,15053045.0,ns,65
plots,plot_10x10_lines,,,,14945302.0,ns,65
plots,plot_10x10_lines,,,,14906116.0,ns,65
plots,plot_10x10_lines,,,,14881443.0,ns,65
plots,plot_10x10_lines,,,,14832308.0,ns,65
plots,plot_10x10_lines,,,,14802174.0,ns,65
plots,plot_10x10_lines,,,,14858196.0,ns,65
plots,plot_10x10_lines,,,,14897595.0,ns,65
plots,plot_10x10_lines,,,,15092730.0,ns,65
plots,plot_10x10_lines,,,,14947232.0,ns,65
plots,plot_10x10_lines,,,,14843617.0,ns,65
plots,plot_10x10_lines,,,,14956466.0,ns,65
plots,plot_10x10_lines,,,,14850403.0,ns,65
plots,plot_10x10_lines,,,,14863714.0,ns,65
plots,plot_10x10_lines,,,,14860706.0,ns,65
plots,plot_10x10_lines,,,,14842669.0,ns,65
plots,plot_10x10_lines,,,,14990463.0,ns,65
plots,plot_10x10_lines,,,,14940151.0,ns,65
plots,plot_10x10_lines,,,,14832543.0,ns,65
plots,plot_10x10_lines,,,,14849464.0,ns,65
plots,plot_10x10_lines,,,,14849450.0,ns,65
plots,plot_10x10_lines,,,,14880427.0,ns,65
plots,plot_10x10_lines,,,,15088080.0,ns,65
plots,plot_10x10_lines,,,,15058078.0,ns,65
plots,plot_10x10_lines,,,,14873589.0,ns,65
plots,plot_10x10_lines,,,,14915905.0,ns,65
plots,plot_10x10_lines,,,,14829825.0,ns,65
plots,plot_10x10_lines,,,,14827846.0,ns,65
plots,plot_10x10_lines,,,,14839626.0,ns,65
plots,plot_10x10_lines,,,,14816951.0,ns,65
plots,plot_10x10_lines,,,,15056455.0,ns,65
plots,plot_10x10_lines,,,,15044368.0,ns,65
plots,plot_10x10_lines,,,,14903072.0,ns,65
plots,plot_10x10_lines,,,,14796774.0,ns,65
plots,plot_10x10_lines,,,,14886899.0,ns,65
plots,plot_10x10_lines,,,,14824065.0,ns,65
plots,plot_10x10_lines,,,,15020207.0,ns,65
plots,plot_10x10_lines,,,,14885752.0,ns,65
plots,plot_10x10_lines,,,,14823784.0,ns,65
plots,plot_10x10_lines,,,,14856242.0,ns,65
plots,plot_10x10_lines,,,,14909932.0,ns,65
plots,plot_10x10_lines,,,,14823379.0,ns,65
plots,plot_10x10_lines,,,,14828779.0,ns,65
plots,plot_10x10_lines,,,,14969185.0,ns,65
plots,plot_10x10_lines,,,,14826099.0,ns,65
plots,plot_10x10_lines,,,,14863789.0,ns,65
plots,plot_10x10_lines,,,,14937303.0,ns,65
plots,plot_10x10_lines,,,,14895522.0,ns,65
plots,plot_10x10_lines,,,,14837491.0,ns,65
plots,plot_10x10_lines,,,,14897879.0,ns,65
plots,plot_10x10_lines,,,,15069919.0,ns,65
plots,plot_10x10_lines,,,,14307470.0,ns,65
plots,plot_10x10_lines,,,,14749906.0,ns,65
plots,plot_10x10_lines,,,,15084813.0,ns,65
plots,plot_10x10_lines,,,,15215827.0,ns,65
plots,plot_10x10_lines,,,,15258867.0,ns,65
plots,plot_10x10_lines,,,,15400173.0,ns,65
plots,plot_10x10_lines,,,,15420539.0,ns,65
plots,plot_10x10_lines,,,,15470692.0,ns,65
plots,plot_10x10_lines,,,,15507946.0,ns,65
plots,plot_10x10_lines,,,,15530774.0,ns,65
plots,plot_10x10_lines,,,,15576173.0,ns,65
plots,plot_10x10_lines,,,,15627980.0,ns,65
plots,plot_10x10_lines,,,,15681650.0,ns,65
plots,plot_10x10_lines,,,,15758817.0,ns,65
plots,plot_10x10_lines,,,,15750502.0,ns,65
plots,plot_10x10_lines,,,,15728381.0,ns,65
plots,plot_10x10_lines,,,,15729167.0,ns,65
plots,plot_10x10_lines,,,,15829290.0,ns,65
plots,plot_10x10_lines,,,,15806195.0,ns,65
plots,plot_10x10_lines,,,,15859564.0,ns,65
plots,plot_10x10_lines,,,,15802315.0,ns,65
plots,plot_10x10_lines,,,,15855298.0,ns,65
plots,plot_10x10_lines,,,,15854875.0,ns,65
plots,plot_10x10_lines,,,,15854951.0,ns,65
plots,plot_10x10_lines,,,,15856462.0,ns,65
plots,plot_10x10_lines,,,,15854047.0,ns,65
plots,plot_10x10_lines,,,,15878777.0,ns,65
plots,plot_10x10_lines,,,,15862523.0,ns,65
plots,plot_10x10_lines,,,,15858627.0,ns,65
plots,plot_10x10_lines,,,,15864880.0,ns,65
plots,plot_10x10_lines,,,,15862874.0,ns,65
plots,plot_10x10_lines,,,,15860004.0,ns,65
