group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10000x10_points,,,,14045021.0,ns,1
plots,plot_10000x10_points,,,,14001864.0,ns,1
plots,plot_10000x10_points,,,,14332951.0,ns,1
plots,plot_10000x10_points,,,,13809288.0,ns,1
plots,plot_10000x10_points,,,,13752427.0,ns,1
plots,plot_10000x10_points,,,,13736939.0,ns,1
plots,plot_10000x10_points,,,,13648708.0,ns,1
plots,plot_10000x10_points,,,,13988362.0,ns,1
plots,plot_10000x10_points,,,,13792805.0,ns,1
plots,plot_10000x10_points,,,,13709875.0,ns,1
plots,plot_10000x10_points,,,,13780537.0,ns,1
plots,plot_10000x10_points,,,,13744376.0,ns,1
plots,plot_10000x10_points,,,,13752278.0,ns,1
plots,plot_10000x10_points,,,,13799771.0,ns,1
plots,plot_10000x10_points,,,,13668576.0,ns,1
plots,plot_10000x10_points,,,,13716826.0,ns,1
plots,plot_10000x10_points,,,,13681011.0,ns,1
plots,plot_10000x10_points,,,,13791293.0,ns,1
plots,plot_10000x10_points,,,,13679605.0,ns,1
plots,plot_10000x10_points,,,,13682748.0,ns,1
plots,plot_10000x10_points,,,,13827913.0,ns,1
plots,plot_10000x10_points,,,,13667696.0,ns,1
plots,plot_10000x10_points,,,,13798003.0,ns,1
plots,plot_10000x10_points,,,,13806552.0,ns,1
plots,plot_10000x10_points,,,,13838465.0,ns,1
plots,plot_10000x10_points,,,,13805732.0,ns,1
plots,plot_10000x10_points,,,,13640578.0,ns,1
plots,plot_10000x10_points,,,,13725483.0,ns,1
plots,plot_10000x10_points,,,,13662842.0,ns,1
plots,plot_10000x10_points,,,,13837887.0,ns,1
plots,plot_10000x10_points,,,,13798540.0,ns,1
plots,plot_10000x10_points,,,,13704004.0,ns,1
plots,plot_10000x10_points,,,,13838527.0,ns,1
plots,plot_10000x10_points,,,,13676265.0,ns,1
plots,plot_10000x10_points,,,,13755992.0,ns,1
plots,plot_10000x10_points,,,,13798332.0,ns,1
plots,plot_10000x10_points,,,,13706586.0,ns,1
plots,plot_10000x10_points,,,,13875467.0,ns,1
plots,plot_10000x10_points,,,,13758367.0,ns,1
plots,plot_10000x10_points,,,,13829095.0,ns,1
plots,plot_10000x10_points,,,,13721456.0,ns,1
plots,plot_10000x10_points,,,,13752612.0,ns,1
plots,plot_10000x10_points,,,,13770169.0,ns,1
plots,plot_10000x10_points,,,,13754184.0,ns,1
plots,plot_10000x10_points,,,,13870126.0,ns,1
plots,plot_10000x10_points,,,,13781393.0,ns,1
plots,plot_10000x10_points,,,,13916190.0,ns,1
plots,plot_10000x10_points,,,,13807840.0,ns,1
plots,plot_10000x10_points,,,,13694340.0,ns,1
plots,plot_10000x10_points,,,,13886313.0,ns,1
plots,plot_10000x10_points,,,,14140313.0,ns,1
plots,plot_10000x10_points,,,,13753625.0,ns,1
plots,plot_10000x10_points,,,,13510607.0,ns,1
plots,plot_10000x10_points,,,,13723999.0,ns,1
plots,plot_10000x10_points,,,,13549472.0,ns,1
plots,plot_10000x10_points,,,,13532782.0,ns,1
plots,plot_10000x10_points,,,,13668776.0,ns,1
plots,plot_10000x10_points,,,,13506673.0,ns,1
plots,plot_10000x10_points,,,,13699872.0,ns,1
plots,plot_10000x10_points,,,,13725869.0,ns,1
plots,plot_10000x10_points,,,,13727269.0,ns,1
plots,plot_10000x10_points,,,,13681964.0,ns,1
plots,plot_10000x10_points,,,,13547593.0,ns,1
plots,plot_10000x10_points,,,,13652714.0,ns,1
plots,plot_10000x10_points,,,,13517340.0,ns,1
plots,plot_10000x10_points,,,,13540170.0,ns,1
plots,plot_10000x10_points,,,,13676771.0,ns,1
plots,plot_10000x10_points,,,,13556465.0,ns,1
plots,plot_10000x10_points,,,,13592761.0,ns,1
plots,plot_10000x10_points,,,,13686334.0,ns,1
plots,plot_10000x10_points,,,,13483869.0,ns,1
plots,plot_10000x10_points,,,,13702220.0,ns,1
plots,plot_10000x10_points,,,,13551154.0,ns,1
plots,plot_10000x10_points,,,,13665778.0,ns,1
plots,plot_10000x10_points,,,,13498757.0,ns,1
plots,plot_10000x10_points,,,,13668618.0,ns,1
plots,plot_10000x10_points,,,,13564269.0,ns,1
plots,plot_10000x10_points,,,,13548826.0,ns,1
plots,plot_10000x10_points,,,,13714164.0,ns,1
plots,plot_10000x10_points,,,,13488893.0,ns,1
plots,plot_10000x10_points,,,,13971825.0,ns,1
plots,plot_10000x10_points,,,,12716170.0,ns,1
plots,plot_10000x10_points,,,,14277437.0,ns,1
plots,plot_10000x10_points,,,,13064009.0,ns,1
plots,plot_10000x10_points,,,,13999673.0,ns,1
plots,plot_10000x10_points,,,,13993203.0,ns,1
plots,plot_10000x10_points,,,,13791370.0,ns,1
plots,plot_10000x10_points,,,,13730079.0,ns,1
plots,plot_10000x10_points,,,,14047204.0,ns,1
plots,plot_10000x10_points,,,,13752379.0,ns,1
plots,plot_10000x10_points,,,,13860670.0,ns,1
plots,plot_10000x10_points,,,,13742635.0,ns,1
plots,plot_10000x10_points,,,,13922369.0,ns,1
plots,plot_10000x10_points,,,,13805859.0,ns,1
plots,plot_10000x10_points,,,,13700503.0,ns,1
plots,plot_10000x10_points,,,,13806232.0,ns,1
plots,plot_10000x10_points,,,,13784816.0,ns,1
plots,plot_10000x10_points,,,,13820636.0,ns,1
plots,plot_10000x10_points,,,,13773943.0,ns,1
plots,plot_10000x10_points,,,,13682048.0,ns,1
plots,plot_10000x10_points,,,,13849637.0,ns,1
plots,plot_10000x10_points,,,,13648153.0,ns,1
plots,plot_10000x10_points,,,,13790085.0,ns,1
plots,plot_10000x10_points,,,,13796087.0,ns,1
plots,plot_10000x10_points,,,,12010330.0,ns,1
plots,plot_10000x10_points,,,,13527140.0,ns,1
plots,plot_10000x10_points,,,,13423546.0,ns,1
plots,plot_10000x10_points,,,,13447315.0,ns,1
plots,plot_10000x10_points,,,,13329704.0,ns,1
plots,plot_10000x10_points,,,,13446078.0,ns,1
plots,plot_10000x10_points,,,,13670108.0,ns,1
plots,plot_10000x10_points,,,,13502937.0,ns,1
plots,plot_10000x10_points,,,,13639635.0,ns,1
plots,plot_10000x10_points,,,,13688791.0,ns,1
plots,plot_10000x10_points,,,,13642687.0,ns,1
plots,plot_10000x10_points,,,,13723949.0,ns,1
plots,plot_10000x10_points,,,,13664173.0,ns,1
plots,plot_10000x10_points,,,,13793518.0,ns,1
plots,plot_10000x10_points,,,,13767833.0,ns,1
plots,plot_10000x10_points,,,,13848579.0,ns,1
plots,plot_10000x10_points,,,,13759830.0,ns,1
plots,plot_10000x10_points,,,,13789281.0,ns,1
plots,plot_10000x10_points,,,,13818906.0,ns,1
plots,plot_10000x10_points,,,,13802820.0,ns,1
plots,plot_10000x10_points,,,,13790163.0,ns,1
