group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_100x100_lines,,,,13846295.0,ns,34
plots,plot_100x100_lines,,,,13792226.0,ns,34
plots,plot_100x100_lines,,,,13947531.0,ns,34
plots,plot_100x100_lines,,,,13970277.0,ns,34
plots,plot_100x100_lines,,,,13771449.0,ns,34
plots,plot_100x100_lines,,,,13481254.0,ns,34
plots,plot_100x100_lines,,,,13427752.0,ns,34
plots,plot_100x100_lines,,,,13236415.0,ns,34
plots,plot_100x100_lines,,,,13230562.0,ns,34
plots,plot_100x100_lines,,,,13230560.0,ns,34
plots,plot_100x100_lines,,,,13230729.0,ns,34
plots,plot_100x100_lines,,,,13233188.0,ns,34
plots,plot_100x100_lines,,,,13228096.0,ns,34
plots,plot_100x100_lines,,,,13228816.0,ns,34
plots,plot_100x100_lines,,,,13229393.0,ns,34
plots,plot_100x100_lines,,,,13229543.0,ns,34
plots,plot_100x100_lines,,,,13231345.0,ns,34
plots,plot_100x100_lines,,,,13231136.0,ns,34
plots,plot_100x100_lines,,,,13230311.0,ns,34
plots,plot_100x100_lines,,,,13231726.0,ns,34
plots,plot_100x100_lines,,,,13229910.0,ns,34
plots,plot_100x100_lines,,,,13229730.0,ns,34
plots,plot_100x100_lines,,,,13230036.0,ns,34
plots,plot_100x100_lines,,,,13229140.0,ns,34
plots,plot_100x100_lines,,,,13233065.0,ns,34
plots,plot_100x100_lines,,,,13231174.0,ns,34
plots,plot_100x100_lines,,,,13232987.0,ns,34
plots,plot_100x100_lines,,,,13230706.0,ns,34
plots,plot_100x100_lines,,,,13231006.0,ns,34
plots,plot_100x100_lines,,,,13227598.0,ns,34
plots,plot_100x100_lines,,,,13229723.0,ns,34
plots,plot_100x100_lines,,,,13229049.0,ns,34
plots,plot_100x100_lines,,,,13229239.0,ns,34
plots,plot_100x100_lines,,,,13229868.0,ns,34
plots,plot_100x100_lines,,,,13229462.0,ns,34
plots,plot_100x100_lines,,,,13229178.0,ns,34
plots,plot_100x100_lines,,,,13230144.0,ns,34
plots,plot_100x100_lines,,,,13229580.0,ns,34
plots,plot_100x100_lines,,,,13228278.0,ns,34
plots,plot_100x100_lines,,,,13227981.0,ns,34
plots,plot_100x100_lines,,,,13224929.0,ns,34
plots,plot_100x100_lines,,,,13227387.0,ns,34
plots,plot_100x100_lines,,,,13228422.0,ns,34
plots,plot_100x100_lines,,,,13225979.0,ns,34
plots,plot_100x100_lines,,,,13351775.0,ns,34
plots,plot_100x100_lines,,,,12928198.0,ns,34
plots,plot_100x100_lines,,,,12964688.0,ns,34
plots,plot_100x100_lines,,,,12965391.0,ns,34
plots,plot_100x100_lines,,,,12921010.0,ns,34
plots,plot_100x100_lines,,,,12926347.0,ns,34
plots,plot_100x100_lines,,,,12922587.0,ns,34
plots,plot_100x100_lines,,,,12922921.0,ns,34
plots,plot_100x100_lines,,,,12924109.0,ns,34
plots,plot_100x100_lines,,,,12962038.0,ns,34
plots,plot_100x100_lines,,,,12918738.0,ns,34
plots,plot_100x100_lines,,,,12921325.0,ns,34
plots,plot_100x100_lines,,,,13043193.0,ns,34
plots,plot_100x100_lines,,,,12962232.0,ns,34
plots,plot_100x100_lines,,,,12917314.0,ns,34
plots,plot_100x100_lines,,,,12991584.0,ns,34
plots,plot_100x100_lines,,,,12922148.0,ns,34
plots,plot_100x100_lines,,,,12920829.0,ns,34
plots,plot_100x100_lines,,,,12921398.0,ns,34
plots,plot_100x100_lines,,,,12919918.0,ns,34
plots,plot_100x100_lines,,,,12920660.0,ns,34
plots,plot_100x100_lines,,,,12922162.0,ns,34
plots,plot_100x100_lines,,,,12924021.0,ns,34
plots,plot_100x100_lines,,,,12921211.0,ns,34
plots,plot_100x100_lines,,,,12964821.0,ns,34
plots,plot_100x100_lines,,,,12922820.0,ns,34
plots,plot_100x100_lines,,,,12919367.0,ns,34
plots,plot_100x100_lines,,,,12921135.0,ns,34
plots,plot_100x100_lines,,,,12920849.0,ns,34
plots,plot_100x100_lines,,,,12921979.0,ns,34
plots,plot_100x100_lines,,,,12920395.0,ns,34
plots,plot_100x100_lines,,,,13003098.0,ns,34
plots,plot_100x100_lines,,,,12923845.0,ns,34
plots,plot_100x100_lines,,,,12923765.0,ns,34
plots,plot_100x100_lines,,,,12923433.0,ns,34
plots,plot_100x100_lines,,,,12924572.0,ns,34
plots,plot_100x100_lines,,,,12924952.0,ns,34
plots,plot_100x100_lines,,,,13355041.0,ns,34
plots,plot_100x100_lines,,,,13337563.0,ns,34
plots,plot_100x100_lines,,,,13279317.0,ns,34
plots,plot_100x100_lines,,,,13230082.0,ns,34
plots,plot_100x100_lines,,,,12999995.0,ns,34
plots,plot_100x100_lines,,,,13124583.0,ns,34
plots,plot_100x100_lines,,,,13362316.0,ns,34
plots,plot_100x100_lines,,,,13351813.0,ns,34
plots,plot_100x100_lines,,,,13416522.0,ns,34
plots,plot_100x100_lines,,,,13483257.0,ns,34
plots,plot_100x100_lines,,,,13579081.0,ns,34
plots,plot_100x100_lines,,,,13574684.0,ns,34
plots,plot_100x100_lines,,,,13655161.0,ns,34
plots,plot_100x100_lines,,,,13645457.0,ns,34
plots,plot_100x100_lines,,,,13638060.0,ns,34
plots,plot_100x100_lines,,,,13636502.0,ns,34
plots,plot_100x100_lines,,,,13630140.0,ns,34
plots,plot_100x100_lines,,,,13618599.0,ns,34
plots,plot_100x100_lines,,,,13620240.0,ns,34
plots,plot_100x100_lines,,,,13630800.0,ns,34
plots,plot_100x100_lines,,,,13621412.0,ns,34
plots,plot_100x100_lines,,,,13643932.0,ns,34
plots,plot_100x100_lines,,,,13673827.0,ns,34
plots,plot_100x100_lines,,,,13669658.0,ns,34
plots,plot_100x100_lines,,,,13591940.0,ns,34
plots,plot_100x100_lines,,,,13590722.0,ns,34
plots,plot_100x100_lines,,,,12968135.0,ns,34
plots,plot_100x100_lines,,,,13015529.0,ns,34
plots,plot_100x100_lines,,,,13024762.0,ns,34
plots,plot_100x100_lines,,,,13345433.0,ns,34
plots,plot_100x100_lines,,,,13480035.0,ns,34
plots,plot_100x100_lines,,,,13541521.0,ns,34
plots,plot_100x100_lines,,,,13543739.0,ns,34
plots,plot_100x100_lines,,,,13541703.0,ns,34
plots,plot_100x100_lines,,,,13572298.0,ns,34
plots,plot_100x100_lines,,,,13607260.0,ns,34
plots,plot_100x100_lines,,,,13570687.0,ns,34
plots,plot_100x100_lines,,,,13561964.0,ns,34
plots,plot_100x100_lines,,,,13610640.0,ns,34
plots,plot_100x100_lines,,,,13569102.0,ns,34
plots,plot_100x100_lines,,,,13649383.0,ns,34
plots,plot_100x100_lines,,,,13695851.0,ns,34
plots,plot_100x100_lines,,,,13697661.0,ns,34
plots,plot_100x100_lines,,,,13757093.0,ns,34
plots,plot_100x100_lines,,,,13617769.0,ns,34
plots,plot_100x100_lines,,,,13756468.0,ns,34
plots,plot_100x100_lines,,,,13785422.0,ns,34
plots,plot_100x100_lines,,,,13776059.0,ns,34
plots,plot_100x100_lines,,,,13842339.0,ns,34
plots,plot_100x100_lines,,,,13786663.0,ns,34
plots,plot_100x100_lines,,,,13782716.0,ns,34
plots,plot_100x100_lines,,,,13692892.0,ns,34
plots,plot_100x100_lines,,,,13843607.0,ns,34
plots,plot_100x100_lines,,,,13743836.0,ns,34
plots,plot_100x100_lines,,,,13788138.0,ns,34
plots,plot_100x100_lines,,,,13760338.0,ns,34
plots,plot_100x100_lines,,,,13805088.0,ns,34
plots,plot_100x100_lines,,,,13800804.0,ns,34
plots,plot_100x100_lines,,,,13702075.0,ns,34
plots,plot_100x100_lines,,,,13869496.0,ns,34
plots,plot_100x100_lines,,,,13787449.0,ns,34
plots,plot_100x100_lines,,,,13749898.0,ns,34
plots,plot_100x100_lines,,,,13769918.0,ns,34
plots,plot_100x100_lines,,,,13762199.0,ns,34
plots,plot_100x100_lines,,,,13770105.0,ns,34
plots,plot_100x100_lines,,,,13770260.0,ns,34
plots,plot_100x100_lines,,,,13693115.0,ns,34
plots,plot_100x100_lines,,,,13827411.0,ns,34
plots,plot_100x100_lines,,,,13583509.0,ns,34
plots,plot_100x100_lines,,,,13895654.0,ns,34
plots,plot_100x100_lines,,,,13106153.0,ns,34
plots,plot_100x100_lines,,,,12941273.0,ns,34
plots,plot_100x100_lines,,,,13519635.0,ns,34
plots,plot_100x100_lines,,,,13737522.0,ns,34
plots,plot_100x100_lines,,,,13774177.0,ns,34
plots,plot_100x100_lines,,,,13853217.0,ns,34
plots,plot_100x100_lines,,,,13881881.0,ns,34
plots,plot_100x100_lines,,,,13862907.0,ns,34
plots,plot_100x100_lines,,,,13866009.0,ns,34
plots,plot_100x100_lines,,,,13863531.0,ns,34
plots,plot_100x100_lines,,,,13937591.0,ns,34
plots,plot_100x100_lines,,,,13979423.0,ns,34
plots,plot_100x100_lines,,,,13968434.0,ns,34
plots,plot_100x100_lines,,,,14169372.0,ns,34
plots,plot_100x100_lines,,,,14144372.0,ns,34
plots,plot_100x100_lines,,,,14060647.0,ns,34
plots,plot_100x100_lines,,,,14136905.0,ns,34
plots,plot_100x100_lines,,,,14079088.0,ns,34
plots,plot_100x100_lines,,,,14135446.0,ns,34
plots,plot_100x100_lines,,,,14123389.0,ns,34
plots,plot_100x100_lines,,,,14120286.0,ns,34
plots,plot_100x100_lines,,,,14137715.0,ns,34
plots,plot_100x100_lines,,,,14057240.0,ns,34
plots,plot_100x100_lines,,,,14279799.0,ns,34
plots,plot_100x100_lines,,,,15184390.0,ns,34
plots,plot_100x100_lines,,,,13936509.0,ns,34
plots,plot_100x100_lines,,,,13303676.0,ns,34
plots,plot_100x100_lines,,,,13306664.0,ns,34
plots,plot_100x100_lines,,,,13286223.0,ns,34
plots,plot_100x100_lines,,,,13287445.0,ns,34
plots,plot_100x100_lines,,,,13307083.0,ns,34
plots,plot_100x100_lines,,,,13313269.0,ns,34
plots,plot_100x100_lines,,,,13179909.0,ns,34
plots,plot_100x100_lines,,,,13383645.0,ns,34
plots,plot_100x100_lines,,,,13080832.0,ns,34
plots,plot_100x100_lines,,,,12973971.0,ns,34
plots,plot_100x100_lines,,,,13162032.0,ns,34
plots,plot_100x100_lines,,,,13398440.0,ns,34
plots,plot_100x100_lines,,,,13532975.0,ns,34
plots,plot_100x100_lines,,,,13537392.0,ns,34
plots,plot_100x100_lines,,,,13573050.0,ns,34
plots,plot_100x100_lines,,,,13567021.0,ns,34
plots,plot_100x100_lines,,,,13569212.0,ns,34
plots,plot_100x100_lines,,,,13568895.0,ns,34
plots,plot_100x100_lines,,,,13618935.0,ns,34
plots,plot_100x100_lines,,,,13621353.0,ns,34
plots,plot_100x100_lines,,,,13668087.0,ns,34
plots,plot_100x100_lines,,,,13620051.0,ns,34
plots,plot_100x100_lines,,,,13670382.0,ns,34
plots,plot_100x100_lines,,,,13820604.0,ns,34
plots,plot_100x100_lines,,,,13742459.0,ns,34
