group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_100x100_points,,,,14080819.0,ns,20
plots,plot_100x100_points,,,,14071296.0,ns,20
plots,plot_100x100_points,,,,14066079.0,ns,20
plots,plot_100x100_points,,,,14067849.0,ns,20
plots,plot_100x100_points,,,,14066943.0,ns,20
plots,plot_100x100_points,,,,14068330.0,ns,20
plots,plot_100x100_points,,,,14062439.0,ns,20
plots,plot_100x100_points,,,,14064842.0,ns,20
plots,plot_100x100_points,,,,14068181.0,ns,20
plots,plot_100x100_points,,,,14064277.0,ns,20
plots,plot_100x100_points,,,,14066013.0,ns,20
plots,plot_100x100_points,,,,14071439.0,ns,20
plots,plot_100x100_points,,,,14070325.0,ns,20
plots,plot_100x100_points,,,,14071097.0,ns,20
plots,plot_100x100_points,,,,14069021.0,ns,20
plots,plot_100x100_points,,,,14070601.0,ns,20
plots,plot_100x100_points,,,,14070488.0,ns,20
plots,plot_100x100_points,,,,14070001.0,ns,20
plots,plot_100x100_points,,,,14070518.0,ns,20
plots,plot_100x100_points,,,,14071397.0,ns,20
plots,plot_100x100_points,,,,14071524.0,ns,20
plots,plot_100x100_points,,,,14071831.0,ns,20
plots,plot_100x100_points,,,,14071950.0,ns,20
plots,plot_100x100_points,,,,14214407.0,ns,20
plots,plot_100x100_points,,,,13732840.0,ns,20
plots,plot_100x100_points,,,,13716805.0,ns,20
plots,plot_100x100_points,,,,13721203.0,ns,20
plots,plot_100x100_points,,,,13717600.0,ns,20
plots,plot_100x100_points,,,,13717223.0,ns,20
plots,plot_100x100_points,,,,13715398.0,ns,20
plots,plot_100x100_points,,,,13714193.0,ns,20
plots,plot_100x100_points,,,,13716776.0,ns,20
plots,plot_100x100_points,,,,13711508.0,ns,20
plots,plot_100x100_points,,,,13707749.0,ns,20
plots,plot_100x100_points,,,,13713114.0,ns,20
plots,plot_100x100_points,,,,13710228.0,ns,20
plots,plot_100x100_points,,,,13998841.0,ns,20
