group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_100x10_lines,,,,15038870.0,ns,49
plots,plot_100x10_lines,,,,14793330.0,ns,49
plots,plot_100x10_lines,,,,14788354.0,ns,49
plots,plot_100x10_lines,,,,14783977.0,ns,49
plots,plot_100x10_lines,,,,14781722.0,ns,49
plots,plot_100x10_lines,,,,14777367.0,ns,49
plots,plot_100x10_lines,,,,14784622.0,ns,49
plots,plot_100x10_lines,,,,14781602.0,ns,49
plots,plot_100x10_lines,,,,14792248.0,ns,49
plots,plot_100x10_lines,,,,14780827.0,ns,49
plots,plot_100x10_lines,,,,14783083.0,ns,49
plots,plot_100x10_lines,,,,14782600.0,ns,49
plots,plot_100x10_lines,,,,14783152.0,ns,49
plots,plot_100x10_lines,,,,14783450.0,ns,49
plots,plot_100x10_lines,,,,14784728.0,ns,49
plots,plot_100x10_lines,,,,14785571.0,ns,49
plots,plot_100x10_lines,,,,14783418.0,ns,49
plots,plot_100x10_lines,,,,14787093.0,ns,49
plots,plot_100x10_lines,,,,14784567.0,ns,49
plots,plot_100x10_lines,,,,14785994.0,ns,49
plots,plot_100x10_lines,,,,14784545.0,ns,49
plots,plot_100x10_lines,,,,14790629.0,ns,49
plots,plot_100x10_lines,,,,14786747.0,ns,49
plots,plot_100x10_lines,,,,14787925.0,ns,49
plots,plot_100x10_lines,,,,14786093.0,ns,49
plots,plot_100x10_lines,,,,14788244.0,ns,49
plots,plot_100x10_lines,,,,14787523.0,ns,49
plots,plot_100x10_lines,,,,14783396.0,ns,49
plots,plot_100x10_lines,,,,14787849.0,ns,49
plots,plot_100x10_lines,,,,14786602.0,ns,49
plots,plot_100x10_lines,,,,14785426.0,ns,49
plots,plot_100x10_lines,,,,14786107.0,ns,49
plots,plot_100x10_lines,,,,14787977.0,ns,49
plots,plot_100x10_lines,,,,14786733.0,ns,49
plots,plot_100x10_lines,,,,14788176.0,ns,49
plots,plot_100x10_lines,,,,14786977.0,ns,49
plots,plot_100x10_lines,,,,14785930.0,ns,49
plots,plot_100x10_lines,,,,14784425.0,ns,49
plots,plot_100x10_lines,,,,14724030.0,ns,49
plots,plot_100x10_lines,,,,14686404.0,ns,49
plots,plot_100x10_lines,,,,14686384.0,ns,49
plots,plot_100x10_lines,,,,14684447.0,ns,49
plots,plot_100x10_lines,,,,14690019.0,ns,49
plots,plot_100x10_lines,,,,14691920.0,ns,49
plots,plot_100x10_lines,,,,14722137.0,ns,49
plots,plot_100x10_lines,,,,14684377.0,ns,49
plots,plot_100x10_lines,,,,14686135.0,ns,49
plots,plot_100x10_lines,,,,14686049.0,ns,49
plots,plot_100x10_lines,,,,14691813.0,ns,49
plots,plot_100x10_lines,,,,14685811.0,ns,49
plots,plot_100x10_lines,,,,14686547.0,ns,49
plots,plot_100x10_lines,,,,14685460.0,ns,49
plots,plot_100x10_lines,,,,14769676.0,ns,49
plots,plot_100x10_lines,,,,14682709.0,ns,49
plots,plot_100x10_lines,,,,14679558.0,ns,49
plots,plot_100x10_lines,,,,14681981.0,ns,49
plots,plot_100x10_lines,,,,14686120.0,ns,49
plots,plot_100x10_lines,,,,14685190.0,ns,49
plots,plot_100x10_lines,,,,14681139.0,ns,49
plots,plot_100x10_lines,,,,14685771.0,ns,49
plots,plot_100x10_lines,,,,14705817.0,ns,49
plots,plot_100x10_lines,,,,14688260.0,ns,49
plots,plot_100x10_lines,,,,14704986.0,ns,49
plots,plot_100x10_lines,,,,14725235.0,ns,49
plots,plot_100x10_lines,,,,14878851.0,ns,49
plots,plot_100x10_lines,,,,14844361.0,ns,49
plots,plot_100x10_lines,,,,14906913.0,ns,49
plots,plot_100x10_lines,,,,14898185.0,ns,49
plots,plot_100x10_lines,,,,14881670.0,ns,49
plots,plot_100x10_lines,,,,14906688.0,ns,49
plots,plot_100x10_lines,,,,15015130.0,ns,49
plots,plot_100x10_lines,,,,15023593.0,ns,49
plots,plot_100x10_lines,,,,15019142.0,ns,49
plots,plot_100x10_lines,,,,15029186.0,ns,49
plots,plot_100x10_lines,,,,15057416.0,ns,49
plots,plot_100x10_lines,,,,15028829.0,ns,49
plots,plot_100x10_lines,,,,15041739.0,ns,49
plots,plot_100x10_lines,,,,15000870.0,ns,49
plots,plot_100x10_lines,,,,15029221.0,ns,49
plots,plot_100x10_lines,,,,15104055.0,ns,49
plots,plot_100x10_lines,,,,15037040.0,ns,49
plots,plot_100x10_lines,,,,14987466.0,ns,49
plots,plot_100x10_lines,,,,15098389.0,ns,49
plots,plot_100x10_lines,,,,14913514.0,ns,49
plots,plot_100x10_lines,,,,15063357.0,ns,49
plots,plot_100x10_lines,,,,15074130.0,ns,49
plots,plot_100x10_lines,,,,15056198.0,ns,49
plots,plot_100x10_lines,,,,15021795.0,ns,49
plots,plot_100x10_lines,,,,15043276.0,ns,49
plots,plot_100x10_lines,,,,15021403.0,ns,49
plots,plot_100x10_lines,,,,14990418.0,ns,49
plots,plot_100x10_lines,,,,15082676.0,ns,49
plots,plot_100x10_lines,,,,15017577.0,ns,49
plots,plot_100x10_lines,,,,14979514.0,ns,49
plots,plot_100x10_lines,,,,14848652.0,ns,49
plots,plot_100x10_lines,,,,14398613.0,ns,49
plots,plot_100x10_lines,,,,14436789.0,ns,49
plots,plot_100x10_lines,,,,14816808.0,ns,49
plots,plot_100x10_lines,,,,14982134.0,ns,49
plots,plot_100x10_lines,,,,15001138.0,ns,49
plots,plot_100x10_lines,,,,15052993.0,ns,49
plots,plot_100x10_lines,,,,15072939.0,ns,49
plots,plot_100x10_lines,,,,15022682.0,ns,49
plots,plot_100x10_lines,,,,15177497.0,ns,49
plots,plot_100x10_lines,,,,15177728.0,ns,49
plots,plot_100x10_lines,,,,15258752.0,ns,49
plots,plot_100x10_lines,,,,15244582.0,ns,49
plots,plot_100x10_lines,,,,15298189.0,ns,49
plots,plot_100x10_lines,,,,15231498.0,ns,49
plots,plot_100x10_lines,,,,15272622.0,ns,49
plots,plot_100x10_lines,,,,15224088.0,ns,49
plots,plot_100x10_lines,,,,15411684.0,ns,49
plots,plot_100x10_lines,,,,15323273.0,ns,49
plots,plot_100x10_lines,,,,15307310.0,ns,49
plots,plot_100x10_lines,,,,15296079.0,ns,49
plots,plot_100x10_lines,,,,15241980.0,ns,49
plots,plot_100x10_lines,,,,15262846.0,ns,49
plots,plot_100x10_lines,,,,15380798.0,ns,49
plots,plot_100x10_lines,,,,15263031.0,ns,49
plots,plot_100x10_lines,,,,15413115.0,ns,49
plots,plot_100x10_lines,,,,15354953.0,ns,49
plots,plot_100x10_lines,,,,15327185.0,ns,49
plots,plot_100x10_lines,,,,15308519.0,ns,49
plots,plot_100x10_lines,,,,15284851.0,ns,49
plots,plot_100x10_lines,,,,15258467.0,ns,49
plots,plot_100x10_lines,,,,15297442.0,ns,49
plots,plot_100x10_lines,,,,15353953.0,ns,49
plots,plot_100x10_lines,,,,15324989.0,ns,49
plots,plot_100x10_lines,,,,15330114.0,ns,49
plots,plot_100x10_lines,,,,15301692.0,ns,49
plots,plot_100x10_lines,,,,15320780.0,ns,49
plots,plot_100x10_lines,,,,15374609.0,ns,49
plots,plot_100x10_lines,,,,15204763.0,ns,49
plots,plot_100x10_lines,,,,15243855.0,ns,49
plots,plot_100x10_lines,,,,15436575.0,ns,49
plots,plot_100x10_lines,,,,15178568.0,ns,49
plots,plot_100x10_lines,,,,15381827.0,ns,49
plots,plot_100x10_lines,,,,15339964.0,ns,49
plots,plot_100x10_lines,,,,15249685.0,ns,49
plots,plot_100x10_lines,,,,15370054.0,ns,49
plots,plot_100x10_lines,,,,15313267.0,ns,49
plots,plot_100x10_lines,,,,15373685.0,ns,49
plots,plot_100x10_lines,,,,15268519.0,ns,49
plots,plot_100x10_lines,,,,15301628.0,ns,49
plots,plot_100x10_lines,,,,15248150.0,ns,49
plots,plot_100x10_lines,,,,15270743.0,ns,49
plots,plot_100x10_lines,,,,15318994.0,ns,49
plots,plot_100x10_lines,,,,15392007.0,ns,49
plots,plot_100x10_lines,,,,15252221.0,ns,49
plots,plot_100x10_lines,,,,15306878.0,ns,49
plots,plot_100x10_lines,,,,15322353.0,ns,49
plots,plot_100x10_lines,,,,15280561.0,ns,49
plots,plot_100x10_lines,,,,15291598.0,ns,49
plots,plot_100x10_lines,,,,15339052.0,ns,49
plots,plot_100x10_lines,,,,15271284.0,ns,49
plots,plot_100x10_lines,,,,15212184.0,ns,49
plots,plot_100x10_lines,,,,15414793.0,ns,49
plots,plot_100x10_lines,,,,15258271.0,ns,49
plots,plot_100x10_lines,,,,15271832.0,ns,49
plots,plot_100x10_lines,,,,15400674.0,ns,49
plots,plot_100x10_lines,,,,15295160.0,ns,49
plots,plot_100x10_lines,,,,15273995.0,ns,49
plots,plot_100x10_lines,,,,15369671.0,ns,49
plots,plot_100x10_lines,,,,15295581.0,ns,49
plots,plot_100x10_lines,,,,15284410.0,ns,49
plots,plot_100x10_lines,,,,15358879.0,ns,49
plots,plot_100x10_lines,,,,15335710.0,ns,49
plots,plot_100x10_lines,,,,15298395.0,ns,49
plots,plot_100x10_lines,,,,15338126.0,ns,49
plots,plot_100x10_lines,,,,15259701.0,ns,49
plots,plot_100x10_lines,,,,15271042.0,ns,49
plots,plot_100x10_lines,,,,15216857.0,ns,49
plots,plot_100x10_lines,,,,15391926.0,ns,49
plots,plot_100x10_lines,,,,15320050.0,ns,49
plots,plot_100x10_lines,,,,15349908.0,ns,49
plots,plot_100x10_lines,,,,15406514.0,ns,49
plots,plot_100x10_lines,,,,15229258.0,ns,49
plots,plot_100x10_lines,,,,15263197.0,ns,49
plots,plot_100x10_lines,,,,15218142.0,ns,49
plots,plot_100x10_lines,,,,15017117.0,ns,49
plots,plot_100x10_lines,,,,14691266.0,ns,49
plots,plot_100x10_lines,,,,15242153.0,ns,49
plots,plot_100x10_lines,,,,15298583.0,ns,49
plots,plot_100x10_lines,,,,15319772.0,ns,49
plots,plot_100x10_lines,,,,15348567.0,ns,49
plots,plot_100x10_lines,,,,15242117.0,ns,49
plots,plot_100x10_lines,,,,15466664.0,ns,49
plots,plot_100x10_lines,,,,15458650.0,ns,49
plots,plot_100x10_lines,,,,15390476.0,ns,49
plots,plot_100x10_lines,,,,15326200.0,ns,49
plots,plot_100x10_lines,,,,15406209.0,ns,49
plots,plot_100x10_lines,,,,15391773.0,ns,49
plots,plot_100x10_lines,,,,15312147.0,ns,49
plots,plot_100x10_lines,,,,15387631.0,ns,49
plots,plot_100x10_lines,,,,15286534.0,ns,49
plots,plot_100x10_lines,,,,15319192.0,ns,49
plots,plot_100x10_lines,,,,15280912.0,ns,49
plots,plot_100x10_lines,,,,15302860.0,ns,49
plots,plot_100x10_lines,,,,15341508.0,ns,49
plots,plot_100x10_lines,,,,14554582.0,ns,49
plots,plot_100x10_lines,,,,14276434.0,ns,49
plots,plot_100x10_lines,,,,14176181.0,ns,49
plots,plot_100x10_lines,,,,14246966.0,ns,49
plots,plot_100x10_lines,,,,14161378.0,ns,49
plots,plot_100x10_lines,,,,14283757.0,ns,49
plots,plot_100x10_lines,,,,14110893.0,ns,49
plots,plot_100x10_lines,,,,14175634.0,ns,49
plots,plot_100x10_lines,,,,14281832.0,ns,49
plots,plot_100x10_lines,,,,14211395.0,ns,49
plots,plot_100x10_lines,,,,14281895.0,ns,49
plots,plot_100x10_lines,,,,14123975.0,ns,49
plots,plot_100x10_lines,,,,14305191.0,ns,49
plots,plot_100x10_lines,,,,14141703.0,ns,49
plots,plot_100x10_lines,,,,14176971.0,ns,49
plots,plot_100x10_lines,,,,14340202.0,ns,49
plots,plot_100x10_lines,,,,14177083.0,ns,49
plots,plot_100x10_lines,,,,14279900.0,ns,49
plots,plot_100x10_lines,,,,14147885.0,ns,49
plots,plot_100x10_lines,,,,14280076.0,ns,49
plots,plot_100x10_lines,,,,14099816.0,ns,49
plots,plot_100x10_lines,,,,14143032.0,ns,49
plots,plot_100x10_lines,,,,14395594.0,ns,49
plots,plot_100x10_lines,,,,14145391.0,ns,49
plots,plot_100x10_lines,,,,14246787.0,ns,49
plots,plot_100x10_lines,,,,14142135.0,ns,49
plots,plot_100x10_lines,,,,14319303.0,ns,49
plots,plot_100x10_lines,,,,14106688.0,ns,49
plots,plot_100x10_lines,,,,14174725.0,ns,49
plots,plot_100x10_lines,,,,14247779.0,ns,49
plots,plot_100x10_lines,,,,14240105.0,ns,49
plots,plot_100x10_lines,,,,14283483.0,ns,49
plots,plot_100x10_lines,,,,14104304.0,ns,49
plots,plot_100x10_lines,,,,14273464.0,ns,49
plots,plot_100x10_lines,,,,14104563.0,ns,49
plots,plot_100x10_lines,,,,14210104.0,ns,49
plots,plot_100x10_lines,,,,14304892.0,ns,49
plots,plot_100x10_lines,,,,14142446.0,ns,49
plots,plot_100x10_lines,,,,14448175.0,ns,49
plots,plot_100x10_lines,,,,14103541.0,ns,49
plots,plot_100x10_lines,,,,14224607.0,ns,49
plots,plot_100x10_lines,,,,14188669.0,ns,49
plots,plot_100x10_lines,,,,14168729.0,ns,49
plots,plot_100x10_lines,,,,14240691.0,ns,49
plots,plot_100x10_lines,,,,14107813.0,ns,49
plots,plot_100x10_lines,,,,14261740.0,ns,49
plots,plot_100x10_lines,,,,14171682.0,ns,49
plots,plot_100x10_lines,,,,14143946.0,ns,49
plots,plot_100x10_lines,,,,14381853.0,ns,49
plots,plot_100x10_lines,,,,14173783.0,ns,49
plots,plot_100x10_lines,,,,14196305.0,ns,49
plots,plot_100x10_lines,,,,14109684.0,ns,49
plots,plot_100x10_lines,,,,14283444.0,ns,49
plots,plot_100x10_lines,,,,14141442.0,ns,49
plots,plot_100x10_lines,,,,14173989.0,ns,49
plots,plot_100x10_lines,,,,14332915.0,ns,49
plots,plot_100x10_lines,,,,14294828.0,ns,49
plots,plot_100x10_lines,,,,14243999.0,ns,49
plots,plot_100x10_lines,,,,14137629.0,ns,49
plots,plot_100x10_lines,,,,14306159.0,ns,49
plots,plot_100x10_lines,,,,14136356.0,ns,49
plots,plot_100x10_lines,,,,14139960.0,ns,49
