group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10000x10_lines,,,,17692942.0,ns,2
plots,plot_10000x10_lines,,,,17697834.0,ns,2
plots,plot_10000x10_lines,,,,17641163.0,ns,2
plots,plot_10000x10_lines,,,,17698559.0,ns,2
plots,plot_10000x10_lines,,,,17684897.0,ns,2
plots,plot_10000x10_lines,,,,17673680.0,ns,2
plots,plot_10000x10_lines,,,,17633971.0,ns,2
plots,plot_10000x10_lines,,,,17717437.0,ns,2
plots,plot_10000x10_lines,,,,17658354.0,ns,2
plots,plot_10000x10_lines,,,,17680491.0,ns,2
plots,plot_10000x10_lines,,,,17690574.0,ns,2
plots,plot_10000x10_lines,,,,17656818.0,ns,2
plots,plot_10000x10_lines,,,,17670542.0,ns,2
plots,plot_10000x10_lines,,,,17637701.0,ns,2
plots,plot_10000x10_lines,,,,17672566.0,ns,2
plots,plot_10000x10_lines,,,,17614859.0,ns,2
plots,plot_10000x10_lines,,,,17025954.0,ns,2
plots,plot_10000x10_lines,,,,16522428.0,ns,2
plots,plot_10000x10_lines,,,,17128149.0,ns,2
plots,plot_10000x10_lines,,,,17424731.0,ns,2
plots,plot_10000x10_lines,,,,17548550.0,ns,2
plots,plot_10000x10_lines,,,,17598444.0,ns,2
plots,plot_10000x10_lines,,,,17563765.0,ns,2
plots,plot_10000x10_lines,,,,17594084.0,ns,2
plots,plot_10000x10_lines,,,,17667660.0,ns,2
plots,plot_10000x10_lines,,,,17682700.0,ns,2
plots,plot_10000x10_lines,,,,17669305.0,ns,2
plots,plot_10000x10_lines,,,,17873652.0,ns,2
plots,plot_10000x10_lines,,,,17954904.0,ns,2
plots,plot_10000x10_lines,,,,17946897.0,ns,2
plots,plot_10000x10_lines,,,,17852478.0,ns,2
plots,plot_10000x10_lines,,,,17926164.0,ns,2
plots,plot_10000x10_lines,,,,17809839.0,ns,2
plots,plot_10000x10_lines,,,,17811985.0,ns,2
plots,plot_10000x10_lines,,,,17910989.0,ns,2
plots,plot_10000x10_lines,,,,17929524.0,ns,2
plots,plot_10000x10_lines,,,,16932625.0,ns,2
plots,plot_10000x10_lines,,,,16952878.0,ns,2
plots,plot_10000x10_lines,,,,17185404.0,ns,2
plots,plot_10000x10_lines,,,,16250558.0,ns,2
plots,plot_10000x10_lines,,,,16854677.0,ns,2
plots,plot_10000x10_lines,,,,17081628.0,ns,2
plots,plot_10000x10_lines,,,,17265609.0,ns,2
plots,plot_10000x10_lines,,,,17288173.0,ns,2
plots,plot_10000x10_lines,,,,17376131.0,ns,2
plots,plot_10000x10_lines,,,,17328149.0,ns,2
plots,plot_10000x10_lines,,,,17488998.0,ns,2
plots,plot_10000x10_lines,,,,17568327.0,ns,2
