group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10000x10_lines,,,,18493346.0,ns,2
plots,plot_10000x10_lines,,,,18530659.0,ns,2
plots,plot_10000x10_lines,,,,18599187.0,ns,2
plots,plot_10000x10_lines,,,,18588584.0,ns,2
plots,plot_10000x10_lines,,,,18487839.0,ns,2
plots,plot_10000x10_lines,,,,18559636.0,ns,2
plots,plot_10000x10_lines,,,,18518453.0,ns,2
plots,plot_10000x10_lines,,,,18565775.0,ns,2
plots,plot_10000x10_lines,,,,18548771.0,ns,2
plots,plot_10000x10_lines,,,,18545434.0,ns,2
plots,plot_10000x10_lines,,,,18593465.0,ns,2
plots,plot_10000x10_lines,,,,18501432.0,ns,2
plots,plot_10000x10_lines,,,,18562520.0,ns,2
plots,plot_10000x10_lines,,,,18558865.0,ns,2
plots,plot_10000x10_lines,,,,18560922.0,ns,2
plots,plot_10000x10_lines,,,,18528048.0,ns,2
plots,plot_10000x10_lines,,,,18604431.0,ns,2
plots,plot_10000x10_lines,,,,18670584.0,ns,2
plots,plot_10000x10_lines,,,,18675900.0,ns,2
plots,plot_10000x10_lines,,,,18580038.0,ns,2
plots,plot_10000x10_lines,,,,18617965.0,ns,2
plots,plot_10000x10_lines,,,,18611964.0,ns,2
plots,plot_10000x10_lines,,,,18560561.0,ns,2
plots,plot_10000x10_lines,,,,18572349.0,ns,2
plots,plot_10000x10_lines,,,,18625529.0,ns,2
plots,plot_10000x10_lines,,,,18586525.0,ns,2
plots,plot_10000x10_lines,,,,18599626.0,ns,2
plots,plot_10000x10_lines,,,,18549914.0,ns,2
plots,plot_10000x10_lines,,,,18622790.0,ns,2
plots,plot_10000x10_lines,,,,18597157.0,ns,2
plots,plot_10000x10_lines,,,,18616628.0,ns,2
plots,plot_10000x10_lines,,,,18642635.0,ns,2
plots,plot_10000x10_lines,,,,18590481.0,ns,2
plots,plot_10000x10_lines,,,,18499431.0,ns,2
plots,plot_10000x10_lines,,,,18568621.0,ns,2
plots,plot_10000x10_lines,,,,18551628.0,ns,2
plots,plot_10000x10_lines,,,,18593632.0,ns,2
plots,plot_10000x10_lines,,,,18559662.0,ns,2
plots,plot_10000x10_lines,,,,18556931.0,ns,2
plots,plot_10000x10_lines,,,,18553371.0,ns,2
plots,plot_10000x10_lines,,,,18585468.0,ns,2
plots,plot_10000x10_lines,,,,18540794.0,ns,2
plots,plot_10000x10_lines,,,,18534280.0,ns,2
