group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_1000x100_points,,,,16044274.0,ns,2
plots,plot_1000x100_points,,,,16872402.0,ns,2
plots,plot_1000x100_points,,,,16095997.0,ns,2
plots,plot_1000x100_points,,,,15700593.0,ns,2
plots,plot_1000x100_points,,,,15604367.0,ns,2
plots,plot_1000x100_points,,,,15566377.0,ns,2
plots,plot_1000x100_points,,,,15570621.0,ns,2
plots,plot_1000x100_points,,,,15511164.0,ns,2
plots,plot_1000x100_points,,,,15556968.0,ns,2
plots,plot_1000x100_points,,,,15494693.0,ns,2
plots,plot_1000x100_points,,,,15597511.0,ns,2
plots,plot_1000x100_points,,,,15483756.0,ns,2
plots,plot_1000x100_points,,,,15552827.0,ns,2
plots,plot_1000x100_points,,,,15508029.0,ns,2
plots,plot_1000x100_points,,,,15583930.0,ns,2
plots,plot_1000x100_points,,,,15519446.0,ns,2
plots,plot_1000x100_points,,,,15580531.0,ns,2
plots,plot_1000x100_points,,,,15503191.0,ns,2
plots,plot_1000x100_points,,,,15527097.0,ns,2
plots,plot_1000x100_points,,,,15573329.0,ns,2
plots,plot_1000x100_points,,,,15620196.0,ns,2
plots,plot_1000x100_points,,,,15589251.0,ns,2
plots,plot_1000x100_points,,,,15545645.0,ns,2
plots,plot_1000x100_points,,,,15573992.0,ns,2
plots,plot_1000x100_points,,,,15513737.0,ns,2
plots,plot_1000x100_points,,,,15558409.0,ns,2
plots,plot_1000x100_points,,,,15510263.0,ns,2
plots,plot_1000x100_points,,,,15597376.0,ns,2
plots,plot_1000x100_points,,,,15545827.0,ns,2
plots,plot_1000x100_points,,,,15608740.0,ns,2
plots,plot_1000x100_points,,,,15612794.0,ns,2
plots,plot_1000x100_points,,,,15598269.0,ns,2
plots,plot_1000x100_points,,,,15524851.0,ns,2
plots,plot_1000x100_points,,,,15549742.0,ns,2
plots,plot_1000x100_points,,,,15511059.0,ns,2
plots,plot_1000x100_points,,,,15599046.0,ns,2
plots,plot_1000x100_points,,,,15609864.0,ns,2
plots,plot_1000x100_points,,,,15546463.0,ns,2
plots,plot_1000x100_points,,,,15545881.0,ns,2
plots,plot_1000x100_points,,,,15501679.0,ns,2
plots,plot_1000x100_points,,,,15511835.0,ns,2
