group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_1000x10_bars,,,,12884351.0,ns,5
plots,plot_1000x10_bars,,,,12873439.0,ns,5
plots,plot_1000x10_bars,,,,12963669.0,ns,5
plots,plot_1000x10_bars,,,,13013459.0,ns,5
plots,plot_1000x10_bars,,,,13012552.0,ns,5
plots,plot_1000x10_bars,,,,13020627.0,ns,5
plots,plot_1000x10_bars,,,,13012035.0,ns,5
plots,plot_1000x10_bars,,,,13010181.0,ns,5
plots,plot_1000x10_bars,,,,13011197.0,ns,5
plots,plot_1000x10_bars,,,,13013632.0,ns,5
plots,plot_1000x10_bars,,,,13010680.0,ns,5
plots,plot_1000x10_bars,,,,13010287.0,ns,5
plots,plot_1000x10_bars,,,,13010277.0,ns,5
plots,plot_1000x10_bars,,,,13010970.0,ns,5
plots,plot_1000x10_bars,,,,13011141.0,ns,5
plots,plot_1000x10_bars,,,,13011955.0,ns,5
plots,plot_1000x10_bars,,,,13012294.0,ns,5
plots,plot_1000x10_bars,,,,13011037.0,ns,5
plots,plot_1000x10_bars,,,,13011642.0,ns,5
plots,plot_1000x10_bars,,,,13014522.0,ns,5
plots,plot_1000x10_bars,,,,13010148.0,ns,5
plots,plot_1000x10_bars,,,,13012345.0,ns,5
plots,plot_1000x10_bars,,,,13008412.0,ns,5
plots,plot_1000x10_bars,,,,13011705.0,ns,5
plots,plot_1000x10_bars,,,,13014459.0,ns,5
plots,plot_1000x10_bars,,,,13024460.0,ns,5
plots,plot_1000x10_bars,,,,13021146.0,ns,5
plots,plot_1000x10_bars,,,,13010820.0,ns,5
plots,plot_1000x10_bars,,,,13009650.0,ns,5
plots,plot_1000x10_bars,,,,13017001.0,ns,5
plots,plot_1000x10_bars,,,,13012930.0,ns,5
plots,plot_1000x10_bars,,,,13203121.0,ns,5
plots,plot_1000x10_bars,,,,13002553.0,ns,5
plots,plot_1000x10_bars,,,,13005191.0,ns,5
plots,plot_1000x10_bars,,,,12990188.0,ns,5
plots,plot_1000x10_bars,,,,13025918.0,ns,5
plots,plot_1000x10_bars,,,,12681584.0,ns,5
plots,plot_1000x10_bars,,,,12672747.0,ns,5
plots,plot_1000x10_bars,,,,12668505.0,ns,5
plots,plot_1000x10_bars,,,,12668398.0,ns,5
plots,plot_1000x10_bars,,,,12660775.0,ns,5
plots,plot_1000x10_bars,,,,12663875.0,ns,5
plots,plot_1000x10_bars,,,,12656310.0,ns,5
plots,plot_1000x10_bars,,,,12660375.0,ns,5
plots,plot_1000x10_bars,,,,12656060.0,ns,5
plots,plot_1000x10_bars,,,,12659995.0,ns,5
plots,plot_1000x10_bars,,,,12656436.0,ns,5
plots,plot_1000x10_bars,,,,12652266.0,ns,5
plots,plot_1000x10_bars,,,,12640361.0,ns,5
plots,plot_1000x10_bars,,,,12657827.0,ns,5
plots,plot_1000x10_bars,,,,12655356.0,ns,5
plots,plot_1000x10_bars,,,,12661582.0,ns,5
plots,plot_1000x10_bars,,,,12650680.0,ns,5
plots,plot_1000x10_bars,,,,12644299.0,ns,5
plots,plot_1000x10_bars,,,,12644603.0,ns,5
plots,plot_1000x10_bars,,,,12647403.0,ns,5
plots,plot_1000x10_bars,,,,12647584.0,ns,5
plots,plot_1000x10_bars,,,,12643164.0,ns,5
plots,plot_1000x10_bars,,,,12645647.0,ns,5
plots,plot_1000x10_bars,,,,12649360.0,ns,5
plots,plot_1000x10_bars,,,,12656176.0,ns,5
plots,plot_1000x10_bars,,,,12662826.0,ns,5
plots,plot_1000x10_bars,,,,12656945.0,ns,5
plots,plot_1000x10_bars,,,,12661284.0,ns,5
plots,plot_1000x10_bars,,,,12653796.0,ns,5
plots,plot_1000x10_bars,,,,12659004.0,ns,5
plots,plot_1000x10_bars,,,,12840083.0,ns,5
plots,plot_1000x10_bars,,,,12410391.0,ns,5
