group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x10000_bars,,,,24208413.0,ns,1
plots,plot_10x10000_bars,,,,24118467.0,ns,1
plots,plot_10x10000_bars,,,,24105298.0,ns,1
plots,plot_10x10000_bars,,,,24284539.0,ns,1
plots,plot_10x10000_bars,,,,24309816.0,ns,1
plots,plot_10x10000_bars,,,,24341627.0,ns,1
plots,plot_10x10000_bars,,,,24216155.0,ns,1
plots,plot_10x10000_bars,,,,24329962.0,ns,1
plots,plot_10x10000_bars,,,,23281456.0,ns,1
plots,plot_10x10000_bars,,,,25458010.0,ns,1
plots,plot_10x10000_bars,,,,23071827.0,ns,1
plots,plot_10x10000_bars,,,,24873200.0,ns,1
plots,plot_10x10000_bars,,,,26159134.0,ns,1
plots,plot_10x10000_bars,,,,24298752.0,ns,1
plots,plot_10x10000_bars,,,,24079153.0,ns,1
plots,plot_10x10000_bars,,,,24204492.0,ns,1
plots,plot_10x10000_bars,,,,24325813.0,ns,1
plots,plot_10x10000_bars,,,,24419630.0,ns,1
plots,plot_10x10000_bars,,,,24521196.0,ns,1
plots,plot_10x10000_bars,,,,24562990.0,ns,1
plots,plot_10x10000_bars,,,,24503939.0,ns,1
plots,plot_10x10000_bars,,,,24481110.0,ns,1
plots,plot_10x10000_bars,,,,24527359.0,ns,1
plots,plot_10x10000_bars,,,,24549092.0,ns,1
plots,plot_10x10000_bars,,,,24420439.0,ns,1
plots,plot_10x10000_bars,,,,24282850.0,ns,1
plots,plot_10x10000_bars,,,,24267040.0,ns,1
plots,plot_10x10000_bars,,,,24201033.0,ns,1
plots,plot_10x10000_bars,,,,24264504.0,ns,1
plots,plot_10x10000_bars,,,,24168038.0,ns,1
plots,plot_10x10000_bars,,,,24082665.0,ns,1
plots,plot_10x10000_bars,,,,24274564.0,ns,1
plots,plot_10x10000_bars,,,,24206429.0,ns,1
plots,plot_10x10000_bars,,,,24332511.0,ns,1
plots,plot_10x10000_bars,,,,24298403.0,ns,1
plots,plot_10x10000_bars,,,,24204228.0,ns,1
plots,plot_10x10000_bars,,,,24228868.0,ns,1
plots,plot_10x10000_bars,,,,24301326.0,ns,1
plots,plot_10x10000_bars,,,,23330288.0,ns,1
plots,plot_10x10000_bars,,,,23659553.0,ns,1
plots,plot_10x10000_bars,,,,23700270.0,ns,1
plots,plot_10x10000_bars,,,,23571367.0,ns,1
plots,plot_10x10000_bars,,,,23782551.0,ns,1
plots,plot_10x10000_bars,,,,23715798.0,ns,1
plots,plot_10x10000_bars,,,,24076130.0,ns,1
plots,plot_10x10000_bars,,,,24086748.0,ns,1
plots,plot_10x10000_bars,,,,25385222.0,ns,1
plots,plot_10x10000_bars,,,,25983080.0,ns,1
plots,plot_10x10000_bars,,,,24392203.0,ns,1
plots,plot_10x10000_bars,,,,24293519.0,ns,1
plots,plot_10x10000_bars,,,,24154820.0,ns,1
plots,plot_10x10000_bars,,,,24091033.0,ns,1
plots,plot_10x10000_bars,,,,24212253.0,ns,1
plots,plot_10x10000_bars,,,,24220178.0,ns,1
plots,plot_10x10000_bars,,,,24170443.0,ns,1
plots,plot_10x10000_bars,,,,22065391.0,ns,1
plots,plot_10x10000_bars,,,,23931023.0,ns,1
plots,plot_10x10000_bars,,,,22961132.0,ns,1
plots,plot_10x10000_bars,,,,24191366.0,ns,1
plots,plot_10x10000_bars,,,,24265239.0,ns,1
plots,plot_10x10000_bars,,,,24282371.0,ns,1
plots,plot_10x10000_bars,,,,24221777.0,ns,1
plots,plot_10x10000_bars,,,,24351624.0,ns,1
plots,plot_10x10000_bars,,,,24438959.0,ns,1
plots,plot_10x10000_bars,,,,24451183.0,ns,1
plots,plot_10x10000_bars,,,,24530201.0,ns,1
plots,plot_10x10000_bars,,,,24390574.0,ns,1
plots,plot_10x10000_bars,,,,24524978.0,ns,1
plots,plot_10x10000_bars,,,,24334500.0,ns,1
plots,plot_10x10000_bars,,,,24413873.0,ns,1
plots,plot_10x10000_bars,,,,24318900.0,ns,1
plots,plot_10x10000_bars,,,,22455946.0,ns,1
plots,plot_10x10000_bars,,,,23498190.0,ns,1
plots,plot_10x10000_bars,,,,23915661.0,ns,1
plots,plot_10x10000_bars,,,,24251208.0,ns,1
plots,plot_10x10000_bars,,,,24236030.0,ns,1
plots,plot_10x10000_bars,,,,24141649.0,ns,1
plots,plot_10x10000_bars,,,,24197161.0,ns,1
plots,plot_10x10000_bars,,,,24175442.0,ns,1
plots,plot_10x10000_bars,,,,24245481.0,ns,1
plots,plot_10x10000_bars,,,,24294693.0,ns,1
plots,plot_10x10000_bars,,,,24360586.0,ns,1
plots,plot_10x10000_bars,,,,24191315.0,ns,1
plots,plot_10x10000_bars,,,,24282036.0,ns,1
plots,plot_10x10000_bars,,,,24148162.0,ns,1
plots,plot_10x10000_bars,,,,24329527.0,ns,1
plots,plot_10x10000_bars,,,,24286976.0,ns,1
plots,plot_10x10000_bars,,,,24325520.0,ns,1
plots,plot_10x10000_bars,,,,24274625.0,ns,1
plots,plot_10x10000_bars,,,,24284248.0,ns,1
plots,plot_10x10000_bars,,,,24262239.0,ns,1
plots,plot_10x10000_bars,,,,24106775.0,ns,1
plots,plot_10x10000_bars,,,,24314159.0,ns,1
plots,plot_10x10000_bars,,,,24274842.0,ns,1
plots,plot_10x10000_bars,,,,24212137.0,ns,1
plots,plot_10x10000_bars,,,,24428400.0,ns,1
plots,plot_10x10000_bars,,,,24286060.0,ns,1
plots,plot_10x10000_bars,,,,24292795.0,ns,1
plots,plot_10x10000_bars,,,,24374402.0,ns,1
plots,plot_10x10000_bars,,,,24461968.0,ns,1
plots,plot_10x10000_bars,,,,23109621.0,ns,1
plots,plot_10x10000_bars,,,,21311984.0,ns,1
plots,plot_10x10000_bars,,,,23689505.0,ns,1
plots,plot_10x10000_bars,,,,23543249.0,ns,1
plots,plot_10x10000_bars,,,,23992826.0,ns,1
plots,plot_10x10000_bars,,,,23582541.0,ns,1
plots,plot_10x10000_bars,,,,24025000.0,ns,1
plots,plot_10x10000_bars,,,,24107573.0,ns,1
plots,plot_10x10000_bars,,,,24520363.0,ns,1
plots,plot_10x10000_bars,,,,22398919.0,ns,1
plots,plot_10x10000_bars,,,,23448818.0,ns,1
plots,plot_10x10000_bars,,,,23932842.0,ns,1
plots,plot_10x10000_bars,,,,24006686.0,ns,1
plots,plot_10x10000_bars,,,,24074729.0,ns,1
plots,plot_10x10000_bars,,,,23992598.0,ns,1
plots,plot_10x10000_bars,,,,23058562.0,ns,1
plots,plot_10x10000_bars,,,,23334684.0,ns,1
plots,plot_10x10000_bars,,,,22883188.0,ns,1
plots,plot_10x10000_bars,,,,23021988.0,ns,1
plots,plot_10x10000_bars,,,,23176799.0,ns,1
plots,plot_10x10000_bars,,,,23125787.0,ns,1
plots,plot_10x10000_bars,,,,23055266.0,ns,1
plots,plot_10x10000_bars,,,,23177256.0,ns,1
