group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
plots,plot_10x10_points,,,,14429950.0,ns,64
plots,plot_10x10_points,,,,14343190.0,ns,64
plots,plot_10x10_points,,,,14350984.0,ns,64
plots,plot_10x10_points,,,,14274840.0,ns,64
plots,plot_10x10_points,,,,14355236.0,ns,64
plots,plot_10x10_points,,,,14340263.0,ns,64
plots,plot_10x10_points,,,,14412846.0,ns,64
plots,plot_10x10_points,,,,14389557.0,ns,64
plots,plot_10x10_points,,,,14312652.0,ns,64
plots,plot_10x10_points,,,,14310007.0,ns,64
plots,plot_10x10_points,,,,14277866.0,ns,64
plots,plot_10x10_points,,,,14377374.0,ns,64
plots,plot_10x10_points,,,,14277194.0,ns,64
plots,plot_10x10_points,,,,14317642.0,ns,64
plots,plot_10x10_points,,,,14314375.0,ns,64
plots,plot_10x10_points,,,,14481253.0,ns,64
plots,plot_10x10_points,,,,14296485.0,ns,64
plots,plot_10x10_points,,,,14295549.0,ns,64
plots,plot_10x10_points,,,,14443373.0,ns,64
plots,plot_10x10_points,,,,14223725.0,ns,64
plots,plot_10x10_points,,,,14258897.0,ns,64
plots,plot_10x10_points,,,,14440151.0,ns,64
plots,plot_10x10_points,,,,14289102.0,ns,64
plots,plot_10x10_points,,,,14428155.0,ns,64
plots,plot_10x10_points,,,,14277279.0,ns,64
plots,plot_10x10_points,,,,14374785.0,ns,64
plots,plot_10x10_points,,,,14342259.0,ns,64
plots,plot_10x10_points,,,,14367830.0,ns,64
plots,plot_10x10_points,,,,14330219.0,ns,64
plots,plot_10x10_points,,,,14287924.0,ns,64
plots,plot_10x10_points,,,,14322481.0,ns,64
plots,plot_10x10_points,,,,14276042.0,ns,64
plots,plot_10x10_points,,,,14354900.0,ns,64
plots,plot_10x10_points,,,,14330926.0,ns,64
plots,plot_10x10_points,,,,14599318.0,ns,64
plots,plot_10x10_points,,,,14332615.0,ns,64
plots,plot_10x10_points,,,,14494566.0,ns,64
plots,plot_10x10_points,,,,14384592.0,ns,64
plots,plot_10x10_points,,,,14292438.0,ns,64
plots,plot_10x10_points,,,,14377084.0,ns,64
plots,plot_10x10_points,,,,14334895.0,ns,64
plots,plot_10x10_points,,,,14515087.0,ns,64
plots,plot_10x10_points,,,,14301107.0,ns,64
plots,plot_10x10_points,,,,14433036.0,ns,64
plots,plot_10x10_points,,,,14504407.0,ns,64
plots,plot_10x10_points,,,,14393865.0,ns,64
plots,plot_10x10_points,,,,14396726.0,ns,64
plots,plot_10x10_points,,,,14409197.0,ns,64
plots,plot_10x10_points,,,,14435867.0,ns,64
plots,plot_10x10_points,,,,14342670.0,ns,64
plots,plot_10x10_points,,,,14366820.0,ns,64
plots,plot_10x10_points,,,,14361407.0,ns,64
plots,plot_10x10_points,,,,14313760.0,ns,64
plots,plot_10x10_points,,,,14374416.0,ns,64
plots,plot_10x10_points,,,,14332586.0,ns,64
plots,plot_10x10_points,,,,14484935.0,ns,64
plots,plot_10x10_points,,,,14316594.0,ns,64
plots,plot_10x10_points,,,,14289501.0,ns,64
plots,plot_10x10_points,,,,14327312.0,ns,64
plots,plot_10x10_points,,,,14303323.0,ns,64
plots,plot_10x10_points,,,,14419914.0,ns,64
plots,plot_10x10_points,,,,14249590.0,ns,64
plots,plot_10x10_points,,,,14551786.0,ns,64
plots,plot_10x10_points,,,,14289193.0,ns,64
plots,plot_10x10_points,,,,14438933.0,ns,64
plots,plot_10x10_points,,,,14419821.0,ns,64
plots,plot_10x10_points,,,,14262846.0,ns,64
plots,plot_10x10_points,,,,14362042.0,ns,64
plots,plot_10x10_points,,,,14322174.0,ns,64
plots,plot_10x10_points,,,,14492659.0,ns,64
plots,plot_10x10_points,,,,14478634.0,ns,64
plots,plot_10x10_points,,,,14298533.0,ns,64
plots,plot_10x10_points,,,,14336506.0,ns,64
plots,plot_10x10_points,,,,14262243.0,ns,64
plots,plot_10x10_points,,,,14331033.0,ns,64
plots,plot_10x10_points,,,,14277382.0,ns,64
plots,plot_10x10_points,,,,14493527.0,ns,64
plots,plot_10x10_points,,,,14376647.0,ns,64
plots,plot_10x10_points,,,,14400154.0,ns,64
plots,plot_10x10_points,,,,14424271.0,ns,64
plots,plot_10x10_points,,,,14408007.0,ns,64
plots,plot_10x10_points,,,,14435765.0,ns,64
plots,plot_10x10_points,,,,14296106.0,ns,64
plots,plot_10x10_points,,,,14503064.0,ns,64
plots,plot_10x10_points,,,,14351686.0,ns,64
plots,plot_10x10_points,,,,14317959.0,ns,64
plots,plot_10x10_points,,,,14289045.0,ns,64
plots,plot_10x10_points,,,,14510030.0,ns,64
plots,plot_10x10_points,,,,14334039.0,ns,64
plots,plot_10x10_points,,,,14399790.0,ns,64
plots,plot_10x10_points,,,,14428678.0,ns,64
plots,plot_10x10_points,,,,14295182.0,ns,64
plots,plot_10x10_points,,,,14512293.0,ns,64
plots,plot_10x10_points,,,,14274595.0,ns,64
plots,plot_10x10_points,,,,14386383.0,ns,64
plots,plot_10x10_points,,,,14326043.0,ns,64
plots,plot_10x10_points,,,,14292022.0,ns,64
plots,plot_10x10_points,,,,14400458.0,ns,64
plots,plot_10x10_points,,,,14126146.0,ns,64
plots,plot_10x10_points,,,,14749324.0,ns,64
plots,plot_10x10_points,,,,15153906.0,ns,64
plots,plot_10x10_points,,,,15232328.0,ns,64
plots,plot_10x10_points,,,,15396287.0,ns,64
plots,plot_10x10_points,,,,15351440.0,ns,64
plots,plot_10x10_points,,,,14811988.0,ns,64
plots,plot_10x10_points,,,,14780257.0,ns,64
plots,plot_10x10_points,,,,15378796.0,ns,64
plots,plot_10x10_points,,,,15580346.0,ns,64
plots,plot_10x10_points,,,,15721791.0,ns,64
plots,plot_10x10_points,,,,15795280.0,ns,64
plots,plot_10x10_points,,,,15825748.0,ns,64
plots,plot_10x10_points,,,,15671766.0,ns,64
